epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
18,9.55731693903605,0.14496112863222757,0.07529901713132858,3.7581187089284263,0.0,0.0,1.0,1.0,1.0,4.257500000000002e-05,0.019591599993873388,2.3283947999880183,2.348344087600708,900,383.24877719241124
19,9.504583676656088,0.1429410253961881,0.0775882030526797,3.786167025566101,0.0,0.0,1.0,1.0,1.0,4.5050000000000024e-05,0.020681399997556582,2.326922200008994,2.3471086025238037,900,383.4505139780265
20,9.501107533772787,0.14222610493501028,0.076999564965566,3.8112932046254477,0.0,0.0,1.0,1.0,1.0,4.7525000000000024e-05,0.020132999969064258,2.332453900031396,2.3519127368927,900,382.6672588155043
21,9.37470817565918,0.13885090996821722,0.07643313085039456,3.8199073870976767,0.0,0.0,1.0,1.0,1.0,5e-05,0.01967060002789367,2.3283072000049287,2.3479490280151367,900,383.3132616004124
22,9.105058352152506,0.1321052387356758,0.07620176176230113,3.82008687655131,0.0,0.0,1.0,1.0,1.0,4.98657864365227e-05,0.01988959997834172,2.3301501000096323,2.350595474243164,900,382.88170374776143
23,9.038055419921875,0.12992108861605325,0.07544815043608348,3.840457320213318,0.0,0.0,1.0,1.0,1.0,4.946461621797824e-05,0.019345600012456998,2.3306467000074917,2.3515989780426025,900,382.7183156667009
24,9.165501117706299,0.13305248568455377,0.0751692180832227,3.842650135358175,0.0,0.0,1.0,1.0,1.0,4.880088464923127e-05,0.020341200011898763,2.3297762000001967,2.349869966506958,900,382.9999160923082
25,8.94245449701945,0.12781919787327448,0.07481095443169276,3.8289384047190347,0.0,0.0,1.0,1.0,1.0,4.7881863712243726e-05,0.01967789999616798,2.330192800000077,2.349341630935669,900,383.0860476607475
26,9.108170986175537,0.13137902691960335,0.0775148905813694,3.852234880129496,0.0,0.0,1.0,1.0,1.0,4.671762239271876e-05,0.01924290001625195,2.3277726999949664,2.346804141998291,900,383.50026058572354
27,8.773857911427816,0.12338529899716377,0.07408032566308975,3.8377049763997397,0.0,0.0,1.0,1.0,1.0,4.532091636218622e-05,0.02093230001628399,2.3316704999888316,2.3529248237609863,900,382.50265835582996
28,8.885394096374512,0.12589365616440773,0.07503276939193408,3.848897377649943,0.0,0.0,1.0,1.0,1.0,4.370704822419616e-05,0.019472999978461303,2.3378910000028554,2.35760235786438,900,381.743764803179
29,8.731825669606527,0.12175016974409421,0.07346546153227489,3.861084500948588,0.0,0.0,1.0,1.0,1.0,4.1893699855792026e-05,0.019668400011141784,2.3387940999818966,2.3593294620513916,900,381.4643162288438
30,8.715282758076986,0.12174803763628006,0.07351160546143849,3.8446261088053384,0.0,0.0,1.0,1.0,1.0,3.990073868116559e-05,0.020116800005780533,2.329167200005031,2.3492133617401123,900,383.1069645088988
