dataset,method,label,step,scope,count,clip_style,content_lpips,one_minus_lpips,summary_path,note
distinct5_512,LANCET,D e1,1,full,750,0.6897613146305084,0.41559896694666665,0.5844010330533334,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,VQ + spatial
distinct5_512,LANCET,E e1,1,full,750,0.697346945643425,0.3581669207866666,0.6418330792133333,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,prototype queue style point
distinct5_512,LANCET,E e3,3,full,750,0.6934616965850193,0.33308632712,0.66691367288,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,prototype queue LPIPS point
distinct5_512,LANCET,F e1,1,full,750,0.696914507508278,0.31864464036,0.6813553596399999,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,current LPIPS best
distinct5_512,LANCET,H e1,1,full,750,0.6973625582059225,0.32133288292,0.67866711708,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,balanced LPIPS point
distinct5_512,LANCET,H e2,2,full,750,0.6993825696706771,0.34840661536,0.6515933846399999,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,balanced style point
distinct5_512,LANCET,J e1,1,full,750,0.6976529497305551,0.33227413865333333,0.6677258613466667,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,aux hard SWD
distinct5_512,LANCET,K e1,1,full,750,0.7009949656327565,0.36229389774666665,0.6377061022533334,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,current style best
distinct5_512,LANCET,L e1,1,full,750,0.6977771087487539,0.3397095243333333,0.6602904756666668,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,K router + F schedule
distinct5_512,LANCET,M e1,1,full,750,0.6987261127630869,0.34654294562666665,0.6534570543733333,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,style-gated router
distinct5_512,LANCET,Baseline e1,1,transfer,600,0.6582108319799105,0.45806865981666667,0.5419313401833333,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,Baseline e8,8,transfer,600,0.6602280591924985,0.46489553474999995,0.5351044652500001,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,C e2,2,transfer,600,0.6602633555233479,0.43231252926666663,0.5676874707333334,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,D e1,1,transfer,600,0.6606688737869263,0.4229966518000001,0.5770033481999999,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,E e1,1,transfer,600,0.6662675188481808,0.36658445386666666,0.6334155461333333,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,E e3,3,transfer,600,0.6624443233509858,0.34031151425,0.65968848575,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,F e1,1,transfer,600,0.6643604030708471,0.3245282069166667,0.6754717930833334,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,H e1,1,transfer,600,0.6652551526824633,0.32810514738333335,0.6718948526166666,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,H e2,2,transfer,600,0.6683948844174543,0.3561050486333333,0.6438949513666667,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,J e1,1,transfer,600,0.6653021774689355,0.33844542850000003,0.6615545715,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,K e1,1,transfer,600,0.6711669415235519,0.3722808781833334,0.6277191218166667,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,L e1,1,transfer,600,0.6664959508180618,0.3486098664333333,0.6513901335666668,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,LANCET,M e1,1,transfer,600,0.666890822649002,0.3553380283,0.6446619717,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from summary.analysis.style_transfer_ability
distinct5_512,SaMAM,SaMAM 250,250,transfer,600,0.5384821421901385,0.6031061978948197,0.3968938021051803,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 500,500,transfer,600,0.5503247191011905,0.5441844119752447,0.4558155880247553,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 750,750,transfer,600,0.5529796651999156,0.539769857575496,0.460230142424504,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 1000,1000,transfer,600,0.548401187111934,0.4639691362529993,0.5360308637470007,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 1250,1250,transfer,600,0.5571828408539296,0.44870330243060985,0.5512966975693901,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 1500,1500,transfer,600,0.5544854444265366,0.4140111594026287,0.5859888405973712,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 1750,1750,transfer,600,0.5491809284687043,0.3795578622693817,0.6204421377306183,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 2000,2000,transfer,600,0.5545786788066228,0.3691024965047836,0.6308975034952164,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
distinct5_512,SaMAM,SaMAM 2250,2250,transfer,600,0.5522515382866064,0.3604523678372304,0.6395476321627696,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,transfer-only from per-image metrics.csv
