epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
11,0.5949823021888733,0.0,0.0,0.0,0.0,0.0,0.03253530105575919,0.0,0.0,1.0,0.9381187260150909,-0.27919921875,-0.27919921875,0.0,0.029549305979162454,0.0,0.0,0.0,0.0,0.039206832833588126,10.0,0.0,1.0,0.0,1.0,0.00017217514421272203,11.765066623687744
12,0.5167015865445137,0.0,0.0,0.0,0.0,0.0,0.02862148657441139,0.0,0.0,1.0,0.9446071565151215,-0.2798828125,-0.2798828125,0.0,0.025774009991437197,0.0,0.0,0.0,0.0,0.029989589471369982,10.0,0.0,1.0,0.0,1.0,0.0001666975645913675,11.56485915184021
13,0.4879031807184219,0.0,0.0,0.0,0.0,0.0,0.0275430872105062,0.0,0.0,1.0,0.9470062792301178,-0.27822265625,-0.27822265625,0.0,0.024213513918220998,0.0,0.0,0.0,0.0,0.025423347484320402,10.0,0.0,1.0,0.0,1.0,0.00016083959896778498,11.481464147567749
14,0.42724856436252595,0.0,0.0,0.0,0.0,0.0,0.025193422101438046,0.0,0.0,1.0,0.9526865184307098,-0.2759765625,-0.2759765625,0.0,0.020422516204416753,0.0,0.0,0.0,0.0,0.021476021315902472,10.0,0.0,1.0,0.0,1.0,0.00015463736364801516,11.532109022140503
15,0.4040906473994255,0.0,0.0,0.0,0.0,0.0,0.022654931899160145,0.0,0.0,1.0,0.9568735361099243,-0.27568359375,-0.27568359375,0.0,0.0203601841814816,0.0,0.0,0.0,0.0,0.019249348435550928,10.0,0.0,1.0,0.0,1.0,0.00014812909747525697,11.515485048294067
16,0.36414543390274046,0.0,0.0,0.0,0.0,0.0,0.021513347700238227,0.0,0.0,1.0,0.9588083237409591,-0.27177734375,-0.27177734375,0.0,0.017512831557542085,0.0,0.0,0.0,0.0,0.016910335514694452,10.0,0.0,1.0,0.0,1.0,0.00014135492607468357,11.638101816177368
17,0.33892441540956497,0.0,0.0,0.0,0.0,0.0,0.020760927349328995,0.0,0.0,1.0,0.9599842548370361,-0.269140625,-0.269140625,0.0,0.01577021726407111,0.0,0.0,0.0,0.0,0.015134823136031627,10.0,0.0,1.0,0.0,1.0,0.00013435661446562004,11.811809539794922
18,0.3285188630223274,0.0,0.0,0.0,0.0,0.0,0.02068330571055412,0.0,0.0,1.0,0.9607915669679642,-0.26689453125,-0.26689453125,0.0,0.014916165545582772,0.0,0.0,0.0,0.0,0.01389076397754252,10.0,0.0,1.0,0.0,1.0,0.00012717730956631105,11.952734470367432
19,0.30929702818393706,0.0,0.0,0.0,0.0,0.0,0.020009252522140742,0.0,0.0,1.0,0.961941733956337,-0.265625,-0.265625,0.0,0.013624427234753966,0.0,0.0,0.0,0.0,0.012978737056255341,10.0,0.0,1.0,0.0,1.0,0.00011986127417882196,12.106046915054321
20,0.29867001473903654,0.0,0.0,0.0,0.0,0.0,0.01892255786806345,0.0,0.0,1.0,0.9636445343494415,-0.265234375,-0.265234375,0.0,0.01340477867051959,0.0,0.0,0.0,0.0,0.013241767790168524,10.0,0.0,1.0,0.0,1.0,0.0001124536140941453,11.761847496032715
21,0.27959274798631667,0.0,0.0,0.0,0.0,0.0,0.018318486120551824,0.0,0.0,1.0,0.9648306161165238,-0.263671875,-0.263671875,0.0,0.012099269824102522,0.0,0.0,0.0,0.0,0.012052160035818816,10.0,0.0,1.0,0.0,1.0,0.00010500000000000002,12.232930898666382
22,0.26755453571677207,0.0,0.0,0.0,0.0,0.0,0.017466221656650304,0.0,0.0,1.0,0.9668970316648483,-0.26181640625,-0.26181640625,0.0,0.011621808214113117,0.0,0.0,0.0,0.0,0.011606677947565914,10.0,0.0,1.0,0.0,1.0,9.754638590585476e-05,11.521966457366943
23,0.23948828577995301,0.0,0.0,0.0,0.0,0.0,0.016450261091813446,0.0,0.0,1.0,0.9684907734394074,-0.2599609375,-0.2599609375,0.0,0.009673779224976897,0.0,0.0,0.0,0.0,0.01114840479567647,10.0,0.0,1.0,0.0,1.0,9.013872582117811e-05,11.594961881637573
24,0.23071355000138283,0.0,0.0,0.0,0.0,0.0,0.016457937052473427,0.0,0.0,1.0,0.9683051556348801,-0.25791015625,-0.25791015625,0.0,0.008817537501454354,0.0,0.0,0.0,0.0,0.010874680429697036,10.0,0.0,1.0,0.0,1.0,8.282269043368901e-05,11.490910291671753
25,0.2270174242556095,0.0,0.0,0.0,0.0,0.0,0.015413332078605891,0.0,0.0,1.0,0.9697701454162597,-0.25625,-0.25625,0.0,0.009292767383158207,0.0,0.0,0.0,0.0,0.010783094260841609,10.0,0.0,1.0,0.0,1.0,7.564338553438001e-05,11.627216815948486
26,0.2240965522825718,0.0,0.0,0.0,0.0,0.0,0.015453793993219733,0.0,0.0,1.0,0.9701820403337479,-0.255859375,-0.255859375,0.0,0.008998575643636287,0.0,0.0,0.0,0.0,0.010480443574488163,10.0,0.0,1.0,0.0,1.0,6.864507392531649e-05,11.612165927886963
27,0.22025935128331184,0.0,0.0,0.0,0.0,0.0,0.015352181531488896,0.0,0.0,1.0,0.9702348440885544,-0.25419921875,-0.25419921875,0.0,0.008713751146569849,0.0,0.0,0.0,0.0,0.010304386774078012,10.0,0.0,1.0,0.0,1.0,6.187090252474307e-05,11.478893995285034
28,0.20714303404092788,0.0,0.0,0.0,0.0,0.0,0.014925454137846827,0.0,0.0,1.0,0.9710087358951569,-0.25390625,-0.25390625,0.0,0.007778508588671684,0.0,0.0,0.0,0.0,0.009954315144568682,10.0,0.0,1.0,0.0,1.0,5.536263635198487e-05,11.598992109298706
29,0.19630310833454132,0.0,0.0,0.0,0.0,0.0,0.014335505617782473,0.0,0.0,1.0,0.9719261795282363,-0.25322265625,-0.25322265625,0.0,0.007175957201980054,0.0,0.0,0.0,0.0,0.009859491512179375,10.0,0.0,1.0,0.0,1.0,4.916040103221507e-05,11.711809873580933
30,0.19615393579006196,0.0,0.0,0.0,0.0,0.0,0.014790809573605656,0.0,0.0,1.0,0.9710911870002746,-0.251953125,-0.251953125,0.0,0.006812199461273849,0.0,0.0,0.0,0.0,0.009705463098362089,10.0,0.0,1.0,0.0,1.0,4.330243540863257e-05,11.594537496566772
31,0.19110778346657753,0.0,0.0,0.0,0.0,0.0,0.014675263827666641,0.0,0.0,1.0,0.9719960868358613,-0.251953125,-0.251953125,0.0,0.006419522128999234,0.0,0.0,0.0,0.0,0.009510450484231114,10.0,0.0,1.0,0.0,1.0,3.7824855787278e-05,11.596558332443237
32,0.18622167706489562,0.0,0.0,0.0,0.0,0.0,0.014489567931741476,0.0,0.0,1.0,0.9719199925661087,-0.25185546875,-0.25185546875,0.0,0.006088551739230752,0.0,0.0,0.0,0.0,0.009419615939259529,10.0,0.0,1.0,0.0,1.0,3.276143326799707e-05,11.748143672943115
33,0.17740220278501512,0.0,0.0,0.0,0.0,0.0,0.013796859746798873,0.0,0.0,1.0,0.9730674594640731,-0.25048828125,-0.25048828125,0.0,0.005771781038492918,0.0,0.0,0.0,0.0,0.009309516055509448,10.0,0.0,1.0,0.0,1.0,2.8143385534380006e-05,11.637088775634766
34,0.17435451075434685,0.0,0.0,0.0,0.0,0.0,0.013700386928394436,0.0,0.0,1.0,0.9732531934976578,-0.25,-0.25,0.0,0.005546879372559488,0.0,0.0,0.0,0.0,0.00928262178786099,10.0,0.0,1.0,0.0,1.0,2.3999184386361246e-05,11.493550539016724
35,0.171682720631361,0.0,0.0,0.0,0.0,0.0,0.01380646713078022,0.0,0.0,1.0,0.9732336670160293,-0.25,-0.25,0.0,0.005208850488997996,0.0,0.0,0.0,0.0,0.009142480231821537,10.0,0.0,1.0,0.0,1.0,2.0354380202105065e-05,11.59015679359436
36,0.16859388947486878,0.0,0.0,0.0,0.0,0.0,0.013708735955879093,0.0,0.0,1.0,0.9735652953386307,-0.24970703125,-0.24970703125,0.0,0.004987087706103921,0.0,0.0,0.0,0.0,0.00905312579125166,10.0,0.0,1.0,0.0,1.0,1.723144441142776e-05,11.474419116973877
37,0.1677818201482296,0.0,0.0,0.0,0.0,0.0,0.013807278499007225,0.0,0.0,1.0,0.9732731223106384,-0.2490234375,-0.2490234375,0.0,0.004828856931999326,0.0,0.0,0.0,0.0,0.0090350232552737,10.0,0.0,1.0,0.0,1.0,1.4649630951960416e-05,11.390300989151001
38,0.1697612002491951,0.0,0.0,0.0,0.0,0.0,0.014125202735885977,0.0,0.0,1.0,0.9729818999767303,-0.2490234375,-0.2490234375,0.0,0.004786461195908487,0.0,0.0,0.0,0.0,0.008894966216757894,10.0,0.0,1.0,0.0,1.0,1.2624857562220728e-05,11.585874080657959
39,0.16598834097385406,0.0,0.0,0.0,0.0,0.0,0.013873562356457115,0.0,0.0,1.0,0.9733967304229736,-0.24833984375,-0.24833984375,0.0,0.004614997399039566,0.0,0.0,0.0,0.0,0.008849866967648268,10.0,0.0,1.0,0.0,1.0,1.1169607643461924e-05,11.808157682418823
40,0.16400420442223548,0.0,0.0,0.0,0.0,0.0,0.013630278641358018,0.0,0.0,1.0,0.9735345363616943,-0.248046875,-0.248046875,0.0,0.0046070107026025655,0.0,0.0,0.0,0.0,0.008891865983605385,10.0,0.0,1.0,0.0,1.0,1.0292853295352844e-05,11.61700439453125
