trial,epoch_dir,summary_path,p2a_valid,p2a_clip_style,p2a_clip_content,p2a_fid_baseline,p2a_fid,p2a_delta_fid,p2a_art_fid_fid,p2a_art_fid_content_lpips,p2a_art_fid,sta_art_fid,sta_fid,timestamp
trial_0041,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0041\experiment\full_eval\epoch_0060\summary.json,True,0.6362087537844976,0.0,305.9299507141113,301.84342193603516,4.086528778076172,245.81641367661763,0.4639954939484596,361.49668732681346,361.49668732681346,301.84342193603516,2026-03-26 00:21:20
trial_0007,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0007\experiment\full_eval\epoch_0060\summary.json,True,0.6623325457175573,0.0,305.9299507141113,299.2055473327637,6.724403381347656,247.10132790104865,0.4763977453112602,366.4800279332356,366.4800279332356,299.2055473327637,2026-03-26 00:10:57
trial_0006,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0006\experiment\full_eval\epoch_0060\summary.json,True,0.6608804655571778,0.0,305.9299507141113,301.8087272644043,4.121223449707031,248.70710249246724,0.4775165021419525,369.52274691338306,369.52274691338306,301.8087272644043,2026-03-26 00:10:04
trial_0002,epoch_0060_tokenized,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060_tokenized\summary.json,True,0.6644025171796482,0.0,305.9299507141113,301.7142028808594,4.215747833251953,249.08214609600424,0.4873935431241989,372.11441537272697,372.11441537272697,301.7142028808594,2026-03-26 00:06:16
trial_0002,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0002\experiment\full_eval\epoch_0060\summary.json,True,0.6639723887046178,0.0,305.9299507141113,302.1162643432617,3.8136863708496094,250.01333471134868,0.48756199330091476,373.5461171620856,373.5461171620856,302.1162643432617,2026-03-26 00:05:17
trial_0004,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0004\experiment\full_eval\epoch_0060\summary.json,True,0.6629918679594993,0.0,305.9299507141113,304.97268295288086,0.9572677612304688,252.01013888664778,0.48766788840293884,377.0923766053718,377.0923766053718,304.97268295288086,2026-03-26 00:08:12
trial_0016,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0016\experiment\full_eval\epoch_0060\summary.json,True,0.664123771339655,0.0,305.9299507141113,304.2625198364258,1.6674308776855469,256.7634665973728,0.47327228635549545,380.3081043673182,380.3081043673182,304.2625198364258,2026-03-26 00:15:54
trial_0012,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0012\experiment\full_eval\epoch_0060\summary.json,True,0.6598457249502341,0.0,305.9299507141113,306.7962455749512,-0.8662948608398438,253.61430629946977,0.491844579577446,380.62649495816726,380.62649495816726,306.7962455749512,2026-03-26 00:13:26
trial_0001,epoch_0060_tokenized,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060_tokenized\summary.json,True,0.6671557158231735,0.0,305.9299507141113,305.53569412231445,0.394256591796875,253.46120922826023,0.5020013675093651,382.73917116161425,382.73917116161425,305.53569412231445,2026-03-26 00:04:19
trial_0001,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0001\experiment\full_eval\epoch_0060\summary.json,True,0.6706476132074992,0.0,305.9299507141113,305.5827941894531,0.3471565246582031,252.9302722733305,0.5056644752621651,382.8429137115582,382.8429137115582,305.5827941894531,2026-03-26 00:03:21
trial_0019,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0019\experiment\full_eval\epoch_0060\summary.json,True,0.6753774459163349,0.0,305.9299507141113,311.2969741821289,-5.367023468017578,256.6826976875566,0.49631303548812866,386.1197293854995,386.1197293854995,311.2969741821289,2026-03-26 00:18:36
trial_0015,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0015\experiment\full_eval\epoch_0060\summary.json,True,0.6614456492165725,0.0,305.9299507141113,296.9282341003418,9.001716613769531,262.30317432316224,0.47501761466264725,389.03767748363407,389.03767748363407,296.9282341003418,2026-03-26 00:15:04
trial_0018,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0018\experiment\full_eval\epoch_0060\summary.json,True,0.6698185443878173,0.0,305.9299507141113,310.17090225219727,-4.2409515380859375,260.0097217295371,0.49924521893262863,391.6441772770091,391.6441772770091,310.17090225219727,2026-03-26 00:17:43
trial_0014,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0014\experiment\full_eval\epoch_0060\summary.json,True,0.6682712805767854,0.0,305.9299507141113,311.1327095031738,-5.2027587890625,259.28275090678727,0.5141141563653946,394.6205350051797,394.6205350051797,311.1327095031738,2026-03-26 00:14:15
trial_0017,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0017\experiment\full_eval\epoch_0060\summary.json,True,0.661014448106289,0.0,305.9299507141113,309.11203384399414,-3.1820831298828125,265.71086419748565,0.49215393513441086,398.24290109804303,398.24290109804303,309.11203384399414,2026-03-26 00:16:49
trial_0021,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0021\experiment\full_eval\epoch_0060\summary.json,True,0.675649507343769,0.0,305.9299507141113,313.0151252746582,-7.085174560546875,271.067994997044,0.5256230235099792,416.3196084991612,416.3196084991612,313.0151252746582,2026-03-26 00:19:31
