group,exp_dir,sub_exp,epoch,clip_style,clip_s_delta_idt,clip_t,content_lpips,one_minus_lpips,clip_content,fid,artfid,eval_type,source,dataset
628_ablation,destructive,D14_tokenizer_residual_0/full_eval/epoch_0010,10,0.7303110868930817,0.09039026163008165,0.22923024962345756,0.3410508632,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D15_sharpen_0/full_eval/epoch_0008,8,0.729801786581675,0.08988096131867522,0.22893271732330323,0.3380143795999999,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D15_sharpen_0/full_eval/epoch_0009,9,0.7282533485889434,0.08833252332594346,0.22891868229707082,0.34025570574666664,0.6597,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D15_sharpen_0/full_eval/epoch_0010,10,0.7302426114877065,0.09032178622470649,0.22924778811136878,0.3410703040133333,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D16_endpoint_high_0/full_eval/epoch_0008,8,0.7298093639214833,0.08988853865848336,0.22894781462351482,0.33801248904,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D16_endpoint_high_0/full_eval/epoch_0009,9,0.7282977570692698,0.08837693180626982,0.2289151818156242,0.3402010362933334,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D16_endpoint_high_0/full_eval/epoch_0010,10,0.7302309951782224,0.09031016991522266,0.2292240683833758,0.34107335013333334,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D17_skip_residual_0/full_eval/epoch_0008,8,0.7297929241657257,0.0898720989027257,0.2289064210851987,0.33803261264000006,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D17_skip_residual_0/full_eval/epoch_0009,9,0.72827832253774,0.08835749727474008,0.22890533246596653,0.3402205385999999,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D17_skip_residual_0/full_eval/epoch_0010,10,0.730339971224467,0.09041914596146697,0.22924702880779904,0.3410874600666667,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D18_kinetic_off/full_eval/epoch_0008,8,0.7297470847765605,0.08982625951356046,0.2289269773364067,0.33803936514666666,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D18_kinetic_off/full_eval/epoch_0009,9,0.7282398920853932,0.08831906682239327,0.22888758528232575,0.3402041534533333,0.6598,0.0,,,full_eval,remote_cached,
