experiment,num_rounds,updated_at,latest_epoch,latest_summary_path,latest_transfer_clip_style,latest_transfer_content_lpips,latest_transfer_fid,latest_transfer_art_fid,latest_transfer_classifier_acc,latest_photo_to_art_clip_style,latest_photo_to_art_fid,latest_photo_to_art_art_fid,latest_photo_to_art_classifier_acc,mean_transfer_clip_style,mean_transfer_content_lpips,mean_transfer_fid,mean_transfer_art_fid,mean_transfer_classifier_acc,mean_photo_to_art_clip_style,mean_photo_to_art_fid,mean_photo_to_art_art_fid,mean_photo_to_art_classifier_acc
exp_G1_edge_rush,3,2026-03-02 23:30:34,150,..\exp_G1_edge_rush\full_eval\epoch_0150\summary.json,0.6660482574005921,0.3908338524666667,284.62518569914903,400.8148225858752,0.0,0.6322051944832008,284.62518569914903,400.8148225858752,0.0,0.6661983336342706,0.38882300965,283.7498406210592,400.18174578068897,0.0,0.6331820574071673,283.7498406210592,400.18174578068897,0.0
exp_S1_zero_id,1,2026-03-03 05:33:42,150,..\exp_S1_zero_id\full_eval\epoch_0150\summary.json,0.7208060079813003,0.6248659133,345.5292298574435,575.9916835552482,0.0,0.722547350327174,345.5292298574435,575.9916835552482,0.0,0.7208060079813003,0.6248659133,345.5292298574435,575.9916835552482,0.0,0.722547350327174,345.5292298574435,575.9916835552482,0.0
exp_S2_color_blind,1,2026-03-03 08:24:47,150,..\exp_S2_color_blind\full_eval\epoch_0150\summary.json,0.7022627408802509,0.5441855823333334,328.82141429889913,524.0720578842235,0.0,0.6966058348615964,328.82141429889913,524.0720578842235,0.0,0.7022627408802509,0.5441855823333334,328.82141429889913,524.0720578842235,0.0,0.6966058348615964,328.82141429889913,524.0720578842235,0.0
final_demodulation,2,2026-03-03 21:29:54,80,..\final_demodulation\full_eval\epoch_0080\summary.json,0.6986483848094941,0.7188968239333333,456.81669076252376,798.874966967107,0.0,0.6956543842951457,456.81669076252376,798.874966967107,0.0,0.7062679090102515,0.709010611425,429.0845068086249,747.2836341219057,0.0,0.7018133600552877,429.0845068086249,747.2836341219057,0.0
G0-Base-Gain0.5,2,2026-03-06 23:52:17,80,..\G0-Base-Gain0.5\full_eval\epoch_0080\summary.json,0.7022560980916023,0.5300168206833333,300.888925144769,466.045128165566,0.4,0.6839674378434818,300.888925144769,466.045128165566,0.13333333333333333,0.7023633205393951,0.5281635727666667,307.2143769660893,476.4387570429142,0.39416666666666667,0.683925424516201,307.2143769660893,476.4387570429142,0.125
G1-Relax-ID,1,2026-03-07 01:45:52,40,..\G1-Relax-ID\full_eval\epoch_0040\summary.json,0.7017634295423826,0.5551872874166668,339.0673888939149,539.5240328204318,0.39666666666666667,0.6839364598194757,339.0673888939149,539.5240328204318,0.14166666666666666,0.7017634295423826,0.5551872874166668,339.0673888939149,539.5240328204318,0.39666666666666667,0.6839364598194757,339.0673888939149,539.5240328204318,0.14166666666666666
inject_I0_all_open,2,2026-03-04 20:50:46,80,..\inject_I0_all_open\full_eval\epoch_0080\summary.json,0.6903006587922572,0.4956928909499999,316.85983394421766,490.58006463918076,0.0,0.6788897136847178,316.85983394421766,490.58006463918076,0.0,0.6900140437483786,0.4977445703333333,313.56033965867994,486.9753919994689,0.0,0.6800427484015624,313.56033965867994,486.9753919994689,0.0
inject_I1_body_only,2,2026-03-04 23:31:44,80,..\inject_I1_body_only\full_eval\epoch_0080\summary.json,0.6857520479957262,0.48556482406666673,312.47890117561224,481.0345104572938,0.0,0.6745220959186553,312.47890117561224,481.0345104572938,0.0,0.6854557605336109,0.48861637550000003,309.9322505974231,479.65905657240137,0.0,0.6747450811167558,309.9322505974231,479.65905657240137,0.0
inject_I2_hires_decoder_only,2,2026-03-05 02:04:43,80,..\inject_I2_hires_decoder_only\full_eval\epoch_0080\summary.json,0.6898021767536798,0.4961005760166666,315.605792590218,488.27053408394397,0.0,0.6761536399523417,315.605792590218,488.27053408394397,0.0,0.6887981292357046,0.4948453994166666,312.7462890716934,484.4705275022541,0.0,0.6747579259177049,312.7462890716934,484.4705275022541,0.0
inject_I3_progressive_1_05_01,2,2026-03-05 04:37:42,80,..\inject_I3_progressive_1_05_01\full_eval\epoch_0080\summary.json,0.6892852522432803,0.49236751329999995,313.60572438819804,485.6560475399003,0.0,0.6776228164633115,313.60572438819804,485.6560475399003,0.0,0.6880568496634563,0.4951679489333333,311.8636942007964,484.9798853713544,0.0,0.6788679520289103,311.8636942007964,484.9798853713544,0.0
