point_id,source,superfamily,family,variant,label,trace_id,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,order,note,label_dx,label_dy,source_summary,style_minus_idt
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0008,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0008,aaai2027_inmortal_k_spatial_seed42_b16,0.6781236319740612,0.3641648479333333,0.6358351520666667,24.596168824036916,1475.770129442215,8.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0008/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0001,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0001,aaai2027_inmortal_k_spectral_seed42_b12,0.6776305556297303,0.33731991786666665,0.6626800821333334,3.7634111245473227,225.80466747283936,1.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0001/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0002,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0002,aaai2027_inmortal_k_spectral_seed42_b12,0.6787789503733317,0.36369265289999997,0.6363073471,7.094933072725932,425.6959843635559,2.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0002/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0003,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0003,aaai2027_inmortal_k_spectral_seed42_b12,0.6775513976812364,0.35834020675,0.64165979325,,,3.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0003/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0004,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0004,aaai2027_inmortal_k_spectral_seed42_b12,0.6739599982897441,0.3417207791833333,0.6582792208166667,,,4.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0004/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0005,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0005,aaai2027_inmortal_k_spectral_seed42_b12,0.678278801937898,0.33084288866666667,0.6691571113333333,,,5.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0005/summary.json,,,,
inmortal::aaai2027_inmortal_k_spectral_seed42_b12::epoch_0006,inmortal_epoch,Kinetic-only,K_spectral_b12,aaai2027_inmortal_k_spectral_seed42_b12,K_spectral_b12 epoch_0006,aaai2027_inmortal_k_spectral_seed42_b12,0.6772989865144095,0.3228654636666667,0.6771345363333333,,,6.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0006/summary.json,,,,
legacy::LANCET::Baseline e1,legacy_transfer,LBM legacy,LANCET,Baseline e1,Baseline e1,,0.6582108319799105,0.45806865981666667,0.5419313401833333,1.1794177412986755,70.76506447792053,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::E e1,legacy_transfer,LBM legacy,LANCET,E e1,E e1,,0.6662675188481808,0.36658445386666666,0.6334155461333333,1.1972770055135091,71.83662033081055,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::D e1,legacy_transfer,LBM legacy,LANCET,D e1,D e1,,0.6606688737869263,0.4229966518000001,0.5770033481999999,1.2016290187835694,72.09774112701416,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::K e1,legacy_transfer,LBM legacy,LANCET,K e1,K e1,,0.6711669415235519,0.3722808781833334,0.6277191218166667,1.207699982325236,72.46199893951416,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::F e1,legacy_transfer,LBM legacy,LANCET,F e1,F e1,,0.6643604030708471,0.3245282069166667,0.6754717930833334,1.2161138296127318,72.96682977676392,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::L e1,legacy_transfer,LBM legacy,LANCET,L e1,L e1,,0.6664959508180618,0.3486098664333333,0.6513901335666668,1.217203680674235,73.0322208404541,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::H e1,legacy_transfer,LBM legacy,LANCET,H e1,H e1,,0.6652551526824633,0.32810514738333335,0.6718948526166666,1.2206843336423239,73.24106001853943,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::M e1,legacy_transfer,LBM legacy,LANCET,M e1,M e1,,0.666890822649002,0.3553380283,0.6446619717,1.2214229702949524,73.28537821769714,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::J e1,legacy_transfer,LBM legacy,LANCET,J e1,J e1,,0.6653021774689355,0.33844542850000003,0.6615545715,1.2228810032208761,73.37286019325256,1.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::C e2,legacy_transfer,LBM legacy,LANCET,C e2,C e2,,0.6602633555233479,0.43231252926666663,0.5676874707333334,2.2611765027046205,135.67059016227722,2.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::H e2,legacy_transfer,LBM legacy,LANCET,H e2,H e2,,0.6683948844174543,0.3561050486333333,0.6438949513666667,2.2656476815541584,135.9388608932495,2.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::E e3,legacy_transfer,LBM legacy,LANCET,E e3,E e3,,0.6624443233509858,0.34031151425,0.65968848575,3.2897186716397604,197.38312029838562,3.0,transfer-only from summary.analysis.style_transfer_ability,,,,
legacy::LANCET::Baseline e8,legacy_transfer,LBM legacy,LANCET,Baseline e8,Baseline e8,,0.6602280591924985,0.46489553474999995,0.5351044652500001,8.437051471074422,506.22308826446533,8.0,transfer-only from summary.analysis.style_transfer_ability,,,,
distinct5_512__LBM__K_longer_e5,results_master_extra,LBM misc,LBM,K_longer_e5,K_longer_e5,,0.6670102731,0.3587850992,0.6412149008,5.545,332.7,,K_longer_e5,,,,
distinct5_512__LBM__A1_executor_promotion_h,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.6642,0.3418,0.6582,,,,epoch_0002_transfer__epoch_0003_transfer,,,,
distinct5_512__LBM__A2_softterm16_sem012,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.6645,0.3281,0.6718999999999999,,,,epoch_0001_transfer__epoch_0001_lpips,,,,
distinct5_512__LBM__A2_softterm18_sem010,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.6656,0.3363,0.6637,,,,epoch_0001_transfer__epoch_0001_lpips,,,,
