variant	category	config_path	run_dir	status	note
dyn_num_steps_1_to_3	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/dyn_num_steps_1_to_3.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/dyn_num_steps_1_to_3	generated	Use variable training steps in [1,3].
dyn_single_step_only	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/dyn_single_step_only.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/dyn_single_step_only	generated	Force single-step training and inference.
dyn_flat_step_schedule	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/dyn_flat_step_schedule.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/dyn_flat_step_schedule	generated	Use flat step schedule for train/infer.
bundle_style_up	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_style_up.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_style_up	generated	Increase style injection + style losses for 50-epoch run.
bundle_style_down	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_style_down.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_style_down	generated	Reduce style injection + style losses.
bundle_content_guard_strict	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_content_guard_strict.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_content_guard_strict	generated	Increase structure-preservation losses.
bundle_content_guard_relaxed	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_content_guard_relaxed.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_content_guard_relaxed	generated	Reduce structure-preservation losses for style-first bias.
bundle_style_losses_off	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_style_losses_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_style_losses_off	generated	Turn off all style-specific loss terms.
bundle_all_style_paths_off	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_all_style_paths_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_all_style_paths_off	generated	Ablate main style-injection paths + style losses.
bundle_style_injection_heavy	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/bundle_style_injection_heavy.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/bundle_style_injection_heavy	generated	Strong style injection with extra smoothing regularization.
