image,src_style,src_stem,tgt_style,lpips,clip_style,clip_content
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Early_Renaissance,0.4160495400428772,0.7029038667678833,0.9222015142440796
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Impressionism.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Impressionism,0.42342156171798706,0.5836690664291382,0.920314610004425
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Minimalism,0.4791393280029297,0.5701300501823425,0.9147482514381409
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Rococo,0.4345087707042694,0.6090794801712036,0.9184612035751343
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_scenes-from-the-life-of-st-james-1448-2,Ukiyo_e,0.41965436935424805,0.6433742642402649,0.9170784950256348
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Early_Renaissance.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Early_Renaissance,0.3264505863189697,0.7376036047935486,0.8640211820602417
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Impressionism.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Impressionism,0.3364492654800415,0.5401701331138611,0.8617454767227173
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Minimalism.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Minimalism,0.39802443981170654,0.5449240803718567,0.8599308133125305
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Rococo.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Rococo,0.3486452102661133,0.5653034448623657,0.862808346748352
/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag/eval_curve/step_002250/images/Early_Renaissance__andrea-mantegna_the-circumcision-of-christ-1464__to__Ukiyo_e.png,Early_Renaissance,andrea-mantegna_the-circumcision-of-christ-1464,Ukiyo_e,0.3296174705028534,0.5992718935012817,0.8593255281448364
