epoch,loss,distill,code,code_ref,code_proto,proto,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
20,3.426106584072113,0.0021025253576226533,0.005519323842599988,0.0031676405924372375,0.0023516833316534758,0.0036678971722722054,0.0,0.040118436142802236,0.03381329365074635,0.07221626974642277,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0001124536140941453,12.964253187179565
21,3.293250012397766,0.0007476852028048597,0.0031653822981752453,0.00169821681920439,0.0014671654847916217,0.0018188431160524488,0.0,0.024273394560441374,0.0338790949434042,0.07595228217542171,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00010500000000000002,12.944560289382935
22,3.182907223701477,0.00015197156426438596,0.0021184367884416132,0.0008858257468091324,0.0012326110503636301,0.0014360435656271876,0.0,0.006600557453930378,0.03406591545790434,0.07703811638057231,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,9.754638590585476e-05,13.175795078277588
23,3.180197596549988,8.15034523839131e-05,0.0018989686097484082,0.0007177760824561119,0.001181192515650764,0.001343164563877508,0.0,0.0030594926443882286,0.03441138863563538,0.07605015151202679,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,9.013872582117811e-05,13.03602910041809
24,3.1769360184669493,6.850505815236829e-05,0.0015881297062151135,0.0006051790493074805,0.0009829506423557177,0.0010965223365928978,0.0,0.0021759947761893273,0.03442843090742827,0.0771550040692091,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,8.282269043368901e-05,13.152561664581299
25,3.2127138018608092,6.246427074074745e-05,0.001408175058895722,0.0005387594253988936,0.0008694156538695097,0.000947215297492221,0.0,0.0016981803812086583,0.03485511112958193,0.07862030304968357,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,7.564338553438001e-05,13.495107650756836
26,3.161064350605011,5.949128844804363e-05,0.001221295224968344,0.00045150123187340794,0.0007697939872741699,0.0008098183694528416,0.0,0.0015061828191392124,0.0344189265742898,0.07605028040707111,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,6.864507392531649e-05,13.438870668411255
27,3.134741961956024,5.771497253590496e-05,0.0010385322937509045,0.0004042879372718744,0.0006342443608446047,0.0006598922394914552,0.0,0.0013701560674235225,0.03419928252696991,0.07501588948071003,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,6.187090252474307e-05,12.985321521759033
28,3.1732844352722167,5.63470948691247e-05,0.0009104664088226855,0.00035270697553642095,0.0005577594361966476,0.0005718077387427911,0.0,0.0012228691310156136,0.03451747950166464,0.0781772818416357,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,5.536263635198487e-05,13.311047077178955
29,3.176485335826874,5.5368095127050764e-05,0.0007945119286887348,0.00030533377575920896,0.0004891781558399088,0.0004966441309079527,0.0,0.0011223998211789877,0.03463376946747303,0.07740340121090412,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,4.916040103221507e-05,12.99178671836853
30,3.1663535833358765,5.4596168411080725e-05,0.0006519127317005768,0.0002567601331975311,0.00039515260577900336,0.00039958477282198146,0.0,0.0010570519196335226,0.03457139190286398,0.07685827277600765,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,4.330243540863257e-05,12.994767427444458
31,3.1574239850044252,5.455141690617893e-05,0.0005779182945843786,0.0002245938710984774,0.0003533244234859012,0.00035606762394309045,0.0,0.0010047088202554733,0.03447421230375767,0.07689043395221233,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.7824855787278e-05,13.476764678955078
32,3.1790483832359313,5.372041450755205e-05,0.0005376164044719189,0.0002034876531979535,0.00033412875491194426,0.0003345551624079235,0.0,0.0009437719883862883,0.03480806741863489,0.07605650015175343,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.276143326799707e-05,13.078993558883667
33,3.154293644428253,5.350614337658044e-05,0.0004398118602694012,0.0001748473572661169,0.00026496450591366737,0.00026646664628060535,0.0,0.000906752614537254,0.03448852282017469,0.07654085159301757,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.8143385534380006e-05,13.02056074142456
34,3.1347206830978394,5.3309321265260225e-05,0.00036878500104648994,0.00014877660069032573,0.0002200084003561642,0.0002213322033639997,0.0,0.0008478993375319987,0.0343224473297596,0.0755510937422514,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.3999184386361246e-05,13.041680574417114
35,3.164276456832886,5.304321784933563e-05,0.0003160745109198615,0.00012963877234142273,0.00018643573857843876,0.00018854293593904004,0.0,0.0008377399441087619,0.03464667033404112,0.07643269896507263,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0354380202105065e-05,13.064371347427368
36,3.1508320331573487,5.2667263480543626e-05,0.0002804514471790753,0.00011749407749448438,0.00016295737150358037,0.0001639570444240235,0.0,0.0007904169207904488,0.03450442738831043,0.07617875039577485,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.723144441142776e-05,12.499371767044067
37,3.152623176574707,5.244568528723903e-05,0.0002541875612223521,0.00010477417708898429,0.00014941338667995296,0.00015042140948935413,0.0,0.0007862303085858002,0.03446335569024086,0.07726879492402076,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.4649630951960416e-05,13.001765489578247
38,3.1399771332740785,5.20959663845133e-05,0.0002452465552778449,9.341470686194953e-05,0.0001518318458693102,0.00015262679444276727,0.0,0.0007563814549939706,0.03439629729837179,0.07586499638855457,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.2624857562220728e-05,12.533798456192017
39,3.128184950351715,5.22635778906988e-05,0.0002127422805642709,8.066711015999317e-05,0.000132075169676682,0.00013490230157913173,0.0,0.0007531046605436132,0.03424396198242903,0.07603346146643161,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.1169607643461924e-05,12.847312450408936
40,3.1541380167007445,5.20595109264832e-05,0.0001982732894248329,7.526892659370787e-05,0.00012300436283112503,0.00012477260061132255,0.0,0.000743958362727426,0.03454353753477335,0.07648374438285828,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0292853295352844e-05,12.793396711349487
