path,experiment,dataset,method_family,solver,style_tokenizer,num_styles,num_pt,num_images,has_images
SchrodingerBridge\exp\FCSB\phase4\630_phase4h2h_sota_w_hf_15,630_phase4h2h_sota_w_hf_15,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h2i_per_subband_a07_w_ll_05,630_phase4h2i_per_subband_a07_w_ll_05,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h3f_sota_patch_1359_15,630_phase4h3f_sota_patch_1359_15,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h4e_sota_depth6,630_phase4h4e_sota_depth6,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h4g_sota_dim96_5ep,630_phase4h4g_sota_dim96_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h5e_sota_mask25,630_phase4h5e_sota_mask25,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h5f_sota_mask75,630_phase4h5f_sota_mask75,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h7d_sota_terminal_swd_03,630_phase4h7d_sota_terminal_swd_03,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i1a_eota_per_subband_multi_alpha,630_phase4i1a_eota_per_subband_multi_alpha,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i1d_eota_per_subband_hh_only,630_phase4i1d_eota_per_subband_hh_only,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i2b_sota_heun_5ep,630_phase4i2b_sota_heun_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i5a_sota_heun_cosine,630_phase4i5a_sota_heun_cosine,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i5b_sota_heun_cosine_5ep,630_phase4i5b_sota_heun_cosine_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i5c_sota_heun_rquad_5ep,630_phase4i5c_sota_heun_rquad_5ep,630_phase4i5c_sota_heun_rquad_5ep,630_family,unknown,unknown,?,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i6a_sota_rk4_5ep,630_phase4i6a_sota_rk4_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i7a_cosine_heun_a09_5ep,630_phase4i7a_cosine_heun_a09_5ep,630_phase4i7a_cosine_heun_a09_5ep,630_family,unknown,unknown,?,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i7b_cosine_heun_a085_5ep,630_phase4i7b_cosine_heun_a085_5ep,630_phase4i7b_cosine_heun_a085_5ep,630_family,unknown,unknown,?,1,9763,Y
SchrodingerBridge\exp\FCSB\phase4\630_phase4i8a_cosine_heun_a085_8ep,630_phase4i8a_cosine_heun_a085_8ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i8b_warpcos_p08_a085_5ep,630_phase4i8b_warpcos_p08_a085_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4i9_wct_a085_5ep,630_phase4i9_wct_a085_5ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,751,Y
SchrodingerBridge\exp\FCSB\phase4\630_phase4j1_dwt_route,630_phase4j1_dwt_route,630_phase4j1_dwt_route,630_family,unknown,unknown,?,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4j3_fewshot_stylemem,630_phase4j3_fewshot_stylemem,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4j4_progressive_alpha,630_phase4j4_progressive_alpha,630_phase4j4_progressive_alpha,630_family,unknown,unknown,?,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4j5_wct_aligned_progressive,630_phase4j5_wct_aligned_progressive,630_phase4j5_wct_aligned_progressive,630_family,unknown,unknown,?,1,751,Y
SchrodingerBridge\exp\fewshot6\630_phase4j6_fewshot_popart_v2,630_phase4j6_fewshot_popart_v2,630_phase4j6_fewshot_popart_v2,630_family,unknown,unknown,?,3,0,N
SchrodingerBridge\exp\fewshot6\630_phase4j6_fewshot_popart_v3,630_phase4j6_fewshot_popart_v3,630_phase4j6_fewshot_popart_v3,630_family,unknown,unknown,?,3,0,N
SchrodingerBridge\exp\fewshot8_new3,fewshot8_new3,fewshot8_512,620_spectral_ode,solver_i2sb,factorized,8,2,1921,Y
