epoch,loss,code,code_ref,code_proto,code_ref_cos,code_proto_cos,cycle,gram,nce,w_cycle_eff,w_nce_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
31,56.917169380187985,5.646805095672607,0.017988386377692223,5.628816699981689,0.9999958157539368,0.8837338924407959,0.0014909815741702913,0.012874414911493659,0.1767215460538864,10.0,1.0,0.0,1.0,0.00016083959896778498,3.98026967048645
32,55.70062808990478,5.526480197906494,0.014147206908091903,5.512332940101624,0.9999959677457809,0.8876447677612305,0.0013487238378729672,0.012725052889436483,0.16783773824572562,10.0,1.0,0.0,1.0,0.00015839792089595244,6.124453544616699
33,58.094131278991696,5.76725287437439,0.013181459670886398,5.754071474075317,0.9999961346387863,0.8914972454309463,0.0008748867781832814,0.012575264181941747,0.16134810596704482,10.0,1.0,0.0,1.0,0.0001559035455230047,3.976773977279663
34,59.689887046813965,5.927640295028686,0.013497162889689208,5.91414315700531,0.9999961674213409,0.8946664124727249,0.0010058879764983431,0.01243704087100923,0.15468442663550377,10.0,1.0,0.0,1.0,0.0001533589344962853,3.8130578994750977
35,61.96182403564453,6.154936933517456,0.01335980100557208,6.141577124595642,0.9999962747097015,0.897409975528717,0.0013496232437319121,0.012311990978196264,0.15271731913089753,10.0,1.0,0.0,1.0,0.00015076659903966297,3.8124425411224365
36,58.813845825195315,5.840840148925781,0.015091156167909504,5.825748991966248,0.9999961584806443,0.8989921748638153,0.0012642454821616411,0.01219036290422082,0.14899487048387527,10.0,1.0,0.0,1.0,0.00014812909747525697,3.8681647777557373
37,54.11818141937256,5.371937584877014,0.01648299377411604,5.355454611778259,0.9999960422515869,0.899065425992012,0.0010943603527266532,0.012073325179517268,0.1463951662182808,10.0,1.0,0.0,1.0,0.00014544903269868192,3.8674771785736084
38,49.007177925109865,4.861147928237915,0.0128358646761626,4.848312044143677,0.9999960958957672,0.8975818872451782,0.0015386618237243966,0.0119558063801378,0.14119523763656616,10.0,1.0,0.0,1.0,0.00014272904961030417,3.958750009536743
39,43.495097160339355,4.310727882385254,0.01088460513856262,4.299843263626099,0.9999963015317916,0.895682018995285,0.000978258132818155,0.011835791543126107,0.14131967425346376,10.0,1.0,0.0,1.0,0.00013997183250504444,3.9924347400665283
40,42.803907775878905,4.243077111244202,0.007278165593743324,4.235798907279968,0.999996680021286,0.8964933454990387,0.0007243808344355784,0.011709727300330996,0.13169879242777824,10.0,1.0,0.0,1.0,0.0001371801024233027,4.198083162307739
