src_style,tgt_style,src_slug,depth_mse,edge_iou
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1,0.04697122424840927,0.021033868092691622
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1,0.010185548104345798,0.03274942878903275
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1,0.007795827463269234,0.016184971098265895
Early_Renaissance,Early_Renaissance,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440,0.018027018755674362,0.09070893879348305
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440,0.01583038456737995,0.09862631465979824
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440,0.06515613198280334,0.016728624535315983
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440,0.02005774714052677,0.11771488469601678
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440,0.017950011417269707,0.07457171649311388
Early_Renaissance,Early_Renaissance,Early_Renaissance__giovanni-bellini_virgin-and-child-1488,0.0063325269147753716,0.12068325287783141
Early_Renaissance,Impressionism,Early_Renaissance__giovanni-bellini_virgin-and-child-1488,0.006807646714150906,0.12877697841726618
Early_Renaissance,Minimalism,Early_Renaissance__giovanni-bellini_virgin-and-child-1488,0.022963188588619232,0.03842264914054601
Early_Renaissance,Rococo,Early_Renaissance__giovanni-bellini_virgin-and-child-1488,0.007269241847097874,0.13556953179594688
Early_Renaissance,Ukiyo_e,Early_Renaissance__giovanni-bellini_virgin-and-child-1488,0.008574502542614937,0.13004484304932734
Early_Renaissance,Early_Renaissance,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1),0.003521001897752285,0.5592011412268189
Early_Renaissance,Impressionism,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1),0.0033699534833431244,0.5215877437325905
Early_Renaissance,Minimalism,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1),0.021279161795973778,0.2686962276637988
Early_Renaissance,Rococo,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1),0.0031424658372998238,0.5006868131868132
Early_Renaissance,Ukiyo_e,Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1),0.003992829937487841,0.5547652916073968
Early_Renaissance,Early_Renaissance,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking,0.013693716377019882,0.0
