src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,vangogh,102.jpg,Hayao_102_to_vangogh.jpg,0.28812385,0.8319589495658875,0.37339743971824646,0.5757960677146912,0.89513457,N/A,N/A
Hayao,Hayao,1033.jpg,Hayao_1033_to_Hayao.jpg,0.0009344134,0.7090996503829956,-0.12710539996623993,0.8153891563415527,0.9991473,N/A,N/A
Hayao,cezanne,1033.jpg,Hayao_1033_to_cezanne.jpg,0.40642416,0.7191334366798401,0.4697902500629425,0.5441486239433289,0.7067376,N/A,N/A
Hayao,monet,1033.jpg,Hayao_1033_to_monet.jpg,0.38879806,0.7489054203033447,0.544367253780365,0.5829483270645142,0.74282724,N/A,N/A
Hayao,photo,1033.jpg,Hayao_1033_to_photo.jpg,0.3966778,0.7739495038986206,0.6348876953125,0.6662034392356873,0.64959604,N/A,N/A
Hayao,vangogh,1033.jpg,Hayao_1033_to_vangogh.jpg,0.37288225,0.7492678761482239,0.4520145058631897,0.5985522866249084,0.8395793,N/A,N/A
Hayao,Hayao,1039.jpg,Hayao_1039_to_Hayao.jpg,0.0014240014,0.7263370752334595,-0.12287962436676025,0.8958046436309814,0.99953115,N/A,N/A
Hayao,cezanne,1039.jpg,Hayao_1039_to_cezanne.jpg,0.33720353,0.7396308779716492,0.2996726632118225,0.520244300365448,0.840852,N/A,N/A
Hayao,monet,1039.jpg,Hayao_1039_to_monet.jpg,0.33202645,0.760532021522522,0.3040657639503479,0.45064955949783325,0.7855111,N/A,N/A
Hayao,photo,1039.jpg,Hayao_1039_to_photo.jpg,0.32652414,0.7812753915786743,0.5869126915931702,0.6869493126869202,0.7633898,N/A,N/A
Hayao,vangogh,1039.jpg,Hayao_1039_to_vangogh.jpg,0.3313551,0.7781100273132324,0.25274384021759033,0.5221316814422607,0.8520314,N/A,N/A
Hayao,Hayao,103.jpg,Hayao_103_to_Hayao.jpg,0.0020105953,0.7610727548599243,-0.05135462060570717,0.8683478832244873,0.9995096,N/A,N/A
