run,src,target,is_identity,is_photo_to_art,is_transfer,count,clip_style,clip_content,content_lpips,clip_dir,ec
K1_orig_ep8,Hayao,photo,False,False,True,30,0.6081375439961751,0.8134795050000001,0.4657635346666666,0.4585767765839895,0.3248892519410111
K1_weighted_ep8,Hayao,photo,False,False,True,30,0.5804102251927058,0.8520267273333333,0.44576823566666673,0.38981291751066843,0.3216817831456606
K2_orig_ep8,Hayao,photo,False,False,True,30,0.5624827533960343,0.818343257,0.42173750433333335,0.3815481369694074,0.325262680748249
K2_weighted_ep8,Hayao,photo,False,False,True,30,0.5623347818851471,0.8818408673333333,0.39063934166666675,0.33650814965367315,0.3426646928932646
K1_orig_ep8,Hayao,Hayao,True,False,False,30,0.8080218613147736,0.8424842793333334,0.37637068433333337,0.3889521136879921,0.5039061204154385
K1_weighted_ep8,Hayao,Hayao,True,False,False,30,0.8263360222180685,0.8561928783333334,0.36053251433333333,0.40680842796961464,0.5284150184435831
K2_orig_ep8,Hayao,Hayao,True,False,False,30,0.7966462850570679,0.8656042373333332,0.337299343,0.3006999043126901,0.5279380165039282
K2_weighted_ep8,Hayao,Hayao,True,False,False,30,0.843824815750122,0.8895935153333333,0.31639105466666667,0.3868309403459231,0.5768461923410353
K1_orig_ep8,Hayao,monet,False,False,True,30,0.5417037983735402,0.8324936706666667,0.4102427663333333,0.40551993250846863,0.3194737335955049
K1_weighted_ep8,Hayao,monet,False,False,True,30,0.5261535584926605,0.834174013,0.41314361466666666,0.3804683985809485,0.30877657546727333
K2_orig_ep8,Hayao,monet,False,False,True,30,0.5172975222269695,0.8433811539999999,0.352265587,0.3603307088216146,0.33507140690604054
K2_weighted_ep8,Hayao,monet,False,False,True,30,0.5068109760681788,0.8802525956666666,0.3609344283333334,0.3159558472534021,0.323885446147952
K1_orig_ep8,Hayao,vangogh,False,False,True,30,0.6217957973480225,0.8231177783333333,0.4008617896666668,0.4561329339941343,0.3725416212158821
K1_weighted_ep8,Hayao,vangogh,False,False,True,30,0.6119319538275401,0.8328770793333333,0.41369067899999995,0.4332469657063484,0.3587814083468284
K2_orig_ep8,Hayao,vangogh,False,False,True,30,0.6030121922492981,0.8409894320000001,0.34424458299999994,0.41331954499085743,0.3954285115845227
K2_weighted_ep8,Hayao,vangogh,False,False,True,30,0.5999412735303243,0.8657256746666667,0.36995347100000003,0.39381197541952134,0.37799091699162035
K1_orig_ep8,Hayao,cezanne,False,False,True,30,0.574237459897995,0.8301130396666667,0.3876194993333334,0.4092825546860695,0.3516518231938891
K1_weighted_ep8,Hayao,cezanne,False,False,True,30,0.5622186531623204,0.8522824630000001,0.38353817833333337,0.37974556585152947,0.3465863351034239
K2_orig_ep8,Hayao,cezanne,False,False,True,30,0.5720343331495921,0.8562464926666667,0.3375619096666666,0.39381975730260216,0.3789373312567176
K2_weighted_ep8,Hayao,cezanne,False,False,True,30,0.541286430756251,0.8880361026666665,0.3298416013333333,0.31071903854608535,0.3627476476556048
K1_orig_ep8,monet,photo,False,False,True,30,0.7567696392536163,0.7812094283333333,0.49889092266666674,0.5941182553768158,0.37922413568025914
K1_weighted_ep8,monet,photo,False,False,True,30,0.7545464734236399,0.7825713363333334,0.49332853066666654,0.5875689034660657,0.38230717036984063
K2_orig_ep8,monet,photo,False,False,True,30,0.7082160115242004,0.8116027296666666,0.459846121,0.488909050822258,0.3825456257947056
K2_weighted_ep8,monet,photo,False,False,True,30,0.7378180424372355,0.8227184113333333,0.45722538300000004,0.5419043183326722,0.4004689053995602
K1_orig_ep8,monet,Hayao,False,False,True,30,0.6600554307301839,0.7455414763333335,0.5531607263333334,0.5937060842911402,0.29493868924721417
K1_weighted_ep8,monet,Hayao,False,False,True,30,0.6500992556413014,0.7502608876666667,0.5378939119999999,0.5803730815649033,0.3004148238361138
K2_orig_ep8,monet,Hayao,False,False,True,30,0.5924966196219127,0.7899590683333333,0.5046544783333335,0.48555463552474976,0.2934905471323528
K2_weighted_ep8,monet,Hayao,False,False,True,30,0.641507359345754,0.7792641060000001,0.5072988390000001,0.5615799019734065,0.31607142073969713
K1_orig_ep8,monet,monet,True,False,False,30,0.8272207041581472,0.8322194936666666,0.440045668,0.4272602587938309,0.4632058168134449
K1_weighted_ep8,monet,monet,True,False,False,30,0.8108845770359039,0.8214293280000001,0.4557827783333333,0.3934097992877165,0.4412973516068298
K2_orig_ep8,monet,monet,True,False,False,30,0.8229880670706431,0.8563858723333334,0.41461515666666665,0.35368091613054276,0.4817647407073512
K2_weighted_ep8,monet,monet,True,False,False,30,0.8283965587615967,0.8590335986666666,0.41309671066666664,0.37130137781302136,0.4861886652095951
K1_orig_ep8,monet,vangogh,False,False,True,30,0.8038683553536733,0.8294835133333333,0.4716607673333334,0.438905930519104,0.424715190032575
K1_weighted_ep8,monet,vangogh,False,False,True,30,0.7921701788902282,0.823243531,0.4576679373333333,0.41748389303684236,0.4296192871005599
K2_orig_ep8,monet,vangogh,False,False,True,30,0.8016677300135294,0.8535785033333333,0.4447232953333333,0.3810057073831558,0.4451474153595196
K2_weighted_ep8,monet,vangogh,False,False,True,30,0.8000687817732494,0.8502267323333332,0.4200020863333333,0.3961496949195862,0.46403822421831625
K1_orig_ep8,monet,cezanne,False,False,True,30,0.7756123185157776,0.7946758010000001,0.485164259,0.4311095654964447,0.39931294273179835
K1_weighted_ep8,monet,cezanne,False,False,True,30,0.7732380906740824,0.7914423646666667,0.4769412033333334,0.43215864300727846,0.40444898524481643
