src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_style,clip_content,pred_style,class_correct
monet,monet,00429.jpg,monet_00429_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,00928.jpg,monet_00928_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,01326.jpg,monet_01326_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,01127.jpg,monet_01127_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,00789.jpg,monet_00789_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,00776.jpg,monet_00776_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,00446.jpg,monet_00446_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,00557.jpg,monet_00557_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,01151.jpg,monet_01151_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-11-20 12_03_52.jpg,photo_2015-11-20 12_03_52_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-11-16 09_02_06.jpg,photo_2015-11-16 09_02_06_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-08-23 16_15_36.jpg,photo_2015-08-23 16_15_36_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-03-01 07_26_03.jpg,photo_2015-03-01 07_26_03_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2014-05-19 12_26_07.jpg,photo_2014-05-19 12_26_07_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-07-28 18_33_05.jpg,photo_2016-07-28 18_33_05_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-11-24 12_12_37.jpg,photo_2015-11-24 12_12_37_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-01-07 13_51_57.jpg,photo_2015-01-07 13_51_57_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-01-02 01_14_14.jpg,photo_2016-01-02 01_14_14_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-07-15 21_07_13.jpg,photo_2015-07-15 21_07_13_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01155.jpg,monet_01155_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00429.jpg,monet_00429_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00928.jpg,monet_00928_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01326.jpg,monet_01326_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01127.jpg,monet_01127_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
