variant	category	config_path	run_dir	status	note
loss_no_push	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/loss_no_push.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/loss_no_push	skipped_existing	Disable style push-away term.
dyn_style_strength_jitter	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_style_strength_jitter.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_style_strength_jitter	skipped_existing	Widen train-time style strength range.
dyn_single_step_only	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_single_step_only.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_single_step_only	skipped_existing	Force single-step training and inference.
dyn_flat_step_schedule	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_flat_step_schedule.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_flat_step_schedule	skipped_existing	Use flat step schedule for train/infer.
bundle_style_up	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_up.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_up	skipped_existing	Increase style injection + style losses for 50-epoch run.
bundle_style_down	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_down.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_down	skipped_existing	Reduce style injection + style losses.
bundle_content_guard_strict	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_content_guard_strict.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_content_guard_strict	skipped_existing	Increase structure-preservation losses.
bundle_content_guard_relaxed	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_content_guard_relaxed.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_content_guard_relaxed	skipped_existing	Reduce structure-preservation losses for style-first bias.
bundle_style_losses_off	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_losses_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_losses_off	ok	Turn off all style-specific loss terms.
bundle_all_style_paths_off	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_all_style_paths_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_all_style_paths_off	ok	Ablate main style-injection paths + style losses.
bundle_style_injection_heavy	bundle	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_injection_heavy.json	/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_injection_heavy	ok	Strong style injection with extra smoothing regularization.
