epoch,loss,distill,code,code_ref,code_proto,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
19,0.017725511640310287,4.917203004879411e-05,0.0014127198606729507,0.0006013529608026146,0.0008113668940495699,0.0002614872319099959,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00011986127417882196,11.041952133178711
20,0.017225613771006464,5.308832987793721e-05,0.0013857240905053914,0.0005463146750116721,0.0008394094154937192,0.00023066063586156814,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0001124536140941453,7.4837806224823
21,0.01616250313818455,5.850279740116093e-05,0.00125227554817684,0.0005315409682225436,0.0007207345828646794,0.00024696917535038665,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.00010500000000000002,7.493445634841919
22,0.014621007954701781,6.079634877096396e-05,0.0011043279664590955,0.0004763388933497481,0.000627989080385305,0.00023618012346560135,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,9.754638590585476e-05,7.5013861656188965
23,0.014165333844721318,6.356158664857502e-05,0.0010377923608757555,0.0004396669799461961,0.0005981253867503256,0.0002516178479709197,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,9.013872582117811e-05,11.060701608657837
24,0.014558452507480979,7.04587346262997e-05,0.0010909975273534656,0.0004378295343485661,0.0006531680002808571,0.0002239302579255309,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,8.282269043368901e-05,7.655475616455078
25,0.012894916255027056,7.651391606486869e-05,0.0008898674219381064,0.00039998830907279627,0.0004898791201412677,0.0002465963836584706,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,7.564338553438001e-05,7.655006647109985
26,0.011339386319741606,8.854277366481256e-05,0.000716318452032283,0.00032668258500052617,0.0003896358612109907,0.0002405346189334523,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,6.864507392531649e-05,7.661735773086548
27,0.012526630191132426,0.00012088891271559987,0.0007103213138179854,0.00031916941225063056,0.00039115189283620564,0.0003005638776812702,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,6.187090252474307e-05,10.319690704345703
28,0.014141512149944902,0.0001799759833374992,0.0006251759477891028,0.0002978290678584017,0.0003273468799307011,0.0004290232973289676,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,5.536263635198487e-05,7.666131019592285
29,0.01726146903820336,0.0002520652800740208,0.0005597993382252753,0.0002975234368932433,0.00026227590351481924,0.0006622169952606782,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,4.916040103221507e-05,7.6861891746521
30,0.018208667915314437,0.0002855665457900614,0.0005471457639941946,0.0003148685398628004,0.0002322772161278408,0.0007025879313005134,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,4.330243540863257e-05,7.685925722122192
31,0.01849828418344259,0.0003034540044609457,0.0005123985247337259,0.00032018211350077764,0.00019221641268813984,0.0007305218721739947,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,3.7824855787278e-05,10.340108633041382
32,0.017118466645479204,0.00031671794276917354,0.0004854766812059097,0.00031970310665201395,0.0001657735730987042,0.0005929341103183105,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,3.276143326799707e-05,7.682316303253174
33,0.01602377835661173,0.0003087681223405525,0.00046872801030986013,0.0003180047162459232,0.00015072329770191573,0.0005161135748494416,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,2.8143385534380006e-05,7.679149150848389
34,0.01564327026717365,0.00031064463109942153,0.0004712837049737573,0.0003207818721421063,0.00015050183501443825,0.0004717540563433431,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,2.3999184386361246e-05,7.680361270904541
35,0.015219442965462803,0.0003117858388577588,0.0004532682316494174,0.00031987788825063037,0.00013339034558157437,0.0004451043947483413,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,2.0354380202105065e-05,10.454496145248413
36,0.014845999330282212,0.0003169275194522925,0.00042978132696589453,0.00031387987692141903,0.00011590145077207125,0.00042096356773981827,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.723144441142776e-05,7.682296991348267
37,0.014789711590856314,0.0003182954795192927,0.00043371137871872634,0.00031561071664327757,0.00011810066826001275,0.00040866881900001315,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.4649630951960416e-05,7.673825979232788
38,0.014655430894345045,0.0003168984694639221,0.00044601642293855547,0.000318635422445368,0.00012738099867419804,0.0003857297328067943,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.2624857562220728e-05,7.696375131607056
39,0.014266908494755625,0.0003168279203237034,0.00041941396339097994,0.0003132165060378611,0.00010619745626172516,0.00037362102884799244,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.1169607643461924e-05,7.708400726318359
40,0.01414613015949726,0.000318520434666425,0.0004136238116188906,0.00031107276590773835,0.00010255104971292894,0.0003639483198639937,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0292853295352844e-05,10.28999400138855
