id,probe_group,probe_axis,supported,unsupported_reason,config_path,run_dir,resume_checkpoint,override_summary,rationale
p1_sinkhorn_iters_8,ot_coupling_plan,semantic_sinkhorn_iters,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p1_sinkhorn_iters_8.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p1_sinkhorn_iters_8,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.semantic_attn_routing_mode=sinkhorn; model.semantic_sinkhorn_iters=8,Probe whether enforcing approximate doubly-stochastic routing improves style-content transport geometry.
p2_w_kinetic_0p1,manifold_resistance,w_kinetic,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_w_kinetic_0p1.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_w_kinetic_0p1,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.1,Probe the isotropic motion penalty directly to localize the kinetic collapse threshold.
p2_w_kinetic_0p25,manifold_resistance,w_kinetic,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_w_kinetic_0p25.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_w_kinetic_0p25,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.25,Probe the isotropic motion penalty directly to localize the kinetic collapse threshold.
p2_w_kinetic_0p5,manifold_resistance,w_kinetic,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_w_kinetic_0p5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_w_kinetic_0p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.5,Probe the isotropic motion penalty directly to localize the kinetic collapse threshold.
p2_w_kinetic_1p5,manifold_resistance,w_kinetic,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_w_kinetic_1p5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_w_kinetic_1p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=1.5,Probe the isotropic motion penalty directly to localize the kinetic collapse threshold.
p2_w_kinetic_2,manifold_resistance,w_kinetic,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_w_kinetic_2.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_w_kinetic_2,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=2.0,Probe the isotropic motion penalty directly to localize the kinetic collapse threshold.
p2_entropy_gate_2,manifold_resistance,kinetic_entropy_gate_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_entropy_gate_2.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_entropy_gate_2,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.5; bridge.kinetic_entropy_gate_weight=2.0,Probe adaptive resistance under a low base kinetic penalty.
p2_entropy_gate_5,manifold_resistance,kinetic_entropy_gate_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_entropy_gate_5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_entropy_gate_5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.5; bridge.kinetic_entropy_gate_weight=5.0,Probe adaptive resistance under a low base kinetic penalty.
p2_entropy_gate_10,manifold_resistance,kinetic_entropy_gate_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_entropy_gate_10.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_entropy_gate_10,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.5; bridge.kinetic_entropy_gate_weight=10.0,Probe adaptive resistance under a low base kinetic penalty.
p2_low_freq_anchor_5,manifold_resistance,w_low_freq,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_low_freq_anchor_5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_low_freq_anchor_5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.0; bridge.kinetic_entropy_gate_weight=0.0; bridge.w_low_freq=5.0,Replace kinetic resistance with a low-frequency anchor to test frequency-decoupled dynamics.
p2_low_freq_anchor_10,manifold_resistance,w_low_freq,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_low_freq_anchor_10.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_low_freq_anchor_10,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.0; bridge.kinetic_entropy_gate_weight=0.0; bridge.w_low_freq=10.0,Replace kinetic resistance with a low-frequency anchor to test frequency-decoupled dynamics.
p2_low_freq_anchor_20,manifold_resistance,w_low_freq,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p2_low_freq_anchor_20.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p2_low_freq_anchor_20,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.w_kinetic=0.0; bridge.kinetic_entropy_gate_weight=0.0; bridge.w_low_freq=20.0,Replace kinetic resistance with a low-frequency anchor to test frequency-decoupled dynamics.
p3_terminal_swd_5,terminal_measure_pressure,terminal_swd_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_terminal_swd_5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_terminal_swd_5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.terminal_swd_weight=5,Measure the marginal style return and artifact threshold of stronger terminal distribution matching.
p3_terminal_swd_10,terminal_measure_pressure,terminal_swd_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_terminal_swd_10.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_terminal_swd_10,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.terminal_swd_weight=10,Measure the marginal style return and artifact threshold of stronger terminal distribution matching.
p3_terminal_swd_30,terminal_measure_pressure,terminal_swd_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_terminal_swd_30.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_terminal_swd_30,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.terminal_swd_weight=30,Measure the marginal style return and artifact threshold of stronger terminal distribution matching.
p3_terminal_swd_40,terminal_measure_pressure,terminal_swd_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_terminal_swd_40.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_terminal_swd_40,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.terminal_swd_weight=40,Measure the marginal style return and artifact threshold of stronger terminal distribution matching.
p3_terminal_swd_50,terminal_measure_pressure,terminal_swd_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_terminal_swd_50.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_terminal_swd_50,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.terminal_swd_weight=50,Measure the marginal style return and artifact threshold of stronger terminal distribution matching.
p3_proj_16,terminal_measure_pressure,semantic_swd_num_projections,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_proj_16.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_proj_16,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.semantic_swd_num_projections=16; bridge.swd_num_projections=16,Probe whether fewer semantic projections improve speed without harming style alignment.
p3_proj_32,terminal_measure_pressure,semantic_swd_num_projections,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_proj_32.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_proj_32,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.semantic_swd_num_projections=32; bridge.swd_num_projections=32,Probe whether fewer semantic projections improve speed without harming style alignment.
p3_proj_128,terminal_measure_pressure,semantic_swd_num_projections,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_proj_128.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_proj_128,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.semantic_swd_num_projections=128; bridge.swd_num_projections=128,Probe whether fewer semantic projections improve speed without harming style alignment.
p3_high_freq_micro_0p5,terminal_measure_pressure,swd_micro_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_high_freq_micro_0p5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_high_freq_micro_0p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.swd_use_high_freq=True; bridge.swd_micro_weight=0.5,Re-open the high-frequency trap with the current Sobel-based extraction path.
p3_high_freq_micro_2,terminal_measure_pressure,swd_micro_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_high_freq_micro_2.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_high_freq_micro_2,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.swd_use_high_freq=True; bridge.swd_micro_weight=2.0,Re-open the high-frequency trap with the current Sobel-based extraction path.
p3_high_freq_micro_5,terminal_measure_pressure,swd_micro_weight,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p3_high_freq_micro_5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p3_high_freq_micro_5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,bridge.swd_use_high_freq=True; bridge.swd_micro_weight=5.0,Re-open the high-frequency trap with the current Sobel-based extraction path.
p4_residual_gain_0p75,bypass_and_residual_dynamics,residual_gain,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_residual_gain_0p75.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_residual_gain_0p75,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.residual_gain=0.75,Probe the one-step latent update amplitude and overshoot threshold.
p4_residual_gain_1p25,bypass_and_residual_dynamics,residual_gain,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_residual_gain_1p25.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_residual_gain_1p25,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.residual_gain=1.25,Probe the one-step latent update amplitude and overshoot threshold.
p4_residual_gain_1p5,bypass_and_residual_dynamics,residual_gain,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_residual_gain_1p5.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_residual_gain_1p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.residual_gain=1.5,Probe the one-step latent update amplitude and overshoot threshold.
p4_skip_routing_none,bypass_and_residual_dynamics,skip_routing_mode,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_skip_routing_none.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_skip_routing_none,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.skip_routing_mode=none,Measure which skip routing geometry best decouples style transfer from content drift.
p4_skip_routing_naive,bypass_and_residual_dynamics,skip_routing_mode,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_skip_routing_naive.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_skip_routing_naive,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.skip_routing_mode=naive,Measure which skip routing geometry best decouples style transfer from content drift.
p4_skip_routing_adaptive,bypass_and_residual_dynamics,skip_routing_mode,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_skip_routing_adaptive.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_skip_routing_adaptive,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.skip_routing_mode=adaptive,Measure which skip routing geometry best decouples style transfer from content drift.
p4_skip_routing_normalized,bypass_and_residual_dynamics,skip_routing_mode,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_skip_routing_normalized.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_skip_routing_normalized,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.skip_routing_mode=normalized,Measure which skip routing geometry best decouples style transfer from content drift.
p4_retention_boost_0p15,bypass_and_residual_dynamics,style_skip_content_retention_boost,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_retention_boost_0p15.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_retention_boost_0p15,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.style_skip_content_retention_boost=0.15,Force more content leakage through the style skip path and quantify artifact suppression.
p4_retention_boost_0p3,bypass_and_residual_dynamics,style_skip_content_retention_boost,True,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\configs\p4_retention_boost_0p3.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\phase1_diagnostic_probes\runs\p4_retention_boost_0p3,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,model.style_skip_content_retention_boost=0.3,Force more content leakage through the style skip path and quantify artifact suppression.
