experiment_id,epoch,epoch_num,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,clip_style,clip_content,content_lpips,one_minus_content_lpips,all_clip_style,all_clip_content,all_content_lpips,one_minus_all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,one_minus_transfer_content_lpips,clip_style_photo_to_art,clip_content_photo_to_art,content_lpips_photo_to_art,delta_lpips_1_to_3,status
S-add__K-1_C-0_W-10_Col-15,epoch_0004,4,add_proj,1,0,10,15,0.69944,0.692245,0.540638,0.459362,0.69944,0.692245,0.540638,0.459362,0.687779,0.690785,0.546653,0.453347,0.655663,0.661152,0.607357,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0005,5,add_proj,1,0,10,15,0.695037,0.679734,0.546874,0.453126,0.695037,0.679734,0.546874,0.453126,0.684112,0.677964,0.552671,0.447329,0.653274,0.658009,0.601183,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0006,6,add_proj,1,0,10,15,0.698522,0.683008,0.547892,0.452108,0.698522,0.683008,0.547892,0.452108,0.687488,0.681218,0.553681,0.446319,0.656521,0.656335,0.608904,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0007,7,add_proj,1,0,10,15,0.698762,0.678229,0.552964,0.447036,0.698762,0.678229,0.552964,0.447036,0.688274,0.676418,0.558948,0.441052,0.657412,0.654516,0.608894,0.03485,ok
S-add__K-1_C-0_W-10_Col-15,epoch_0008,8,add_proj,1,0,10,15,0.696896,0.672077,0.555808,0.444192,0.696896,0.672077,0.555808,0.444192,0.686771,0.670099,0.56189,0.43811,0.656394,0.652895,0.606918,0.03485,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0001,1,add_proj,1,0,20,0,0.703636,0.83916,0.427155,0.572845,0.703636,0.83916,0.427155,0.572845,0.674736,0.83539,0.435311,0.564689,0.657279,0.787195,0.474013,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0002,2,add_proj,1,0,20,0,0.703078,0.841225,0.422204,0.577796,0.703078,0.841225,0.422204,0.577796,0.674114,0.836526,0.430238,0.569762,0.655321,0.802577,0.454144,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0003,3,add_proj,1,0,20,0,0.706233,0.83846,0.422366,0.577634,0.706233,0.83846,0.422366,0.577634,0.677826,0.832812,0.430532,0.569468,0.656509,0.799323,0.455722,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0004,4,add_proj,1,0,20,0,0.708375,0.83278,0.425751,0.574249,0.708375,0.83278,0.425751,0.574249,0.68093,0.827109,0.433609,0.566391,0.661276,0.791765,0.463711,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0005,5,add_proj,1,0,20,0,0.710534,0.822029,0.440797,0.559203,0.710534,0.822029,0.440797,0.559203,0.684199,0.816133,0.44891,0.55109,0.667096,0.778646,0.482506,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0006,6,add_proj,1,0,20,0,0.714572,0.811877,0.450548,0.549452,0.714572,0.811877,0.450548,0.549452,0.689241,0.805386,0.459297,0.540703,0.67266,0.76536,0.49313,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0007,7,add_proj,1,0,20,0,0.716114,0.808575,0.451418,0.548582,0.716114,0.808575,0.451418,0.548582,0.691078,0.801933,0.460888,0.539112,0.671557,0.764264,0.48817,-0.004789,ok
S-add__K-1_C-0_W-20_Col-0,epoch_0008,8,add_proj,1,0,20,0,0.716724,0.797714,0.461527,0.538473,0.716724,0.797714,0.461527,0.538473,0.692537,0.790946,0.471155,0.528845,0.672723,0.758614,0.494788,-0.004789,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0001,1,add_proj,1,0,20,15,0.70356,0.746283,0.502866,0.497134,0.70356,0.746283,0.502866,0.497134,0.685584,0.74409,0.508593,0.491407,0.653652,0.702239,0.551337,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0002,2,add_proj,1,0,20,15,0.702763,0.707835,0.535717,0.464283,0.702763,0.707835,0.535717,0.464283,0.689623,0.706253,0.541335,0.458665,0.655832,0.672928,0.603414,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0003,3,add_proj,1,0,20,15,0.698513,0.685621,0.548275,0.451725,0.698513,0.685621,0.548275,0.451725,0.6871,0.683681,0.553618,0.446382,0.654479,0.657244,0.611059,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0004,4,add_proj,1,0,20,15,0.693525,0.670114,0.559396,0.440604,0.693525,0.670114,0.559396,0.440604,0.683342,0.6682,0.564703,0.435297,0.651979,0.650626,0.609191,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0005,5,add_proj,1,0,20,15,0.693404,0.666138,0.56607,0.43393,0.693404,0.666138,0.56607,0.43393,0.683067,0.663985,0.571062,0.428938,0.655033,0.646558,0.619212,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0006,6,add_proj,1,0,20,15,0.696645,0.666162,0.570024,0.429976,0.696645,0.666162,0.570024,0.429976,0.686238,0.663543,0.575043,0.424957,0.65772,0.644423,0.624558,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0007,7,add_proj,1,0,20,15,0.703488,0.670834,0.565512,0.434488,0.703488,0.670834,0.565512,0.434488,0.693933,0.668393,0.571399,0.428601,0.66291,0.646633,0.614639,0.045408,ok
S-add__K-1_C-0_W-20_Col-15,epoch_0008,8,add_proj,1,0,20,15,0.701706,0.667678,0.567724,0.432276,0.701706,0.667678,0.567724,0.432276,0.692247,0.665005,0.573638,0.426362,0.661521,0.64497,0.61483,0.045408,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0001,1,add_proj,1,2,10,0,0.682274,0.891622,0.35299,0.64701,0.682274,0.891622,0.35299,0.64701,0.647208,0.888615,0.360939,0.639061,0.612078,0.876627,0.354226,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0002,2,add_proj,1,2,10,0,0.684104,0.893818,0.343736,0.656264,0.684104,0.893818,0.343736,0.656264,0.649395,0.890514,0.352701,0.647299,0.609168,0.880433,0.346826,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0003,3,add_proj,1,2,10,0,0.687193,0.893583,0.347759,0.652241,0.687193,0.893583,0.347759,0.652241,0.652885,0.8902,0.357747,0.642253,0.616963,0.878118,0.365104,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0004,4,add_proj,1,2,10,0,0.689474,0.887023,0.355202,0.644798,0.689474,0.887023,0.355202,0.644798,0.655761,0.882852,0.365441,0.634559,0.620352,0.86898,0.372254,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0005,5,add_proj,1,2,10,0,0.691833,0.883276,0.357769,0.642231,0.691833,0.883276,0.357769,0.642231,0.658591,0.878576,0.368109,0.631891,0.623076,0.864214,0.378241,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0006,6,add_proj,1,2,10,0,0.694409,0.880309,0.36579,0.63421,0.694409,0.880309,0.36579,0.63421,0.661634,0.875171,0.377,0.623,0.625349,0.861138,0.386435,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0007,7,add_proj,1,2,10,0,0.693965,0.880726,0.368268,0.631732,0.693965,0.880726,0.368268,0.631732,0.660941,0.875757,0.379654,0.620346,0.625326,0.86339,0.386572,-0.005232,ok
S-add__K-1_C-2_W-10_Col-0,epoch_0008,8,add_proj,1,2,10,0,0.694848,0.87548,0.37276,0.62724,0.694848,0.87548,0.37276,0.62724,0.662179,0.870241,0.384072,0.615928,0.626812,0.860777,0.388501,-0.005232,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0001,1,add_proj,1,2,10,15,0.701391,0.831017,0.430033,0.569967,0.701391,0.831017,0.430033,0.569967,0.67366,0.827638,0.438868,0.561132,0.651731,0.780623,0.501901,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0002,2,add_proj,1,2,10,15,0.702456,0.821752,0.433431,0.566569,0.702456,0.821752,0.433431,0.566569,0.67528,0.817701,0.441594,0.558406,0.650017,0.779084,0.491551,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0003,3,add_proj,1,2,10,15,0.703102,0.818692,0.432121,0.567879,0.703102,0.818692,0.432121,0.567879,0.676813,0.814762,0.440527,0.559473,0.650948,0.776691,0.496517,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0004,4,add_proj,1,2,10,15,0.705993,0.795536,0.458802,0.541198,0.705993,0.795536,0.458802,0.541198,0.682528,0.791535,0.467204,0.532796,0.659006,0.751929,0.531657,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0005,5,add_proj,1,2,10,15,0.705206,0.789582,0.459227,0.540773,0.705206,0.789582,0.459227,0.540773,0.682119,0.785166,0.467565,0.532435,0.657162,0.746002,0.523327,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0006,6,add_proj,1,2,10,15,0.705954,0.791146,0.457731,0.542269,0.705954,0.791146,0.457731,0.542269,0.682785,0.786657,0.46599,0.53401,0.657563,0.743441,0.527429,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0007,7,add_proj,1,2,10,15,0.707529,0.79259,0.459732,0.540268,0.707529,0.79259,0.459732,0.540268,0.684276,0.787814,0.468462,0.531538,0.658913,0.744732,0.528345,0.002087,ok
S-add__K-1_C-2_W-10_Col-15,epoch_0008,8,add_proj,1,2,10,15,0.70718,0.781591,0.467338,0.532662,0.70718,0.781591,0.467338,0.532662,0.684969,0.776646,0.476141,0.523859,0.659043,0.735943,0.530354,0.002087,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0001,1,add_proj,1,2,20,0,0.689471,0.883824,0.367519,0.632481,0.689471,0.883824,0.367519,0.632481,0.655428,0.880541,0.375455,0.624545,0.624959,0.858427,0.383552,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0002,2,add_proj,1,2,20,0,0.691942,0.88741,0.361307,0.638693,0.691942,0.88741,0.361307,0.638693,0.657833,0.883444,0.370625,0.629375,0.62692,0.86758,0.379334,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0003,3,add_proj,1,2,20,0,0.692386,0.887036,0.359972,0.640028,0.692386,0.887036,0.359972,0.640028,0.658527,0.883014,0.369633,0.630367,0.626664,0.869781,0.380127,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0004,4,add_proj,1,2,20,0,0.695716,0.88004,0.367776,0.632224,0.695716,0.88004,0.367776,0.632224,0.662783,0.87543,0.37767,0.62233,0.630437,0.861572,0.396013,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0005,5,add_proj,1,2,20,0,0.697673,0.875892,0.371386,0.628614,0.697673,0.875892,0.371386,0.628614,0.665372,0.870795,0.381596,0.618404,0.63432,0.855134,0.402707,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0006,6,add_proj,1,2,20,0,0.69789,0.875051,0.37367,0.62633,0.69789,0.875051,0.37367,0.62633,0.665661,0.869797,0.384543,0.615457,0.633352,0.854412,0.402192,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0007,7,add_proj,1,2,20,0,0.698889,0.869358,0.385173,0.614827,0.698889,0.869358,0.385173,0.614827,0.666931,0.863523,0.396847,0.603153,0.634431,0.850966,0.407421,-0.007547,ok
S-add__K-1_C-2_W-20_Col-0,epoch_0008,8,add_proj,1,2,20,0,0.699268,0.865512,0.38762,0.61238,0.699268,0.865512,0.38762,0.61238,0.667543,0.859607,0.398978,0.601022,0.63448,0.849783,0.406955,-0.007547,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0001,1,add_proj,1,2,20,15,0.701216,0.827499,0.425832,0.574168,0.701216,0.827499,0.425832,0.574168,0.673559,0.824071,0.433532,0.566468,0.649805,0.779846,0.481078,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0002,2,add_proj,1,2,20,15,0.705086,0.800504,0.451847,0.548153,0.705086,0.800504,0.451847,0.548153,0.681167,0.796668,0.460557,0.539443,0.658018,0.759118,0.516965,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0003,3,add_proj,1,2,20,15,0.704727,0.779261,0.467537,0.532463,0.704727,0.779261,0.467537,0.532463,0.682879,0.774986,0.475838,0.524162,0.659827,0.736247,0.529963,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0004,4,add_proj,1,2,20,15,0.705663,0.77306,0.47299,0.52701,0.705663,0.77306,0.47299,0.52701,0.684727,0.768588,0.480977,0.519023,0.659589,0.732116,0.528102,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0005,5,add_proj,1,2,20,15,0.707135,0.767755,0.479825,0.520175,0.707135,0.767755,0.479825,0.520175,0.686677,0.76304,0.487494,0.512506,0.660192,0.724069,0.540414,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0006,6,add_proj,1,2,20,15,0.706856,0.753562,0.49532,0.50468,0.706856,0.753562,0.49532,0.50468,0.687774,0.748843,0.503007,0.496993,0.662537,0.711795,0.559692,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0007,7,add_proj,1,2,20,15,0.708256,0.758587,0.489294,0.510706,0.708256,0.758587,0.489294,0.510706,0.689109,0.75381,0.497529,0.502471,0.662033,0.713849,0.547395,0.041705,ok
S-add__K-1_C-2_W-20_Col-15,epoch_0008,8,add_proj,1,2,20,15,0.705373,0.74197,0.499064,0.500936,0.705373,0.74197,0.499064,0.500936,0.687678,0.737006,0.506953,0.493047,0.660271,0.70463,0.54872,0.041705,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0001,1,add_proj,1,5,10,0,0.676311,0.893563,0.35554,0.64446,0.676311,0.893563,0.35554,0.64446,0.641173,0.891356,0.362436,0.637564,0.597079,0.885812,0.329061,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0002,2,add_proj,1,5,10,0,0.678772,0.891167,0.353881,0.646119,0.678772,0.891167,0.353881,0.646119,0.643972,0.888151,0.361034,0.638966,0.602467,0.882931,0.335746,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0003,3,add_proj,1,5,10,0,0.683929,0.889952,0.352502,0.647498,0.683929,0.889952,0.352502,0.647498,0.649756,0.886094,0.362462,0.637538,0.610764,0.877189,0.348713,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0004,4,add_proj,1,5,10,0,0.682515,0.889154,0.350563,0.649437,0.682515,0.889154,0.350563,0.649437,0.648367,0.885549,0.359271,0.640729,0.608401,0.879445,0.342735,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0005,5,add_proj,1,5,10,0,0.683766,0.888231,0.343663,0.656337,0.683766,0.888231,0.343663,0.656337,0.649627,0.884852,0.351808,0.648192,0.6106,0.879349,0.342972,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0006,6,add_proj,1,5,10,0,0.687354,0.881804,0.352378,0.647622,0.687354,0.881804,0.352378,0.647622,0.654086,0.877798,0.360975,0.639025,0.616216,0.872196,0.357233,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0007,7,add_proj,1,5,10,0,0.688292,0.88078,0.357343,0.642657,0.688292,0.88078,0.357343,0.642657,0.655176,0.876515,0.3669,0.6331,0.615451,0.872808,0.360402,-0.003038,ok
S-add__K-1_C-5_W-10_Col-0,epoch_0008,8,add_proj,1,5,10,0,0.689233,0.874963,0.366855,0.633145,0.689233,0.874963,0.366855,0.633145,0.656443,0.870257,0.376961,0.623039,0.617814,0.867973,0.369378,-0.003038,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0001,1,add_proj,1,5,10,15,0.697895,0.843402,0.428235,0.571765,0.697895,0.843402,0.428235,0.571765,0.668983,0.840119,0.439156,0.560844,0.652284,0.792819,0.493014,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0002,2,add_proj,1,5,10,15,0.698712,0.841305,0.426232,0.573768,0.698712,0.841305,0.426232,0.573768,0.669513,0.837775,0.435628,0.564372,0.646905,0.795903,0.493545,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0003,3,add_proj,1,5,10,15,0.699299,0.836215,0.424389,0.575611,0.699299,0.836215,0.424389,0.575611,0.670657,0.832538,0.433507,0.566493,0.646602,0.793121,0.492842,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0004,4,add_proj,1,5,10,15,0.700944,0.836382,0.423746,0.576254,0.700944,0.836382,0.423746,0.576254,0.672465,0.83271,0.433108,0.566892,0.650135,0.790601,0.504187,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0005,5,add_proj,1,5,10,15,0.699671,0.832337,0.420395,0.579605,0.699671,0.832337,0.420395,0.579605,0.671391,0.828564,0.429062,0.570938,0.645859,0.791418,0.484532,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0006,6,add_proj,1,5,10,15,0.699791,0.822613,0.427803,0.572197,0.699791,0.822613,0.427803,0.572197,0.672688,0.818981,0.436128,0.563872,0.646044,0.782051,0.490186,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0007,7,add_proj,1,5,10,15,0.700405,0.823278,0.427865,0.572135,0.700405,0.823278,0.427865,0.572135,0.673325,0.819755,0.436175,0.563825,0.645691,0.784393,0.490986,-0.003845,ok
S-add__K-1_C-5_W-10_Col-15,epoch_0008,8,add_proj,1,5,10,15,0.701522,0.814371,0.436635,0.563365,0.701522,0.814371,0.436635,0.563365,0.675427,0.810485,0.445183,0.554817,0.64662,0.777302,0.496757,-0.003845,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0001,1,add_proj,1,5,20,0,0.683412,0.889404,0.355159,0.644841,0.683412,0.889404,0.355159,0.644841,0.648608,0.886163,0.36394,0.63606,0.613481,0.873876,0.361815,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0002,2,add_proj,1,5,20,0,0.686599,0.889517,0.35137,0.64863,0.686599,0.889517,0.35137,0.64863,0.652523,0.885623,0.36089,0.63911,0.613935,0.876334,0.358378,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0003,3,add_proj,1,5,20,0,0.69028,0.887804,0.359962,0.640038,0.69028,0.887804,0.359962,0.640038,0.656706,0.883832,0.371264,0.628736,0.622982,0.870945,0.386992,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0004,4,add_proj,1,5,20,0,0.691366,0.88283,0.363312,0.636688,0.691366,0.88283,0.363312,0.636688,0.658139,0.878246,0.374256,0.625744,0.623437,0.866113,0.381803,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0005,5,add_proj,1,5,20,0,0.692985,0.879175,0.362602,0.637398,0.692985,0.879175,0.362602,0.637398,0.660282,0.874257,0.373384,0.626616,0.62451,0.862268,0.384993,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0006,6,add_proj,1,5,20,0,0.695754,0.87445,0.372122,0.627878,0.695754,0.87445,0.372122,0.627878,0.663777,0.868965,0.383802,0.616198,0.627675,0.858806,0.395248,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0007,7,add_proj,1,5,20,0,0.695215,0.875851,0.374556,0.625444,0.695215,0.875851,0.374556,0.625444,0.662821,0.870404,0.38643,0.61357,0.625912,0.861028,0.394886,0.004803,ok
S-add__K-1_C-5_W-20_Col-0,epoch_0008,8,add_proj,1,5,20,0,0.695709,0.869026,0.380906,0.619094,0.695709,0.869026,0.380906,0.619094,0.663896,0.863289,0.392714,0.607286,0.626645,0.856927,0.39877,0.004803,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0001,1,add_proj,1,5,20,15,0.696984,0.852111,0.411078,0.588922,0.696984,0.852111,0.411078,0.588922,0.66647,0.848576,0.420211,0.579789,0.647319,0.808843,0.459717,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0002,2,add_proj,1,5,20,15,0.696681,0.854109,0.397304,0.602696,0.696681,0.854109,0.397304,0.602696,0.666325,0.850494,0.40653,0.59347,0.642163,0.814927,0.444351,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0003,3,add_proj,1,5,20,15,0.701075,0.833779,0.422257,0.577743,0.701075,0.833779,0.422257,0.577743,0.672904,0.829505,0.432571,0.567429,0.650149,0.792919,0.48595,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0004,4,add_proj,1,5,20,15,0.702106,0.812472,0.440182,0.559818,0.702106,0.812472,0.440182,0.559818,0.675987,0.807542,0.450269,0.549731,0.651921,0.77348,0.497381,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0005,5,add_proj,1,5,20,15,0.703355,0.806437,0.4457,0.5543,0.703355,0.806437,0.4457,0.5543,0.67788,0.80129,0.4556,0.5444,0.652974,0.764663,0.509166,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0006,6,add_proj,1,5,20,15,0.704426,0.806939,0.44449,0.55551,0.704426,0.806939,0.44449,0.55551,0.678723,0.801434,0.454201,0.545799,0.653106,0.764073,0.511956,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0007,7,add_proj,1,5,20,15,0.704594,0.808147,0.443957,0.556043,0.704594,0.808147,0.443957,0.556043,0.679115,0.802655,0.4541,0.5459,0.651181,0.767151,0.501178,0.011179,ok
S-add__K-1_C-5_W-20_Col-15,epoch_0008,8,add_proj,1,5,20,15,0.704538,0.796442,0.453067,0.546933,0.704538,0.796442,0.453067,0.546933,0.680104,0.79081,0.463069,0.536931,0.651526,0.757079,0.506969,0.011179,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0001,1,add_proj,2,0,10,0,0.686487,0.889289,0.348128,0.651872,0.686487,0.889289,0.348128,0.651872,0.652366,0.88683,0.354444,0.645556,0.621517,0.857367,0.368398,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0002,2,add_proj,2,0,10,0,0.686189,0.893531,0.343703,0.656297,0.686189,0.893531,0.343703,0.656297,0.651222,0.890921,0.350641,0.649359,0.616054,0.873565,0.3511,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0003,3,add_proj,2,0,10,0,0.687903,0.894027,0.342659,0.657341,0.687903,0.894027,0.342659,0.657341,0.65315,0.890945,0.349781,0.650219,0.617621,0.874027,0.353413,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0004,4,add_proj,2,0,10,0,0.692126,0.890462,0.347451,0.652549,0.692126,0.890462,0.347451,0.652549,0.657947,0.886715,0.354889,0.645111,0.626001,0.863661,0.369695,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0005,5,add_proj,2,0,10,0,0.695131,0.884621,0.357641,0.642359,0.695131,0.884621,0.357641,0.642359,0.661936,0.880578,0.365584,0.634416,0.633576,0.852844,0.38314,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0006,6,add_proj,2,0,10,0,0.696023,0.882284,0.360237,0.639763,0.696023,0.882284,0.360237,0.639763,0.663015,0.878148,0.368489,0.631511,0.633785,0.849178,0.382565,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0007,7,add_proj,2,0,10,0,0.697384,0.87841,0.366327,0.633673,0.697384,0.87841,0.366327,0.633673,0.664577,0.873628,0.375326,0.624674,0.633648,0.846217,0.383348,-0.00547,ok
S-add__K-2_C-0_W-10_Col-0,epoch_0008,8,add_proj,2,0,10,0,0.698084,0.87242,0.37346,0.62654,0.698084,0.87242,0.37346,0.62654,0.66559,0.867501,0.382579,0.617421,0.635698,0.842376,0.388346,-0.00547,ok
S-add__K-2_C-0_W-10_Col-15,epoch_0001,1,add_proj,2,0,10,15,0.704489,0.784584,0.465513,0.534487,0.704489,0.784584,0.465513,0.534487,0.68203,0.781978,0.471509,0.528491,0.655671,0.733401,0.525814,0.019355,ok
S-add__K-2_C-0_W-10_Col-15,epoch_0002,2,add_proj,2,0,10,15,0.705471,0.771413,0.476886,0.523114,0.705471,0.771413,0.476886,0.523114,0.68545,0.769176,0.48315,0.51685,0.65548,0.726474,0.541338,0.019355,ok
S-add__K-2_C-0_W-10_Col-15,epoch_0003,3,add_proj,2,0,10,15,0.706298,0.762193,0.484868,0.515132,0.706298,0.762193,0.484868,0.515132,0.687746,0.759769,0.49151,0.50849,0.65719,0.722053,0.545793,0.019355,ok
