experiment_id,epoch,epoch_num,skip_routing_mode,skip_fusion_mode,semantic_attn_temperature,style_attn_temperature,base_dim,num_res_blocks,w_kinetic,w_cycle,terminal_swd_weight,w_color,w_low_freq,w_repulsive,w_nce,low_freq_kernel_size,swd_use_high_freq,swd_patch_sizes,swd_num_projections,semantic_swd_num_projections,batch_size,learning_rate,num_epochs,save_interval,virtual_length_multiplier,clip_style,clip_content,content_lpips,one_minus_content_lpips,all_clip_style,all_clip_content,all_content_lpips,one_minus_all_content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,one_minus_transfer_content_lpips,clip_style_photo_to_art,clip_content_photo_to_art,content_lpips_photo_to_art,delta_lpips_1_to_3,cmmd_all,dino_structure_all,gram_micro_all,gram_macro_all,cmmd_transfer,dino_structure_transfer,gram_micro_transfer,gram_macro_transfer,cmmd_photo_to_art,dino_structure_photo_to_art,gram_micro_photo_to_art,gram_macro_photo_to_art,status,returncode,summary_exists
S-add__K-3_C-2_W-10_Col-15,epoch_0015,15,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7040439691940942,0.8068738988133333,0.44384847932,0.5561515206800001,0.7040439691940942,0.8068738988133333,0.44384847932,0.5561515206800001,0.6786763140062492,0.8026213112166667,0.45219791219999983,0.5478020878000002,0.6511178851127625,0.7546602289166666,0.5002901545833333,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0016,16,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7029109505017598,0.7967361422666667,0.45166670732,0.54833329268,0.7029109505017598,0.7967361422666667,0.45166670732,0.54833329268,0.6784607257445654,0.7925769222666668,0.45947357715,0.54052642285,0.6523255720734596,0.7463977900000001,0.5033016738333334,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0017,17,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7029503583510717,0.791435491,0.4561564187066666,0.5438435812933333,0.7029503583510717,0.791435491,0.4561564187066666,0.5438435812933333,0.6789821985860666,0.78724376135,0.4635182299499999,0.5364817700500001,0.65335600177447,0.7429969390833333,0.5051835496666667,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0018,18,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7027251489162445,0.7939085764666668,0.45244316468,0.54755683532,0.7027251489162445,0.7939085764666668,0.45244316468,0.54755683532,0.6784614844123523,0.7896649673,0.45964916275000006,0.5403508372499999,0.6527517447868983,0.7447242535,0.5006780418333334,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0019,19,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7029494628111521,0.7966757299199999,0.45081749492,0.54918250508,0.7029494628111521,0.7966757299199999,0.45081749492,0.54918250508,0.6784258950750033,0.7924622249499998,0.45824865405,0.5417513459500001,0.6523075528442859,0.7474401225,0.498689878,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-3_C-2_W-10_Col-15,epoch_0020,20,add_proj,add_proj,0.12,0.08,64,4,3.0,2.0,10.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.7029420464833578,0.7984296862400001,0.44894078307999996,0.55105921692,0.7029420464833578,0.7984296862400001,0.44894078307999996,0.55105921692,0.6783176693320274,0.7942379643166667,0.4564831022333333,0.5435168977666667,0.6522779708107314,0.7489174070833334,0.49746912208333327,0.02369582579999996,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0001,1,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6878746387561161,0.8660438191466667,0.3754982372933333,0.6245017627066667,0.6878746387561161,0.8660438191466667,0.3754982372933333,0.6245017627066667,0.6555907229085763,0.86338668685,0.3823790016333333,0.6176209983666667,0.6307311601936818,0.8166250278333334,0.4191748104166667,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0002,2,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6912692145903905,0.8600678774000001,0.39088044990666665,0.6091195500933333,0.6912692145903905,0.8600678774000001,0.39088044990666665,0.6091195500933333,0.6597248916327954,0.8564807224166666,0.39908425636666667,0.6009157436333333,0.6343573038776715,0.8129850243333334,0.43741508591666667,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0003,3,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6926443693637847,0.8577914777066665,0.39384447949333334,0.6061555205066667,0.6926443693637847,0.8577914777066665,0.39384447949333334,0.6061555205066667,0.6613907023270926,0.8540753943666667,0.4023655467166667,0.5976344532833333,0.6361491908629735,0.81182147325,0.44258145874999993,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0004,4,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6935991285244625,0.85535560976,0.39536443796,0.60463556204,0.6935991285244625,0.85535560976,0.39536443796,0.60463556204,0.6625532746811708,0.8517593982333335,0.4038180388,0.5961819612,0.6379014944036802,0.8093093779166668,0.4469291934166667,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0005,5,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.694870579044024,0.8523703594666665,0.3993434763066667,0.6006565236933332,0.694870579044024,0.8523703594666665,0.3993434763066667,0.6006565236933332,0.6641451018551984,0.8487321216166667,0.4076971559833333,0.5923028440166667,0.6393970549106598,0.8061463345000001,0.45289424433333336,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0006,6,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6950956542889277,0.8506897777600001,0.40120070991999995,0.5987992900800001,0.6950956542889277,0.8506897777600001,0.40120070991999995,0.5987992900800001,0.6644992162287234,0.8471184867,0.4095635196333333,0.5904364803666666,0.6401776979366938,0.804887911,0.45466889516666664,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0007,7,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6958416516383488,0.8502693323333336,0.40162554272,0.59837445728,0.6958416516383488,0.8502693323333336,0.40162554272,0.59837445728,0.6653627980252106,0.8465894717333334,0.41006083401666665,0.5899391659833333,0.6407322891056537,0.8040866010833334,0.4538610596666667,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0008,8,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6964178139368694,0.8492900943466666,0.40197068549333337,0.5980293145066666,0.6964178139368694,0.8492900943466666,0.40197068549333337,0.5980293145066666,0.6661859984199205,0.84574359185,0.41040595480000003,0.5895940451999999,0.6414680848519008,0.8035921941666667,0.4544237514166667,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0009,9,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.697105176448822,0.8477960696133333,0.40323108437333327,0.5967689156266667,0.697105176448822,0.8477960696133333,0.40323108437333327,0.5967689156266667,0.6669569198290508,0.8440707940666666,0.41167216146666663,0.5883278385333334,0.6417597370843093,0.8011443425,0.45723506050000007,0.01834624220000003,,,,,,,,,,,,,ok,0,True
S-add__K-5_C-5_W-15_Col-15,epoch_0010,10,add_proj,add_proj,0.12,0.08,64,4,5.0,5.0,15.0,15.0,0.0,0.0,0.0,5,False,3|5|7|15,64,64,32,5e-05,20,1,0.5,0.6981581558386485,0.8456013095466666,0.40591461677333335,0.5940853832266666,0.6981581558386485,0.8456013095466666,0.40591461677333335,0.5940853832266666,0.6683059744040171,0.8418567483666667,0.4144363580833333,0.5855636419166668,0.6434051933387915,0.7983164454166667,0.46166632208333336,0.01834624220000003,,,,,,,,,,,,,ok,0,True
