dataset,scope,method,series,label,step,clip_style,content_lpips,one_minus_lpips,source,point_kind
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 6000,6000,0.7813237812121709,0.2646645720666666,0.7353354279333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_006000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 7000,7000,0.7848497724533081,0.2461032533733333,0.7538967466266666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_007000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 7000,7000,0.7776414534449577,0.2462175086666667,0.7537824913333333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_007000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 8000,8000,0.787915860970815,0.1906411543866666,0.8093588456133334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_008000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 8000,8000,0.7804032136003175,0.1908345444833333,0.8091654555166666,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_008000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 9000,9000,0.7868264133930208,0.166118034264,0.8338819657359999,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_009000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 9000,9000,0.7788932804266613,0.1663055214266666,0.8336944785733333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_009000\summary.json,
wikiart512_5style,full,SaMAM,SaMAM curve,SaMAM 10000,10000,0.7850886265436807,0.1643359548173333,0.8356640451826667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,
wikiart512_5style,transfer,SaMAM,SaMAM curve,SaMAM 10000,10000,0.7773564200599988,0.1643926107616666,0.8356073892383333,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_scratch_clean_silent_b1_20k\formal_eval_750\step_010000\summary.json,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 250,250,0.5479905153512955,0.60062504418691,0.39937495581309,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
