"method","dataset_or_setting","resolution","train_time_value","train_time_unit","infer_time_value","infer_time_unit","params_m","source_path","note"
"LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","96.312","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.696; content_lpips=0.331; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","95.579","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.699; content_lpips=0.361; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_l1_seed42_b44","512","","","95.318","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_l1_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.696; content_lpips=0.342; training_csv_count=2; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","41.556","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.696; content_lpips=0.331; training_csv_count=1; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","94.714","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.699; content_lpips=0.359; training_csv_count=1; remote_train.log exists"
"LBM","aaai2027_flow_loss_h_base_mse_seed42_b44","512","","","94.297","s full_eval wall_total from summary.json","6.092","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_flow_loss_h_base_mse_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.696; content_lpips=0.342; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_execution_alignment_l_e1","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_execution_alignment_l_e1\full_eval\aaai2027_tokenizer_execution_alignment_l_e1\summary.json",""
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","21.335","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.696; content_lpips=0.322; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","87.738","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.692; content_lpips=0.329; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44","512","","","87.606","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_executoronly_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.696; content_lpips=0.335; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","512","","","93.352","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0001\summary.json","clip_style=0.690; content_lpips=0.319; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","512","","","151.641","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0002\summary.json","clip_style=0.691; content_lpips=0.320; training_csv_count=1; remote_train.log exists"
"LBM/tokenizer","aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44","512","","","151.239","s full_eval wall_total from summary.json","6.130","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\aaai2027_tokenizer_localization_l_e1_stylebranch_seed42_b44\full_eval\epoch_0003\summary.json","clip_style=0.691; content_lpips=0.320; training_csv_count=1; remote_train.log exists"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.453; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.665; content_lpips=0.298; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.702; content_lpips=0.467; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.452; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.723; content_lpips=0.632; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.690; content_lpips=0.359; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.453; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.706; content_lpips=0.451; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.452; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.453; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.696; content_lpips=0.568; training_csv_count=12"
"LBM","ablation_destructive_7epoch","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\ablation_destructive_7epoch\full_eval\epoch_0007\summary.json","clip_style=0.713; content_lpips=0.452; training_csv_count=12"
"LBM","artfid_wikiart5_compare","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\artfid_wikiart5_compare\full_eval\artfid_wikiart5_compare\summary.json",""
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.705; content_lpips=0.487; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.705; content_lpips=0.503; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.708; content_lpips=0.511; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.708; content_lpips=0.513; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.707; content_lpips=0.510; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.713; content_lpips=0.534; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.713; content_lpips=0.543; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.713; content_lpips=0.551; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.705; content_lpips=0.487; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.705; content_lpips=0.503; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.708; content_lpips=0.511; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.708; content_lpips=0.513; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.707; content_lpips=0.510; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.712; content_lpips=0.534; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.713; content_lpips=0.543; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.713; content_lpips=0.551; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.707; content_lpips=0.509; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.713; content_lpips=0.537; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.713; content_lpips=0.540; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.716; content_lpips=0.558; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.717; content_lpips=0.570; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.717; content_lpips=0.579; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.718; content_lpips=0.576; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.720; content_lpips=0.584; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.712; content_lpips=0.519; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.713; content_lpips=0.543; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.715; content_lpips=0.557; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.716; content_lpips=0.552; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.716; content_lpips=0.573; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.716; content_lpips=0.566; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.718; content_lpips=0.584; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.715; content_lpips=0.589; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.698; content_lpips=0.438; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.703; content_lpips=0.453; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.706; content_lpips=0.457; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.706; content_lpips=0.472; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.710; content_lpips=0.482; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.711; content_lpips=0.499; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.713; content_lpips=0.509; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.712; content_lpips=0.503; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.696; content_lpips=0.723; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.685; content_lpips=0.738; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.684; content_lpips=0.747; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.683; content_lpips=0.760; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.683; content_lpips=0.757; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.684; content_lpips=0.764; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.682; content_lpips=0.764; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.682; content_lpips=0.762; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.737; content_lpips=0.845; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.730; content_lpips=0.844; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.721; content_lpips=0.842; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.731; content_lpips=0.868; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.725; content_lpips=0.857; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.725; content_lpips=0.871; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.723; content_lpips=0.663; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.722; content_lpips=0.679; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.724; content_lpips=0.681; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.718; content_lpips=0.698; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.719; content_lpips=0.733; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0120\summary.json","clip_style=0.713; content_lpips=0.753; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0140\summary.json","clip_style=0.715; content_lpips=0.761; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0160\summary.json","clip_style=0.709; content_lpips=0.760; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.724; content_lpips=0.672; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.726; content_lpips=0.689; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0060\summary.json","clip_style=0.727; content_lpips=0.722; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0080\summary.json","clip_style=0.730; content_lpips=0.720; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0100\summary.json","clip_style=0.728; content_lpips=0.723; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0020\summary.json","clip_style=0.689; content_lpips=0.383; training_csv_count=28"
"LBM","configs","","","","","s full_eval wall_total from summary.json","","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\configs\full_eval\epoch_0040\summary.json","clip_style=0.690; content_lpips=0.389; training_csv_count=28"
