"duplicate_key","root","relative_path","path","name","size_mb","sha256"
"main|40","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\refs\main","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\refs\main","main","3.8E-05","09AFED3031CE614589C7942EB2799A898FA28775DEA6C1AD57BEA7850A527D06"
"config.json|4186","I:\Github\Latent_Style\eval_cache","hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json","config.json","0.003992","B575EF3C36F2A057FA19E221650105052D61CC9C1A972EC15019C6261EC98770"
"config.json|4186","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\config.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json","config.json","0.003992","B575EF3C36F2A057FA19E221650105052D61CC9C1A972EC15019C6261EC98770"
"config.json|4186","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\snapshots\3d74acf9a28c67741b2f4f2ea7635f0aaf6f0268\config.json","config.json","0.003992","B575EF3C36F2A057FA19E221650105052D61CC9C1A972EC15019C6261EC98770"
"config.json|4186","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\config.json","config.json","0.003992","B575EF3C36F2A057FA19E221650105052D61CC9C1A972EC15019C6261EC98770"
"diffusion_pytorch_model.safetensors.index.json|0","I:\Github\Latent_Style\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json","diffusion_pytorch_model.safetensors.index.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"diffusion_pytorch_model.safetensors.index.json|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\.no_exist\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors.index.json","diffusion_pytorch_model.safetensors.index.json","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"config.json|547","I:\Github\Latent_Style\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json","config.json","0.000522","92D3DFB746FCA211A2C9E019E285F8597412211728DCE3C5BCF4EDA0F2D62E7E"
"config.json|547","I:\Github\Latent_Style\eval_cache","hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\config.json","I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\config.json","config.json","0.000522","92D3DFB746FCA211A2C9E019E285F8597412211728DCE3C5BCF4EDA0F2D62E7E"
"config.json|547","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\config.json","config.json","0.000522","92D3DFB746FCA211A2C9E019E285F8597412211728DCE3C5BCF4EDA0F2D62E7E"
"diffusion_pytorch_model.safetensors|334643276","I:\Github\Latent_Style\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors","I:\Github\Latent_Style\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors","diffusion_pytorch_model.safetensors","319.140697","A1D993488569E928462932C8C38A0760B874D166399B14414135BD9C42DF5815"
"diffusion_pytorch_model.safetensors|334643276","I:\Github\Latent_Style\eval_cache","hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\diffusion_pytorch_model.safetensors","I:\Github\Latent_Style\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-ema\stabilityai\sd-vae-ft-ema\diffusion_pytorch_model.safetensors","diffusion_pytorch_model.safetensors","319.140697","32DB726DA04F06C1B6B14C0043CE115CC87A501482945C5ADD89A40D838FCB46"
"diffusion_pytorch_model.safetensors|334643276","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--stabilityai--sd-vae-ft-mse\snapshots\31f26fdeee1355a5c34592e401dd41e45d25a493\diffusion_pytorch_model.safetensors","diffusion_pytorch_model.safetensors","319.140697","A1D993488569E928462932C8C38A0760B874D166399B14414135BD9C42DF5815"
"xet_20260507T163427665+0800_108712.log|0","I:\Github\Latent_Style\eval_cache","hf\xet\logs\xet_20260507T163427665+0800_108712.log","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log","xet_20260507T163427665+0800_108712.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"xet_20260507T163427665+0800_108712.log|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\xet\logs\xet_20260507T163427665+0800_108712.log","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T163427665+0800_108712.log","xet_20260507T163427665+0800_108712.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"xet_20260507T165049581+0800_112184.log|0","I:\Github\Latent_Style\eval_cache","hf\xet\logs\xet_20260507T165049581+0800_112184.log","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log","xet_20260507T165049581+0800_112184.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"xet_20260507T165049581+0800_112184.log|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\xet\logs\xet_20260507T165049581+0800_112184.log","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T165049581+0800_112184.log","xet_20260507T165049581+0800_112184.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"xet_20260507T170055075+0800_112032.log|0","I:\Github\Latent_Style\eval_cache","hf\xet\logs\xet_20260507T170055075+0800_112032.log","I:\Github\Latent_Style\eval_cache\hf\xet\logs\xet_20260507T170055075+0800_112032.log","xet_20260507T170055075+0800_112032.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"xet_20260507T170055075+0800_112032.log|0","I:\Github\Latent_Style\Cycle-NCE\eval_cache","hf\xet\logs\xet_20260507T170055075+0800_112032.log","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\xet\logs\xet_20260507T170055075+0800_112032.log","xet_20260507T170055075+0800_112032.log","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"merges.txt|524657","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\merges.txt","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\merges.txt","merges.txt","0.500352","F526393189112391CE6F9795D4695F704121CE452C3AAD1F5335CC41337EBA85"
"merges.txt|524657","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\merges.txt","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\merges.txt","merges.txt","0.500352","F526393189112391CE6F9795D4695F704121CE452C3AAD1F5335CC41337EBA85"
"preprocessor_config.json|316","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json","preprocessor_config.json","0.000301","910E70B3956AC9879EBC90B22FB3BC8A75B6A0677814500101A4C072BD7857BD"
"preprocessor_config.json|316","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\preprocessor_config.json","preprocessor_config.json","0.000301","910E70B3956AC9879EBC90B22FB3BC8A75B6A0677814500101A4C072BD7857BD"
"pytorch_model.bin|605247071","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin","pytorch_model.bin","577.208587","A63082132BA4F97A80BEA76823F544493BFFA8082296D62D71581A4FEFF1576F"
"pytorch_model.bin|605247071","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\pytorch_model.bin","pytorch_model.bin","577.208587","A63082132BA4F97A80BEA76823F544493BFFA8082296D62D71581A4FEFF1576F"
"special_tokens_map.json|389","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json","special_tokens_map.json","0.000371","F8C0D6C39AEE3F8431078EF6646567B0ABA7F2246E9C54B8B99D55C22B707CBF"
"special_tokens_map.json|389","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\special_tokens_map.json","special_tokens_map.json","0.000371","F8C0D6C39AEE3F8431078EF6646567B0ABA7F2246E9C54B8B99D55C22B707CBF"
"tokenizer.json|2224041","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\tokenizer.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer.json","tokenizer.json","2.121011","B556AC8C99757FFB677208AF34BC8C6721572114111A6E0AAF5FA69FF0B8D842"
"tokenizer.json|2224041","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\tokenizer.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer.json","tokenizer.json","2.121011","B556AC8C99757FFB677208AF34BC8C6721572114111A6E0AAF5FA69FF0B8D842"
"tokenizer_config.json|592","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json","tokenizer_config.json","0.000565","34B7336E4BEE12E0A9730EAF5189F582EF3C3EEA5027F65730E5717256755AAD"
"tokenizer_config.json|592","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\tokenizer_config.json","tokenizer_config.json","0.000565","34B7336E4BEE12E0A9730EAF5189F582EF3C3EEA5027F65730E5717256755AAD"
"vocab.json|862328","I:\Github\Latent_Style\eval_cache","manual_clip\openai-clip-vit-base-patch32\vocab.json","I:\Github\Latent_Style\eval_cache\manual_clip\openai-clip-vit-base-patch32\vocab.json","vocab.json","0.82238","5047B556CE86CCAF6AA22B3FFCCFC52D391EA4ACCDAB9C2F2407DA5B742D4363"
"vocab.json|862328","I:\Github\Latent_Style\Cycle-NCE\eval_cache","manual_clip\openai-clip-vit-base-patch32\vocab.json","I:\Github\Latent_Style\Cycle-NCE\eval_cache\manual_clip\openai-clip-vit-base-patch32\vocab.json","vocab.json","0.82238","5047B556CE86CCAF6AA22B3FFCCFC52D391EA4ACCDAB9C2F2407DA5B742D4363"
