"remote_root","exp_dir","source_file_count","total_hit_count","master_log_hit_count","experiment_doc_hit_count","review_doc_hit_count","paper_hit_count","hit_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","legacy","199","39","1","32","2","1","aaai_submission\paper_aaai2026.tex;docs\aaai2027_working_index_20260602.md;docs\cleanup\worktree_triage_20260603.md;docs\experiments\2026-05-09-black-dot-mitigation-report.md;docs\experiments\2026-05-11-baseline-reproduction-progress.md;docs\experiments\2026-05-16-directory-cleanup-pass-1.md;docs\experiments\2026-05-16-root-directory-audit.md;docs\experiments\2026-06-03-distinct5-idt-evaluation-note.md;docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\2026-06-03-repo-cleanup-and-archive-pass.md;docs\experiments\2026-06-03-selected-style-metrics-helper-smoke.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\experiments\comparison_20260602\artfid_comparison_points.csv;docs\experiments\comparison_20260602\artfid_comparison_points.json;docs\experiments\comparison_20260602\comparison_report.md;docs\experiments\comparison_20260602\lancet_history_by_dataset.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\lancet_representative_points.csv;docs\experiments\comparison_20260602\README.md;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\idt_eval_20260602\idt_build_summary.json;docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\aggregate_targetwise_artfid.json;docs\experiments\idt_eval_20260602\legacy256_overfit50\idt_5x5\idt_manifest.json;docs\experiments\metric_hacking_noop_20260602\noop_full_transfer_summary.csv;docs\experiments\metric_hacking_noop_20260602\README.md;docs\experiments\noop_comparison_across_datasets_20260602\best_all_transfer_vs_noop_keypoints.csv;docs\experiments\noop_comparison_across_datasets_20260602\best_all_vs_noop_keypoints.csv;docs\experiments\noop_comparison_across_datasets_20260602\best_transfer_vs_noop_keypoints.csv;docs\experiments\noop_comparison_across_datasets_20260602\best_transfer_vs_noop_lpips.csv;docs\experiments\noop_comparison_across_datasets_20260602\dataset_artifact_mapping.csv;docs\experiments\noop_comparison_across_datasets_20260602\dataset_noop_comparison_keypoints.csv;docs\experiments\noop_comparison_across_datasets_20260602\legacy256_overfit50_keypoints.csv;docs\experiments\noop_comparison_across_datasets_20260602\README.zh.md;docs\experiments\noop_comparison_across_datasets_20260602\README_best_vs_noop.zh.md;docs\maths\05_style_transfer_problem_and_next_switches.md;docs\maths\DECISION_TREE_AND_EXPERIMENT_PLAN.md;docs\reviews\aaai2027_adversarial_review_20260602_r2.md;docs\reviews\aaai2027_adversarial_review_20260603_r3.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80_smoke_b16_2b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_20b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_geometry_filter_g003_120b_b48","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80_smoke_b16_2b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","manual_k1_k2_8epoch","199","3","0","2","0","0","docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\repro_report_zh\02_ʵ��������������.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","metric_tokenizer_init","199","0","0","0","0","0",""
