"remote_root","exp_dir","total_files","total_mb","media_count","media_mb","generated_media_count","generated_media_mb","grid_media_count","grid_media_mb","summary_count","csv_count","weight_count","largest_media_examples"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","armored_breakthrough_proper","4","0.001","0","0.000","0","0.000","0","0.000","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","artfid_wikiart5_compare","1","0.008","0","0.000","0","0.000","0","0.000","1","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","axis_scale_probe","6","90.266","0","0.000","0","0.000","0","0.000","0","0","6",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","configs","933","368.559","152","342.969","0","0.000","144","342.291","144","224","0","exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0160\summary_grid.png:2.913MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0100\summary_grid.png:2.834MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0140\summary_grid.png:2.823MB;exp\configs\experiments_root\full_eval\05_anchor_ot_mse_only\epoch_0060\summary_grid.png:2.803MB;exp\configs\experiments_root\full_eval\03_omf_swd_45\epoch_0020\summary_grid.png:2.802MB;exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0080\summary_grid.png:2.791MB;exp\configs\experiments_root\full_eval\05_anchor_ot_mse_only\epoch_0140\summary_grid.png:2.785MB;exp\configs\experiments_root\01_omf_swd_15\full_eval\epoch_0100\summary_grid.png:2.785MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","decision_tree_clip_style","3","0.006","0","0.000","0","0.000","0","0.000","0","3","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","delta_freq_gain","306","147.184","302","147.012","300","142.519","2","4.493","2","2","0","exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\grid_first_per_class.png:2.254MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\grid_first_per_class.png:2.239MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.602MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.597MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Post_Impressionism__henri-de-toulouse-lautrec_at-the-rat-mort-1899__to__Impressionism.png:0.580MB;exp\delta_freq_gain\eval_low125_high075_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Post_Impressionism.png:0.575MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Post_Impressionism.png:0.574MB;exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\generated\Post_Impressionism__henri-de-toulouse-lautrec_at-the-rat-mort-1899__to__Impressionism.png:0.571MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diagnostics","7834","2,872.709","7723","2,868.443","5725","2,735.166","48","112.115","52","52","0","exp\diagnostics\spatial_gate_rank4_sameeval_n6\summary_grid.png:2.671MB;exp\diagnostics\pairrel_c120_g050_b020_from_spatial_gate_n6\summary_grid.png:2.632MB;exp\diagnostics\pairrel_signed_spatial_head_c120_g050_b020_120b_b80_n6\summary_grid.png:2.631MB;exp\diagnostics\pairrel_c120_g050_b020_spgain013_from_spatial_gate_n6\summary_grid.png:2.631MB;exp\diagnostics\pairrel_signed_spatial_head_geomstat_w005_120b_b80_n6\summary_grid.png:2.630MB;exp\diagnostics\pairrel_signed_spatial_head_geomstat_w020_120b_b80_n6\summary_grid.png:2.630MB;exp\diagnostics\pair_content_spatial_head_c120_g050_b020_120b_b80_n6\summary_grid.png:2.629MB;exp\diagnostics\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80_n6\summary_grid.png:2.628MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","diffeomorphic_tangent_head_sweep","2","0.020","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_budget_release_probe","2","30.089","0","0.000","0","0.000","0","0.000","0","0","2",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","field_scale_probe","312","150.685","304","150.476","300","141.383","4","9.093","4","4","0","exp\field_scale_probe\spectrum130_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\baseline_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\color140_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\geometry130_n3\grid_first_per_class.png:2.273MB;exp\field_scale_probe\baseline_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\geometry130_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\spectrum130_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB;exp\field_scale_probe\color140_n3\generated\Expressionism__david-alfaro-siqueiros_from-the-dictatorship-of-porfirio-diaz-to-the-revolution-the-people-in-arms-1957__to__Impressionism.png:0.569MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","formal_eval_750","1506","22.082","1502","21.727","0","0.000","2","4.848","2","2","0","exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\summary_grid.png:2.453MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\summary_grid.png:2.395MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Expressionism_max-beckmann_night-1918_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.019MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Expressionism_max-beckmann_night-1918_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Expressionism.jpg:0.019MB;exp\formal_eval_750\split_axis_geometry_derivgate_fieldbound_g005_120b\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Post_Impressionism.jpg:0.018MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_history_backfill_20260601","7531","110.271","7510","108.459","0","0.000","10","24.333","10","10","0","exp\full_eval_history_backfill_20260601\wikiart512_ema_tokenizer_owned_spatial_tokonly_e1_b32\summary_grid.png:2.508MB;exp\full_eval_history_backfill_20260601\wikiart512_ema_spatial_atom_tokonly_e1_b32\summary_grid.png:2.507MB;exp\full_eval_history_backfill_20260601\split_axis_tokenizer_geomnorm_120b\summary_grid.png:2.446MB;exp\full_eval_history_backfill_20260601\split_axis_tokenizer_geostat_g005_120b\summary_grid.png:2.444MB;exp\full_eval_history_backfill_20260601\split_axis_execdecoder_bound070_120b_lr2e4\summary_grid.png:2.438MB;exp\full_eval_history_backfill_20260601\split_axis_execdecoder_bound090_120b_lr2e4\summary_grid.png:2.427MB;exp\full_eval_history_backfill_20260601\split_axis_geostat_execdecoder_fieldbound_120b\summary_grid.png:2.419MB;exp\full_eval_history_backfill_20260601\wikiart512_ema_spatial_proto_blend025_guard_e1_b48\summary_grid.png:2.408MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_promoted_all5x5","3016","44.561","3004","43.866","0","0.000","4","9.926","4","4","0","exp\full_eval_promoted_all5x5\split_axis_geometry_spatial_rank4_120b\summary_grid.png:2.660MB;exp\full_eval_promoted_all5x5\split_axis_tokenizer_geostat_120b\summary_grid.png:2.467MB;exp\full_eval_promoted_all5x5\split_axis_execdecoder_fieldbound_c045_s090_g110_120b\summary_grid.png:2.454MB;exp\full_eval_promoted_all5x5\split_axis_execdecoder_40b_lr2e4\summary_grid.png:2.346MB;exp\full_eval_promoted_all5x5\split_axis_geometry_spatial_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.020MB;exp\full_eval_promoted_all5x5\split_axis_geometry_spatial_rank4_120b\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Post_Impressionism.jpg:0.019MB;exp\full_eval_promoted_all5x5\split_axis_geometry_spatial_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Impressionism.jpg:0.019MB;exp\full_eval_promoted_all5x5\split_axis_execdecoder_fieldbound_c045_s090_g110_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.019MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","full_eval_promoted_all5x5_b2","1508","23.493","1502","23.138","0","0.000","2","5.322","2","2","0","exp\full_eval_promoted_all5x5_b2\split_axis_geometry_derivative_filter_rank4_120b\summary_grid.png:2.661MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_filter_rank4_120b\summary_grid.png:2.661MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_filter_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.020MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_derivative_filter_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Post_Impressionism.jpg:0.020MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_filter_rank4_120b\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Post_Impressionism.jpg:0.019MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_derivative_filter_rank4_120b\images\Post_Impressionism_maurice-prendergast_little-bridge-venice_to_Post_Impressionism.jpg:0.019MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_filter_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Impressionism.jpg:0.019MB;exp\full_eval_promoted_all5x5_b2\split_axis_geometry_derivative_filter_rank4_120b\images\Expressionism_max-beckmann_night-1918_to_Impressionism.jpg:0.019MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","kinetic_sweep","141","4.169","0","0.000","0","0.000","0","0.000","9","20","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","launch_logs","2","0.000","0","0.000","0","0.000","0","0.000","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","legacy","184","39.699","19","34.226","0","0.000","19","34.226","19","44","0","exp\legacy\artifacts\full_eval\epoch_0020\summary_grid.png:2.887MB;exp\legacy\artifacts_omf_e30\full_eval\epoch_0030\summary_grid.png:2.741MB;exp\legacy\artifacts_omf_monge_e20\full_eval\epoch_0020\summary_grid.png:2.727MB;exp\legacy\artifacts\full_eval\epoch_0040\summary_grid.png:2.716MB;exp\legacy\ot-exp-struct\full_eval\epoch_0060\summary_grid.png:2.531MB;exp\legacy\ot-exp-struct\full_eval\epoch_0080\summary_grid.png:2.489MB;exp\legacy\artifacts\full_eval\epoch_0040_steps4_strength100_step100\summary_grid.png:2.468MB;exp\legacy\ot-exp-struct\full_eval\epoch_0020\summary_grid.png:2.466MB"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80","15","0.457","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_120b_b80_smoke_b16_2b","16","0.403","0","0.000","0","0.000","0","0.000","0","2","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_content_relative_release_20b_b80","15","0.412","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_geometry_filter_g003_120b_b48","15","0.446","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80","15","0.460","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_relative_spatial_rank4_120b_b80_smoke_b16_2b","15","0.405","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","15","0.449","0","0.000","0","0.000","0","0.000","0","1","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","manual_k1_k2_8epoch","20","0.396","0","0.000","0","0.000","0","0.000","3","8","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","metric_tokenizer_init","2747","1,322.414","2710","1,320.787","2700","1,298.072","10","22.715","10","10","0","exp\metric_tokenizer_init\quick_eval_split_axis_fieldconsume_probe_truegrad_e1_n6\grid_first_per_class.png:2.282MB;exp\metric_tokenizer_init\full_eval_split_axis_fieldconsume_probe_truegrad_e1\grid_first_per_class.png:2.282MB;exp\metric_tokenizer_init\quick_eval_split_axis_metric_truegrad_e1_n6\grid_first_per_class.png:2.281MB;exp\metric_tokenizer_init\quick_eval_mds_data_delta_axes_truegrad_e1_n6\grid_first_per_class.png:2.278MB;exp\metric_tokenizer_init\quick_eval_mds_data_axes_truegrad_e1_n6\grid_first_per_class.png:2.278MB;exp\metric_tokenizer_init\full_eval_metric_direct\grid_first_per_class.png:2.263MB;exp\metric_tokenizer_init\quick_eval_strength_1.30_n6\grid_first_per_class.png:2.263MB;exp\metric_tokenizer_init\quick_eval_metric_direct_n6\grid_first_per_class.png:2.263MB"
