comparison,base,weighted,scope,target,n,base_clip_style,weighted_clip_style,delta_clip_style,base_clip_content,weighted_clip_content,delta_clip_content,base_content_lpips,weighted_content_lpips,delta_content_lpips,base_clip_dir,weighted_clip_dir,delta_clip_dir,base_ec,weighted_ec,delta_ec
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,all_to_target_transfer,cezanne,4,0.6924838257332643,0.687452013293902,-0.005031812439362238,0.7913682328333335,0.80001162425,0.00864339141666659,0.45752001066666664,0.45129002375000005,-0.006229986916666597,0.446704521526893,0.43592190469304726,-0.010782616833845737,0.3734293392787099,0.37434434602457833,0.0009150067458684186
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,photo_to_target,cezanne,1,0.653523807724317,0.6518268714348475,-0.0016969362894694306,0.7489192536666668,0.7667759346666666,0.01785668099999982,0.49977702466666657,0.4727555086666667,-0.027021515999999857,0.5295237382253011,0.518013812104861,-0.011509926120440106,0.3269076235510271,0.3436721272670642,0.016764503716037105
K1_weight_effect,K1_orig_ep8,K1_weighted_ep8,target_identity,cezanne,1,0.7980946977933248,0.791568378607432,-0.006526319185892748,0.7968483896666668,0.7997143633333333,0.0028659736666665214,0.429128805,0.4261290883333333,-0.0029997166666667074,0.436374107003212,0.41301732659339907,-0.023356780409812927,0.4556092738524392,0.4542580670779522,-0.0013512067744870238
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,all_to_target_transfer,photo,4,0.6424455049137274,0.6650875767072042,0.02264207179347677,0.82145991325,0.8330269299166667,0.011567016666666707,0.45699047400000004,0.44768428125000004,-0.009306192749999997,0.43230716735124586,0.4672445410862565,0.03493737373501066,0.3477211646056608,0.36517895499004055,0.017457790384379723
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,target_identity,photo,1,0.7732892175515492,0.7936039924621582,0.020314774910608957,0.8215992973333335,0.8292136603333334,0.007614362999999957,0.43539673566666665,0.39929925966666674,-0.036097475999999906,0.40068996101617815,0.44588831861813866,0.045198357601960504,0.4366016165033739,0.4767185058035075,0.040116889300133574
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,all_to_target_transfer,Hayao,4,0.6014113192756971,0.6497103979190191,0.04829907864332195,0.7952811495833333,0.7753506851666666,-0.019930464416666682,0.4777389071666668,0.484182041,0.0064431338333332255,0.48057432944575945,0.5587965356806914,0.07822220623493198,0.3140590732726737,0.3352157017354167,0.02115662846274302
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,photo_to_target,Hayao,1,0.6084363917509715,0.6541909237702688,0.045754532019297245,0.7466625556666666,0.7626105213333332,0.015947965666666564,0.5020530603333334,0.4926238833333333,-0.009429177000000122,0.5165584554274877,0.5773780922094981,0.06081963678201041,0.30296903925422536,0.33192085046113834,0.02895181120691298
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,target_identity,Hayao,1,0.7966462850570679,0.843824815750122,0.04717853069305411,0.8656042373333332,0.8895935153333333,0.02398927800000006,0.337299343,0.31639105466666667,-0.020908288333333302,0.3006999043126901,0.3868309403459231,0.08613103603323297,0.5279380165039282,0.5768461923410353,0.04890817583710705
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,all_to_target_transfer,monet,4,0.669574898481369,0.6667614094913006,-0.0028134889900683913,0.8516124945833333,0.8530733889166666,0.0014608943333332958,0.3941994025,0.3930734648333333,-0.0011259376666667431,0.3484624388006826,0.3572842787330349,0.008821839932352304,0.403514252857121,0.4024682671432816,-0.0010459857138394035
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,photo_to_target,monet,1,0.6435860494772593,0.6459447562694549,0.0023587067921956306,0.8138807226666668,0.832579406,0.018698683333333244,0.4075069056666667,0.38193765299999993,-0.025569252666666764,0.44046399494012195,0.4348736971616745,-0.0055902977784474395,0.3813202899245471,0.3992341320922423,0.017913842167695204
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,target_identity,monet,1,0.8229880670706431,0.8283965587615967,0.005408491690953587,0.8563858723333334,0.8590335986666666,0.0026477263333332113,0.41461515666666665,0.41309671066666664,-0.0015184460000000066,0.35368091613054276,0.37130137781302136,0.017620461682478605,0.4817647407073512,0.4861886652095951,0.004423924502243881
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,all_to_target_transfer,vangogh,4,0.7180855455497901,0.7156467288732529,-0.0024388166765372254,0.8496875281666667,0.8472573424166666,-0.002430185750000091,0.41460859841666664,0.4108119703333334,-0.0037966280833332533,0.4128112992271781,0.41768509161969025,0.004873792392512177,0.4188122000584056,0.4208110508103581,0.0019988507519524967
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,photo_to_target,vangogh,1,0.6630612999200821,0.6755287210146587,0.012467421094576547,0.8076081263333333,0.8120147333333333,0.004406606999999951,0.47042790866666667,0.450328189,-0.020099719666666682,0.49010627567768095,0.5093335707982382,0.01922729512055721,0.3511387592808764,0.37131909546264125,0.020180336181764846
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,target_identity,vangogh,1,0.8296616752942403,0.8231398264567057,-0.006521848837534594,0.8816529580000001,0.8739246353333334,-0.007728322666666676,0.39141716466666665,0.39164451100000003,0.00022734633333337806,0.3714174302915732,0.36868395407994586,-0.0027334762116273392,0.5049178547179721,0.5007616316394443,-0.00415622307852781
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,all_to_target_transfer,cezanne,4,0.7080821131666502,0.6848587527871132,-0.023223360379536984,0.8286529610000001,0.840255766,0.011602804999999883,0.41868506149999996,0.40266870016666667,-0.016016361333333284,0.44793930041293306,0.3952767162894209,-0.05266258412351216,0.40841129388057323,0.40512295732760845,-0.003288336552964788
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,photo_to_target,cezanne,1,0.6560271680355072,0.6357929825782775,-0.02023418545722966,0.7869754336666667,0.8133650143333334,0.026389580666666745,0.4585419826666667,0.4138455646666667,-0.04469641799999996,0.5191877752542495,0.4749660700559616,-0.04422170519828794,0.35521116972130723,0.37267287669206606,0.017461706970758828
K2_weight_effect,K2_orig_ep8,K2_weighted_ep8,target_identity,cezanne,1,0.8295082807540893,0.8057702879110972,-0.02373799284299216,0.8661984356666665,0.8405245533333333,-0.02567388233333323,0.38918651866666665,0.38669177133333327,-0.0024947473333333803,0.4101138984163602,0.379882142941157,-0.03023175547520318,0.5066748407622333,0.494185547990985,-0.012489292771248328
