variant,category,status,completed_target_epoch,target_epoch,latest_eval_epoch,latest_transfer_clip_style,latest_transfer_classifier_acc,latest_transfer_content_lpips,latest_photo_to_art_clip_style,latest_photo_to_art_classifier_acc,best_transfer_clip_style,best_transfer_epoch,best_photo_to_art_clip_style,best_photo_to_art_epoch,last_train_epoch,last_train_loss,last_train_lr,config_path,run_dir,latest_summary_path,note,error,return_code
dyn_flat_step_schedule,dynamics,skipped_existing,True,50,,,,,,,,,,,50,3.1749982833862305,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/dyn_flat_step_schedule.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/dyn_flat_step_schedule,,Use flat step schedule for train/infer.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_dyn_flat_step_schedule.log,
bundle_style_up,bundle,skipped_existing,True,50,,,,,,,,,,,50,3.877206563949585,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_up.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_up,,Increase style injection + style losses for 50-epoch run.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_style_up.log,
bundle_style_down,bundle,skipped_existing,True,50,,,,,,,,,,,50,2.364348888397217,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_down.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_down,,Reduce style injection + style losses.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_style_down.log,
bundle_content_guard_strict,bundle,skipped_existing,True,50,,,,,,,,,,,50,3.3164381980895996,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_content_guard_strict.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_content_guard_strict,,Increase structure-preservation losses.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_content_guard_strict.log,
bundle_content_guard_relaxed,bundle,skipped_existing,True,50,,,,,,,,,,,50,3.034153699874878,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_content_guard_relaxed.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_content_guard_relaxed,,Reduce structure-preservation losses for style-first bias.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_content_guard_relaxed.log,
<<<<<<< Updated upstream
bundle_style_losses_off,bundle,failed,False,50,,,,,,,,,,,11,0.00044649033225141466,0.00018185661446562,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_losses_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_losses_off,,Turn off all style-specific loss terms.,"run failed, see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/bundle_style_losses_off.log; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_style_losses_off.log",1
bundle_all_style_paths_off,bundle,failed,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_all_style_paths_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_all_style_paths_off,,Ablate main style-injection paths + style losses.,"run failed, see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/bundle_all_style_paths_off.log",1
bundle_style_injection_heavy,bundle,failed,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_injection_heavy.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_injection_heavy,,Strong style injection with extra smoothing regularization.,"run failed, see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/bundle_style_injection_heavy.log",1
=======
bundle_style_losses_off,bundle,ok,True,50,,,,,,,,,,,50,2.4612942070234567e-05,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_losses_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_losses_off,,Turn off all style-specific loss terms.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_style_losses_off.log,0
bundle_all_style_paths_off,bundle,ok,True,50,,,,,,,,,,,50,2.8948974431841634e-05,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_all_style_paths_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_all_style_paths_off,,Ablate main style-injection paths + style losses.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_all_style_paths_off.log,0
bundle_style_injection_heavy,bundle,ok,True,50,,,,,,,,,,,50,3.019322156906128,1.0187460799314202e-05,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/configs/bundle_style_injection_heavy.json,/mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/bundle_style_injection_heavy,,Strong style injection with extra smoothing regularization.,; eval failed see /mnt/i/Github/Latent_Style/Cycle-NCE/style_ablation-50/runner_logs/full_eval_auto_bundle_style_injection_heavy.log,0
>>>>>>> Stashed changes
