run_name,source,checkpoint,source_style,target_style,top_layer_name,top_layer_stage,top_layer_max_ma_ratio,top_layer_mean_ma_ratio,num_layers,stem_max,stem_mean,hires_max,hires_mean,body_max,body_mean,skip_max,skip_mean,decoder_max,decoder_mean,output_max,output_mean,other_max,other_mean
monet -> vangogh,monet->vangogh,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,monet,vangogh,hires_body.1.norm1,hires,24.679033279418945,10.201278686523438,25,14.190260887145996,13.590468883514404,24.679033279418945,20.68627134958903,17.62938117980957,13.912335077921549,18.917205810546875,14.03457760810852,16.26101303100586,9.89640016555786,,,,
monet -> cezanne,monet->cezanne,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,monet,cezanne,hires_body.0.norm1,hires,17.860483169555664,9.147071838378906,25,9.86402702331543,8.507022619247437,17.860483169555664,14.444310347239176,9.614724159240723,7.7469204266866045,14.060704231262207,10.817556023597717,12.46204662322998,9.090404224395751,,,,
vangogh -> photo,vangogh->photo,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,vangogh,photo,hires_body.1.norm1,hires,14.746675491333008,7.89488410949707,25,7.254693031311035,6.979245901107788,14.746675491333008,11.462552547454834,8.083491325378418,6.958528359731038,12.01182746887207,9.594952702522278,13.14814281463623,9.064026021957398,,,,
vangogh -> Hayao,vangogh->Hayao,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,vangogh,Hayao,skip_fusion,skip,13.182636260986328,7.138731002807617,25,7.326783180236816,7.116105794906616,12.515430450439453,10.725813706715902,10.645496368408203,8.212631066640219,13.182636260986328,9.699833869934082,12.477117538452148,9.523685264587403,,,,
vangogh -> monet,vangogh->monet,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,vangogh,monet,skip_fusion,skip,17.974502563476562,6.898052215576172,25,9.810311317443848,8.662201642990112,14.22791862487793,11.861380894978842,7.219814300537109,7.070761521657308,17.974502563476562,11.210638403892517,13.021084785461426,9.838405561447143,,,,
vangogh -> cezanne,vangogh->cezanne,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,vangogh,cezanne,hires_body.0,hires,14.189913749694824,9.077025413513184,25,8.62814998626709,8.50155258178711,14.189913749694824,11.937198638916016,9.74162769317627,8.410983562469482,12.762524604797363,10.645766973495483,12.369683265686035,9.033431005477905,,,,
cezanne -> photo,cezanne->photo,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,cezanne,photo,hires_body.0.norm1,hires,16.223377227783203,8.623448371887207,25,9.979537010192871,8.561910390853882,16.223377227783203,12.92700449625651,7.675906181335449,7.18780533472697,11.929384231567383,10.656346797943115,15.015199661254883,9.420156097412109,,,,
cezanne -> Hayao,cezanne->Hayao,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,cezanne,Hayao,hires_body.1.norm1,hires,24.692140579223633,9.157809257507324,25,15.048161506652832,12.154473304748535,24.692140579223633,19.962380409240723,8.609305381774902,7.874944527943929,22.756935119628906,14.047471761703491,11.767791748046875,8.708134603500366,,,,
cezanne -> monet,cezanne->monet,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,cezanne,monet,skip_fusion,skip,17.33964729309082,6.946590423583984,25,8.99563217163086,7.982378005981445,14.998167991638184,13.483985900878906,7.038431644439697,6.828417936960856,17.33964729309082,11.504037380218506,14.64506721496582,9.706654596328736,,,,
cezanne -> vangogh,cezanne->vangogh,G:\GitHub\Latent_Style\Cycle-NCE\epoch_0060.pt,cezanne,vangogh,hires_body.1.norm1,hires,18.197729110717773,8.761553764343262,25,11.705147743225098,10.854514598846436,18.197729110717773,14.873873392740885,11.899314880371094,10.471770604451498,14.875923156738281,11.929125547409058,15.469202041625977,10.101594066619873,,,,
