category,original_name,original_path,moved_path,size_bytes,modified_utc,status
round1/json,round1_attn_gw_ot_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_gw_ot_runtime_summary.json,3770,2026-06-10T05:23:00.079910+00:00,moved
round1/logs,round1_attn_gw_ot_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_runtime_watch_20260610.stderr.log,0,2026-06-10T05:13:39.778336+00:00,moved
round1/logs,round1_attn_gw_ot_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_runtime_watch_20260610.stdout.log,744,2026-06-10T05:23:00.078906+00:00,moved
round1/logs,round1_attn_gw_ot_stageclose_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_stageclose_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_stageclose_deferred_20260610.stderr.log,0,2026-06-10T04:10:27.931216+00:00,moved
round1/logs,round1_attn_gw_ot_stageclose_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_stageclose_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_stageclose_deferred_20260610.stdout.log,6682,2026-06-10T05:25:28.045819+00:00,moved
round1/json,round1_attn_gw_ot_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_gw_ot_switch_smoke_latest.json,1045,2026-06-10T16:30:21.352994+00:00,moved
round1/logs,round1_attn_pnp_selfinject_fast_sync_watch_20260610_215340.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_fast_sync_watch_20260610_215340.stderr.log,,0,2026-06-10T13:53:40.543156+00:00,locked_skip
round1/logs,round1_attn_pnp_selfinject_fast_sync_watch_20260610_215340.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_fast_sync_watch_20260610_215340.stdout.log,,66552,2026-06-10T18:45:51.849613+00:00,locked_skip
round1/jsonl,round1_attn_pnp_selfinject_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\jsonl\round1_attn_pnp_selfinject_runtime_samples.jsonl,75389,2026-06-10T18:46:15.758264+00:00,moved
round1/json,round1_attn_pnp_selfinject_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_pnp_selfinject_runtime_summary.json,5264,2026-06-10T18:46:15.759782+00:00,moved
round1/logs,round1_attn_pnp_selfinject_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_runtime_watch_20260610.stderr.log,0,2026-06-10T10:32:44.043152+00:00,moved
round1/logs,round1_attn_pnp_selfinject_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_runtime_watch_20260610.stdout.log,1903,2026-06-10T11:00:14.377798+00:00,moved
round1/logs,round1_attn_pnp_selfinject_runtime_watch_20260610_215340.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_watch_20260610_215340.stderr.log,,0,2026-06-10T13:53:40.574833+00:00,locked_skip
round1/logs,round1_attn_pnp_selfinject_runtime_watch_20260610_215340.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_runtime_watch_20260610_215340.stdout.log,,27690,2026-06-10T18:46:15.757130+00:00,locked_skip
round1/logs,round1_attn_pnp_selfinject_segmented_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_20260610.stderr.log,0,2026-06-10T11:55:39.946949+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_20260610.stdout.log,9196,2026-06-10T11:56:24.180693+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stderr.log,0,2026-06-10T12:10:18.249110+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19_20260610_201018.stdout.log,9490,2026-06-10T12:11:03.197136+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stderr.log,0,2026-06-10T12:16:01.230051+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256_20260610_201601.stdout.log,1792,2026-06-10T12:16:04.313257+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stderr.log,0,2026-06-10T12:17:46.320858+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256_retry_20260610_201746.stdout.log,11701,2026-06-10T12:23:52.963043+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stderr.log,0,2026-06-10T12:32:51.280960+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_20260610_203251.stdout.log,14435,2026-06-10T12:42:12.363775+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stderr.log,0,2026-06-10T12:48:56.622943+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2_20260610_204856.stdout.log,2132,2026-06-10T12:49:39.225543+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stderr.log,0,2026-06-10T13:02:25.901827+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack256warn_e2retry_20260610_210225.stdout.log,11186,2026-06-10T13:14:25.161495+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stderr.log,0,2026-06-10T13:26:58.116086+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e3_20260610_212658.stdout.log,10749,2026-06-10T13:41:54.259986+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stderr.log,0,2026-06-10T13:43:43.958518+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e4_20260610_214343.stdout.log,8434,2026-06-10T13:59:36.799823+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stderr.log,0,2026-06-10T14:03:41.620504+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e5_20260610_220341.stdout.log,8450,2026-06-10T14:21:25.160511+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stderr.log,0,2026-06-10T14:24:34.455409+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19slack512warn_e6_20260610_222434.stdout.log,43138,2026-06-10T14:35:44.771677+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stderr.log,0,2026-06-10T12:13:55.070125+00:00,moved
round1/logs,round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_pnp_selfinject_segmented_b19warn_20260610_201355.stdout.log,9637,2026-06-10T12:14:39.846850+00:00,moved
round1/json,round1_attn_pnp_selfinject_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_pnp_selfinject_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_pnp_selfinject_switch_smoke_latest.json,1081,2026-06-10T16:30:27.194609+00:00,moved
round1/json,round1_attn_sa_mod_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_sa_mod_switch_smoke_latest.json,1055,2026-06-10T16:30:18.395683+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_manifest_e08_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_manifest_e08_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_manifest_e08_vs_seedream_samam_20260610.csv,984,2026-06-10T02:45:40.791996+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_manifest_e24_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_manifest_e24_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_manifest_e24_vs_seedream_samam_20260610.csv,984,2026-06-10T02:45:40.888625+00:00,moved
round1/logs,round1_attn_sa_mod_vlm_snapshot205_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_sa_mod_vlm_snapshot205_20260610.stderr.log,0,2026-06-10T02:53:11.237898+00:00,moved
round1/logs,round1_attn_sa_mod_vlm_snapshot205_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_sa_mod_vlm_snapshot205_20260610.stdout.log,1020,2026-06-10T03:41:29.462518+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_snapshot205_board_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_board_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_snapshot205_board_20260610.csv,678,2026-06-10T03:59:29.606841+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.csv,111278,2026-06-10T03:41:29.004721+00:00,moved
round1/jsonl,round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.errors.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.errors.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\jsonl\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.errors.jsonl,11457,2026-06-10T03:29:41.322598+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.interim_summary.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.interim_summary.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.interim_summary.csv,191,2026-06-10T03:42:53.972957+00:00,moved
round1/jsonl,round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\jsonl\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.jsonl,540670,2026-06-10T03:41:29.000203+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.method_summary.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.method_summary.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_snapshot205_e08_vs_seedream_samam_20260610.method_summary.csv,341,2026-06-10T03:42:53.973955+00:00,moved
round1/logs,round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stderr.log,0,2026-06-10T03:23:32.563175+00:00,moved
round1/logs,round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_sa_mod_vlm_snapshot205_e24_20260610.stdout.log,1471,2026-06-10T04:07:50.567509+00:00,moved
round1/csv,round1_attn_sa_mod_vlm_snapshot205_e24_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_sa_mod_vlm_snapshot205_e24_vs_seedream_samam_20260610.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_sa_mod_vlm_snapshot205_e24_vs_seedream_samam_20260610.csv,111375,2026-06-10T04:09:06.470303+00:00,moved
