experiment_dir,group,train_log_exists,train_duration_min,eval_summary_path,eval_duration_sec,clip_style,lpips,clip_content
task4_iter/r5_diagnosis,early,false,,,,,,
task4_iter/r6_pixel_color_fix,early,false,,exp/task4_iter/r6_pixel_color_fix/full_eval/epoch_0003/summary.json,102.69,0.7079,0.4766,0.0
task4_iter/r7_saturation_loss,early,false,,full_eval/epoch_0005/summary.json,103.97,0.7024,0.5109,0.0
task4_style_strength_baseline_2ep,early,false,,full_eval/epoch_0002/summary.json,62.71,0.706,0.2757,0.0
task4_style_strength_w05_2ep,early,false,,full_eval/epoch_0002/summary.json,63.35,0.7064,0.2753,0.0
task4_style_strength_w10_2ep,early,false,,full_eval/epoch_0002/summary.json,62.97,0.7062,0.275,0.0
630_phase1d_verify,phase4,false,,full_eval/epoch_0002_full/summary.json,6.42,0.7224,0.3231,0.0
630_phase1d_verify_v2,phase4,false,,full_eval/epoch_0003_full/summary.json,82.73,0.7251,0.3373,0.0
630_phase2b_mask_random_50,phase4,false,,full_eval/epoch_0003_full/summary.json,83.16,0.7261,0.3296,0.0
630_phase2c_mask_random_75,phase4,false,,full_eval/epoch_0003_full/summary.json,83.78,0.725,0.3278,0.0
630_phase2c_mask_shuffle_50,phase4,false,,full_eval/epoch_0003_full/summary.json,85.72,0.7234,0.3205,0.0
630_phase2c_mask_shuffle_75,phase4,false,,full_eval/epoch_0003_full/summary.json,85.9,0.7232,0.3177,0.0
630_phase3_mask_random_50_10ep,phase4,false,,full_eval/epoch_0010/summary.json,86.56,0.7289,0.337,0.0
630_phase4a2_adain_0,phase4,false,,full_eval/epoch_0003/summary.json,75.95,0.7082,0.2994,0.0
630_phase4a2_extrap_0,phase4,false,,full_eval/epoch_0003/summary.json,77.38,0.7242,0.3333,0.0
630_phase4a2_w_ll_0,phase4,false,,full_eval/epoch_0003/summary.json,76.12,0.7117,0.312,0.0
630_phase4b1_freq_a05,phase4,false,,full_eval/epoch_0003/summary.json,74.89,0.7252,0.3347,0.0
630_phase4b1_freq_a1,phase4,false,,full_eval/epoch_0003/summary.json,74.5,0.7258,0.3357,0.0
630_phase4b1_freq_a1_rand50,phase4,false,,full_eval/epoch_0003/summary.json,75.79,0.7264,0.3354,0.0
630_phase4b2_freq_a1_rand30,phase4,false,,full_eval/epoch_0003/summary.json,75.45,0.725,0.3252,0.0
630_phase4b2_freq_a1_rand50_10ep,phase4,false,,full_eval/epoch_0010/summary.json,74.98,0.7277,0.3394,0.0
630_phase4b2_freq_a1_rand70,phase4,false,,full_eval/epoch_0003/summary.json,75.53,0.7245,0.3284,0.0
630_phase4b3_dwt_a1,phase4,false,,full_eval/epoch_0003/summary.json,75.73,0.7266,0.3402,0.0
630_phase4b3_dwt_a1_rand50,phase4,false,,full_eval/epoch_0003/summary.json,90.85,0.7255,0.3297,0.0
630_phase4c_blockmask_r60_b128_lvl2,phase4,false,,full_eval/epoch_0003/summary.json,108.6,0.7151,0.3177,0.0
630_phase4c_dino_clean_lvl2,phase4,false,,full_eval/epoch_0003/summary.json,95.31,0.7118,0.3038,0.0
630_phase4d_lvl2,phase4,false,,full_eval/epoch_0003/summary.json,75.44,0.7301,0.3402,0.0
630_phase4d_lvl2_dwt_rand50,phase4,false,,full_eval/epoch_0003/summary.json,76.56,0.7294,0.3394,0.0
630_phase4e_db2_lvl1,phase4,false,,full_eval/epoch_0003/summary.json,79.21,0.7258,0.3288,0.0
630_phase4e_db2_lvl2,phase4,false,,full_eval/epoch_0003/summary.json,86.47,0.7298,0.3398,0.0
630_phase4f_lvl3,phase4,false,,full_eval/epoch_0003/summary.json,77.57,0.7319,0.3428,0.0
630_phase4f_lvl4,phase4,false,,full_eval/epoch_0003/summary.json,76.05,0.7316,0.3461,0.0
630_phase4g1a_lock_ll,phase4,false,,full_eval/epoch_0003/summary.json,76.9,0.7178,0.3281,0.0
630_phase4g1b_lock_ll_zero_wll,phase4,false,,full_eval/epoch_0003/summary.json,75.2,0.7174,0.3372,0.0
630_phase4g2_per_subband,phase4,false,,full_eval/epoch_0003/summary.json,75.18,0.7361,0.3843,0.0
630_phase4g2b_per_subband_a05,phase4,false,,full_eval/epoch_0003/summary.json,74.95,0.7362,0.3845,0.0
630_phase4h1a_eota_per_subband,phase4,false,,full_eval/epoch_0003/summary.json,70.9,0.7359,0.3853,0.0
630_phase4h1b_eota_per_subband_a05,phase4,false,,full_eval/epoch_0003/summary.json,72.13,0.7219,0.3226,0.0
630_phase4h1c_eota_per_subband_a07,phase4,false,,full_eval/epoch_0003/summary.json,71.54,0.728,0.3442,0.0
630_phase4h1d_eota_per_subband_a08,phase4,false,,full_eval/epoch_0003/summary.json,71.93,0.7309,0.3572,0.0
630_phase4h1e_eota_spatial_fiber_a05,phase4,false,,full_eval/epoch_0003/summary.json,71.68,0.7185,0.3095,0.0
630_phase4h1f_eota_spatial_fiber_a07,phase4,false,,full_eval/epoch_0003/summary.json,71.98,0.7231,0.3208,0.0
630_phase4h1g5ep_eota_spatial_fiber_a08,phase4,false,,full_eval/epoch_0005/summary.json,72.48,0.7261,0.3279,0.0
630_phase4h1g_eota_spatial_fiber_a08,phase4,false,,full_eval/epoch_0003/summary.json,72.56,0.7251,0.3281,0.0
630_phase4h2h_sota_w_hf_15,phase4,false,,full_eval/epoch_0003/summary.json,71.71,0.725,0.333,0.0
630_phase4h2i_per_subband_a07_w_ll_05,phase4,false,,full_eval/epoch_0003/summary.json,71.99,0.7265,0.3389,0.0
630_phase4h3f_sota_patch_1359_15,phase4,false,,full_eval/epoch_0003/summary.json,71.76,0.7252,0.328,0.0
630_phase4h4e_sota_depth6,phase4,false,,full_eval/epoch_0003/summary.json,77.71,0.7265,0.3366,0.0
630_phase4h4f_sota_dim96,phase4,false,,full_eval/epoch_0003/summary.json,71.78,0.7271,0.3368,0.0
630_phase4h4g_sota_dim96_5ep,phase4,false,,full_eval/epoch_0005/summary.json,71.72,0.7268,0.3313,0.0
630_phase4h5e_sota_mask25,phase4,false,,full_eval/epoch_0003/summary.json,71.46,0.7227,0.3172,0.0
630_phase4h5f_sota_mask75,phase4,false,,full_eval/epoch_0003/summary.json,73.33,0.7237,0.3272,0.0
630_phase4h7d_sota_terminal_swd_03,phase4,false,,full_eval/epoch_0003/summary.json,71.94,0.7251,0.3281,0.0
630_phase4i10b_ept_t01,phase4,false,,full_eval/epoch_0005/summary.json,92.26,0.7153,0.4474,0.0
630_phase4i1a_eota_per_subband_multi_alpha,phase4,false,,full_eval/epoch_0003/summary.json,71.64,0.7263,0.3383,0.0
630_phase4i1d_eota_per_subband_hh_only,phase4,false,,full_eval/epoch_0003/summary.json,71.73,0.731,0.3576,0.0
630_phase4i2a_sota_heun,phase4,false,,full_eval/epoch_0003/summary.json,85.92,0.726,0.3279,0.0
630_phase4i2b_sota_heun_5ep,phase4,false,,full_eval/epoch_0005/summary.json,86.57,0.7266,0.3229,0.0
630_phase4i5a_sota_heun_cosine,phase4,false,,full_eval/epoch_0003/summary.json,86.16,0.7256,0.3238,0.0
630_phase4i5b_sota_heun_cosine_5ep,phase4,false,,full_eval/epoch_0005/summary.json,91.37,0.7262,0.3171,0.0
630_phase4i5c_sota_heun_rquad_5ep,phase4,false,,full_eval/epoch_0005/summary.json,90.91,0.7293,0.3429,0.0
630_phase4i6a_sota_rk4_5ep,phase4,false,,full_eval/epoch_0005/summary.json,140.73,0.7265,0.3235,0.0
630_phase4i7a_cosine_heun_a09_5ep,phase4,false,,full_eval/epoch_0005/summary.json,112.12,0.7283,0.3255,0.0
630_phase4i7b_cosine_heun_a085_5ep,phase4,false,,full_eval/epoch_0005/summary.json,111.25,0.7272,0.3218,0.0
630_phase4i8a_cosine_heun_a085_8ep,phase4,false,,full_eval/epoch_0008/summary.json,104.16,0.7284,0.3283,0.0
630_phase4i8b_warpcos_p08_a085_5ep,phase4,false,,full_eval/epoch_0005/summary.json,95.02,0.7282,0.3271,0.0
630_phase4i9_wct_a085_5ep,phase4,false,,full_eval/epoch_0005/summary.json,112.4,0.7319,0.3568,0.0
630_phase4j1_dwt_route,phase4,true,3.03,full_eval/epoch_0005/summary.json,93.55,0.7226,0.3068,0.0
630_phase4j2_wct_aligned,phase4,false,,full_eval/epoch_0005/summary.json,135.72,0.7153,0.3003,0.0
630_phase4j3_fewshot_stylemem,phase4,false,,full_eval/epoch_0005/summary.json,111.69,0.7218,0.302,0.0
630_phase4j4_progressive_alpha,phase4,false,,full_eval/epoch_0005/summary.json,132.89,0.7326,0.4126,0.0
630_phase4j5_wct_aligned_progressive,phase4,false,,full_eval/epoch_0005/summary.json,150.41,0.7274,0.3858,0.0
630_phase4j6_fewshot_popart,phase4,false,,full_eval/epoch_0005/summary.json,120.62,0.721,0.3069,0.0
630_phase4j6_fewshot_popart_v2,phase4,false,,full_eval/epoch_0015/summary.json,113.24,0.7213,0.3117,0.0
630_phase4j6_fewshot_popart_v3,phase4,false,,full_eval/epoch_0015/summary.json,141.8,0.7214,0.3106,0.0
630_local_r1_depth2,local_t,false,,full_eval/epoch_0005/summary.json,84.65,0.7173,0.2705,0.0
630_local_r2_dim32,local_t,false,,full_eval/epoch_0005/summary.json,101.63,0.7153,0.2705,0.0
630_local_r3_gate_init0,local_t,false,,full_eval/epoch_0005/summary.json,101.71,0.708,0.2641,0.0
630_local_t10_stochastic_dwt,local_t,true,3.08,full_eval/epoch_0005/summary.json,95.22,0.7083,0.248,0.0
630_local_t11_stochastic_dwt_p08,local_t,true,3.08,full_eval/epoch_0005/summary.json,97.25,0.7213,0.2868,0.0
630_local_t13_ll_global_style_inject,local_t,true,2.97,full_eval/epoch_0005/summary.json,93.68,0.7128,0.2706,0.0
630_local_t14_casi,local_t,true,3.03,full_eval/epoch_0005/summary.json,95.18,0.7152,0.2795,0.0
630_local_t15_llgqca,local_t,false,,full_eval/epoch_0005/summary.json,94.14,0.7176,0.2764,0.0
630_local_t16a_llgqca_gate02,local_t,false,,full_eval/epoch_0005/summary.json,93.74,0.7145,0.2706,0.0
630_local_t16b_llgqca_gate03,local_t,false,,full_eval/epoch_0005/summary.json,93.6,0.7101,0.2681,0.0
630_local_t16c_llgqca_gate05,local_t,false,,full_eval/epoch_0005/summary.json,94.06,0.7108,0.2688,0.0
630_local_t18a_wll05,local_t,false,,full_eval/epoch_0005/summary.json,95.35,0.7174,0.2774,0.0
630_local_t18b_wll10,local_t,false,,full_eval/epoch_0005/summary.json,94.67,0.718,0.2764,0.0
630_local_t19a_depth6,local_t,false,,full_eval/epoch_0005/summary.json,108.11,,,0.0
630_local_t19b_dim96,local_t,false,,full_eval/epoch_0005/summary.json,95.72,0.7207,0.3142,0.0
630_local_t20_structure_aligned_target,local_t,false,,full_eval/epoch_0005/summary.json,94.43,0.7037,0.2722,0.0
630_local_t21_adaln_zero_ll,local_t,false,,full_eval/epoch_0005/summary.json,100.96,0.7174,0.279,0.0
630_local_t22_tone_bias,local_t,false,,full_eval/epoch_0005/summary.json,100.49,0.715,0.2597,0.0
630_local_t23_ll_mean_only,local_t,false,,full_eval/epoch_0005/summary.json,99.06,0.7215,0.3856,0.0
630_local_t24_ll_std_only,local_t,false,,full_eval/epoch_0005/summary.json,99.24,0.7172,0.2889,0.0
630_local_t25_ll_cov_only,local_t,false,,full_eval/epoch_0005/summary.json,98.63,0.7205,0.3069,0.0
630_local_t26_ll_ycbcr,local_t,false,,full_eval/epoch_0005/summary.json,169.52,0.72,0.3085,0.0
630_local_t2_soft_ll_t2a,local_t,false,,full_eval/epoch_0005/summary.json,100.09,0.7277,0.3379,0.0
630_local_t5_eval_only_dwt,local_t,false,,full_eval/epoch_0005/summary.json,96.85,0.7061,0.2606,0.0
