run,rel_path,family,has_full_eval,latest_epoch,latest_transfer_clip_style,best_transfer_clip_style,best_transfer_clip_style_epoch,latest_photo_to_art_clip_style,best_photo_to_art_clip_style,latest_transfer_classifier_acc,best_transfer_classifier_acc,latest_transfer_content_lpips,latest_classification_accuracy,latest_offdiag_clip_style_mean,matrix_style_count,matrix_pair_count,matrix_offdiag_count,matrix_complete_square,matrix_eval_count_mean,matrix_eval_count_min,matrix_eval_count_max,history_rounds,train_csv_count,latest_train_epoch,latest_train_loss,latest_train_lr,checkpoint_count,snapshot_count,latest_snapshot,latest_snapshot_model_sha1,latest_snapshot_losses_sha1,latest_snapshot_trainer_sha1,snapshot_model_hash_count,snapshot_losses_hash_count,snapshot_trainer_hash_count,model__use_decoder_spatial_inject,model__use_delta_highpass_bias,model__use_style_delta_gate,model__use_decoder_adagn,model__use_style_spatial_highpass,model__normalize_style_spatial_maps,model__use_output_style_affine,model__use_style_spatial_blur,model__style_ref_gain,model__style_spatial_pre_gain_16,model__style_spatial_dec_gain_32,model__style_texture_gain,model__style_delta_lowfreq_gain,model__highpass_last_step_scale,model__style_gate_floor,model__style_texture_mode,model__style_strength_step_curve,loss__w_distill,loss__w_code,loss__w_struct,loss__w_edge,loss__w_cycle,loss__w_stroke_gram,loss__w_color_moment,loss__w_style_spatial_tv,loss__w_nce,loss__w_push,loss__w_delta_tv,loss__w_semigroup,loss__distill_low_only,loss__distill_cross_domain_only,loss__train_num_steps_min,loss__train_num_steps_max,loss__train_style_strength_min,loss__train_style_strength_max,loss__teacher_interval_steps,loss__stroke_interval_steps,loss__semigroup_interval_steps
full_strong_style,full_strong_style,full_other,True,50,0.475695763528347,0.475695763528347,50,0.5213695120811462,0.5213695120811462,0.11,0.11,0.32561144779999995,0.545,0.475695763528347,2,4,2,True,50.0,50.0,50.0,1,1,50,0.8792130947113037,0.00018776531205641806,5,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adacut_overfit50-lightonly,adacut_overfit50-lightonly,adacut,True,100,0.47072795569896697,0.47072795569896697,100,0.5263902938365936,0.5263902938365936,0.32,0.32,0.0,0.625,0.47072795569896697,2,4,2,True,50.0,50.0,50.0,0,2,,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_300_gridfix_v2,full_300_gridfix_v2,full_300,True,150,0.4699337124824524,0.4628595814108849,50,0.5196013361215591,0.5066857218742371,0.13333333333333333,0.37,0.3242334645,0.5583333333333333,0.4699337124824524,2,4,2,True,30.0,30.0,30.0,1,21,191,0.5949549078941345,6.636001890779905e-05,8,7,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\full_300_gridfix_v2\src_snapshot_20260211_202159,f919f8fe95712a1e92770b684e37638a77c3fc09,c53b83d873c7949c88a79861123693d05c33f2e6,49cb0237dd5510095258a079b36ae9919f9aaac9,2,2,4,True,True,True,True,False,False,False,True,1.0,0.32,0.08,0.28,0.1,,0.0,,,0.0,0.0,0.2,0.3,0.2,55.0,4.0,0.002,0.6,0.0,0.0025,0.0,True,True,,,,,,,
full_300_strong-style-v1,full_300_strong-style-v1,full_300,True,100,0.45967858701944353,0.45967858701944353,100,0.5063468807935715,0.5063468807935715,0.16,0.17,0.2955420887,0.575,0.45967858701944353,2,4,2,True,50.0,50.0,50.0,2,1,127,0.7946826219558716,0.00012862553928066125,2,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-80-10-0.5,experiments/overfit50-80-10-0.5,overfit50,True,10,0.4523974430561066,0.4523974430561066,10,0.49527128756046296,0.49527128756046296,0.32,0.32,0.0,0.595,0.4523974430561066,2,4,2,True,50.0,50.0,50.0,0,1,10,0.24616444930434228,1.4649630951960416e-05,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-upscale-balance-v2-re,experiments/overfit50-upscale-balance-v2-re,overfit50,True,40,0.4503066322207451,0.4503066322207451,40,0.48660208880901334,0.48660208880901334,0.1,0.1,0.2658981029,0.495,0.4503066322207451,2,4,2,True,50.0,50.0,50.0,0,1,40,9.056237292289733,1.0292853295352844e-05,4,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50,experiments/overfit50,overfit50,True,10,0.44981345236301423,0.44981345236301423,10,0.49024147033691406,0.49024147033691406,0.26,0.26,0.0,0.575,0.44981345236301423,2,4,2,True,50.0,50.0,50.0,0,4,10,0.2312133564054966,1.4649630951960416e-05,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-upscale-styleid-v2,experiments/overfit50-upscale-styleid-v2,overfit50,True,40,0.4465665653347969,0.4465665653347969,40,0.4797693032026291,0.4797693032026291,0.08,0.08,0.0,0.5,0.4465665653347969,2,4,2,True,50.0,50.0,50.0,0,5,,,,4,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-upscale-struct,experiments/overfit50-upscale-struct,overfit50,True,40,0.44469243705272676,0.44469243705272676,40,0.48363654434680936,0.48363654434680936,0.12,0.12,0.2549579166,0.51,0.44469243705272676,2,4,2,True,50.0,50.0,50.0,0,2,40,4.9289117479324345,1.0292853295352844e-05,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-style-force,experiments/overfit50-style-force,overfit50,True,20,0.4432857456803322,0.4432857456803322,20,0.48192703902721407,0.48192703902721407,0.07,0.07,0.25756385015,0.495,0.4432857456803322,2,4,2,True,50.0,50.0,50.0,0,1,20,0.40210526004433633,1.1169607643461924e-05,4,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
