reuse_dir_rel,grid_output_rel,cells_total,cells_with_clip,cells_with_lpips,cells_complete,reused_count,avg_clip_style,avg_content_lpips,clip_minus_lpips,is_complete_25,reuse_dir,grid_output_dir
Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6419420909881591,0.30761719319999997,0.33432489778815916,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6425596725940704,0.30371821120000003,0.3388414613940704,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L03_IDT_MassiveReturn\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6525427150726318,0.32099515160000003,0.3315475634726318,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6496305382251739,0.3229591488,0.32667138942517393,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L04_SWD_Nuke\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_grid5,25,25,25,25,25,0.6463278543949127,0.4332813163999999,0.2130465379949128,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_grid5,25,25,25,25,25,0.6458872652053833,0.4003721392,0.24551512600538333,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs200,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6456333088874817,0.40000548799999996,0.24562782088748175,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs200_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs500,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs500_grid5,25,25,25,25,25,0.6474150323867798,0.4035694343999999,0.24384559798677985,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs500,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0040_tokenized_distill_epochs500_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_grid5,25,25,25,25,25,0.6505031061172485,0.4667126288000001,0.1837904773172484,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_grid5,25,25,25,25,25,0.6544062471389771,0.42402392559999996,0.23038232153897714,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs200,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6540283763408661,0.42499959319999997,0.2290287831408661,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs200_grid5
Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs500,Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs500_grid5,25,25,25,25,25,0.6520874190330506,0.4320637972000001,0.22002362183305046,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs500,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A1_swin_h2_g1_d2\full_eval\epoch_0080_tokenized_distill_epochs500_grid5
Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040,Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_grid5,25,20,20,20,20,0.647679740190506,0.469769973,0.177909767190506,False,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_grid5
Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_tokenized_distill_epochs200,Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6520757699012756,0.41436953600000004,0.23770623390127554,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0040_tokenized_distill_epochs200_grid5
Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080,Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_grid5,25,25,25,25,25,0.6616186344623566,0.46279457599999985,0.19882405846235673,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_grid5
Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_tokenized_distill_epochs200,Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6607344782352448,0.4357121548000001,0.2250223234352447,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A2_swin_h2_g2_d2\full_eval\epoch_0080_tokenized_distill_epochs200_grid5
Cycle-NCE\arch\arch_ablate_A3_swin_h3_g2_d2\full_eval\epoch_0040,Cycle-NCE\arch\arch_ablate_A3_swin_h3_g2_d2\full_eval\epoch_0040_grid5,25,25,25,25,25,0.6424413824081421,0.4495710979999999,0.1928702844081422,True,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A3_swin_h3_g2_d2\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\arch\arch_ablate_A3_swin_h3_g2_d2\full_eval\epoch_0040_grid5
