index,name,config_path,run_dir,eval_dir,batch_size,eval_batch_size,num_epochs,save_interval,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,swd_use_high_freq,w_low_freq
10,S-none_K-1_C-5_W-20_Col-0,screening_grid_3epoch_108/S-none_K-1_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-5_W-20_Col-0/full_eval,32,6,3,1,none,1.0,5.0,20.0,0.0,False,0.0
11,S-none_K-1_C-5_W-20_Col-15,screening_grid_3epoch_108/S-none_K-1_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-5_W-20_Col-15/full_eval,32,6,3,1,none,1.0,5.0,20.0,15.0,False,0.0
12,S-none_K-2_C-0_W-10_Col-0,screening_grid_3epoch_108/S-none_K-2_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-0_W-10_Col-0/full_eval,32,6,3,1,none,2.0,0.0,10.0,0.0,False,0.0
13,S-none_K-2_C-0_W-10_Col-15,screening_grid_3epoch_108/S-none_K-2_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-0_W-10_Col-15/full_eval,32,6,3,1,none,2.0,0.0,10.0,15.0,False,0.0
14,S-none_K-2_C-0_W-20_Col-0,screening_grid_3epoch_108/S-none_K-2_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-0_W-20_Col-0/full_eval,32,6,3,1,none,2.0,0.0,20.0,0.0,False,0.0
15,S-none_K-2_C-0_W-20_Col-15,screening_grid_3epoch_108/S-none_K-2_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-0_W-20_Col-15/full_eval,32,6,3,1,none,2.0,0.0,20.0,15.0,False,0.0
16,S-none_K-2_C-2_W-10_Col-0,screening_grid_3epoch_108/S-none_K-2_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-2_W-10_Col-0/full_eval,32,6,3,1,none,2.0,2.0,10.0,0.0,False,0.0
17,S-none_K-2_C-2_W-10_Col-15,screening_grid_3epoch_108/S-none_K-2_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-2_W-10_Col-15/full_eval,32,6,3,1,none,2.0,2.0,10.0,15.0,False,0.0
18,S-none_K-2_C-2_W-20_Col-0,screening_grid_3epoch_108/S-none_K-2_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-2_W-20_Col-0/full_eval,32,6,3,1,none,2.0,2.0,20.0,0.0,False,0.0
19,S-none_K-2_C-2_W-20_Col-15,screening_grid_3epoch_108/S-none_K-2_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-2_W-20_Col-15/full_eval,32,6,3,1,none,2.0,2.0,20.0,15.0,False,0.0
20,S-none_K-2_C-5_W-10_Col-0,screening_grid_3epoch_108/S-none_K-2_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-5_W-10_Col-0/full_eval,32,6,3,1,none,2.0,5.0,10.0,0.0,False,0.0
21,S-none_K-2_C-5_W-10_Col-15,screening_grid_3epoch_108/S-none_K-2_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-5_W-10_Col-15/full_eval,32,6,3,1,none,2.0,5.0,10.0,15.0,False,0.0
22,S-none_K-2_C-5_W-20_Col-0,screening_grid_3epoch_108/S-none_K-2_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-2_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-2_C-5_W-20_Col-0/full_eval,32,6,3,1,none,2.0,5.0,20.0,0.0,False,0.0
23,S-none_K-2_C-5_W-20_Col-15,screening_grid_3epoch_108/S-none_K-2_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-2_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-2_C-5_W-20_Col-15/full_eval,32,6,3,1,none,2.0,5.0,20.0,15.0,False,0.0
24,S-none_K-4_C-0_W-10_Col-0,screening_grid_3epoch_108/S-none_K-4_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-0_W-10_Col-0/full_eval,32,6,3,1,none,4.0,0.0,10.0,0.0,False,0.0
25,S-none_K-4_C-0_W-10_Col-15,screening_grid_3epoch_108/S-none_K-4_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-0_W-10_Col-15/full_eval,32,6,3,1,none,4.0,0.0,10.0,15.0,False,0.0
26,S-none_K-4_C-0_W-20_Col-0,screening_grid_3epoch_108/S-none_K-4_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-0_W-20_Col-0/full_eval,32,6,3,1,none,4.0,0.0,20.0,0.0,False,0.0
27,S-none_K-4_C-0_W-20_Col-15,screening_grid_3epoch_108/S-none_K-4_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-0_W-20_Col-15/full_eval,32,6,3,1,none,4.0,0.0,20.0,15.0,False,0.0
28,S-none_K-4_C-2_W-10_Col-0,screening_grid_3epoch_108/S-none_K-4_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-2_W-10_Col-0/full_eval,32,6,3,1,none,4.0,2.0,10.0,0.0,False,0.0
29,S-none_K-4_C-2_W-10_Col-15,screening_grid_3epoch_108/S-none_K-4_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-2_W-10_Col-15/full_eval,32,6,3,1,none,4.0,2.0,10.0,15.0,False,0.0
30,S-none_K-4_C-2_W-20_Col-0,screening_grid_3epoch_108/S-none_K-4_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-2_W-20_Col-0/full_eval,32,6,3,1,none,4.0,2.0,20.0,0.0,False,0.0
31,S-none_K-4_C-2_W-20_Col-15,screening_grid_3epoch_108/S-none_K-4_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-2_W-20_Col-15/full_eval,32,6,3,1,none,4.0,2.0,20.0,15.0,False,0.0
32,S-none_K-4_C-5_W-10_Col-0,screening_grid_3epoch_108/S-none_K-4_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-5_W-10_Col-0/full_eval,32,6,3,1,none,4.0,5.0,10.0,0.0,False,0.0
33,S-none_K-4_C-5_W-10_Col-15,screening_grid_3epoch_108/S-none_K-4_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-5_W-10_Col-15/full_eval,32,6,3,1,none,4.0,5.0,10.0,15.0,False,0.0
34,S-none_K-4_C-5_W-20_Col-0,screening_grid_3epoch_108/S-none_K-4_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-4_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-4_C-5_W-20_Col-0/full_eval,32,6,3,1,none,4.0,5.0,20.0,0.0,False,0.0
35,S-none_K-4_C-5_W-20_Col-15,screening_grid_3epoch_108/S-none_K-4_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-4_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-4_C-5_W-20_Col-15/full_eval,32,6,3,1,none,4.0,5.0,20.0,15.0,False,0.0
36,S-add__K-1_C-0_W-10_Col-0,screening_grid_3epoch_108/S-add__K-1_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-0_W-10_Col-0/full_eval,32,6,3,1,add_proj,1.0,0.0,10.0,0.0,False,0.0
37,S-add__K-1_C-0_W-10_Col-15,screening_grid_3epoch_108/S-add__K-1_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-0_W-10_Col-15/full_eval,32,6,3,1,add_proj,1.0,0.0,10.0,15.0,False,0.0
38,S-add__K-1_C-0_W-20_Col-0,screening_grid_3epoch_108/S-add__K-1_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-0_W-20_Col-0/full_eval,32,6,3,1,add_proj,1.0,0.0,20.0,0.0,False,0.0
39,S-add__K-1_C-0_W-20_Col-15,screening_grid_3epoch_108/S-add__K-1_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-0_W-20_Col-15/full_eval,32,6,3,1,add_proj,1.0,0.0,20.0,15.0,False,0.0
40,S-add__K-1_C-2_W-10_Col-0,screening_grid_3epoch_108/S-add__K-1_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-2_W-10_Col-0/full_eval,32,6,3,1,add_proj,1.0,2.0,10.0,0.0,False,0.0
41,S-add__K-1_C-2_W-10_Col-15,screening_grid_3epoch_108/S-add__K-1_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-2_W-10_Col-15/full_eval,32,6,3,1,add_proj,1.0,2.0,10.0,15.0,False,0.0
42,S-add__K-1_C-2_W-20_Col-0,screening_grid_3epoch_108/S-add__K-1_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-2_W-20_Col-0/full_eval,32,6,3,1,add_proj,1.0,2.0,20.0,0.0,False,0.0
43,S-add__K-1_C-2_W-20_Col-15,screening_grid_3epoch_108/S-add__K-1_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-2_W-20_Col-15/full_eval,32,6,3,1,add_proj,1.0,2.0,20.0,15.0,False,0.0
44,S-add__K-1_C-5_W-10_Col-0,screening_grid_3epoch_108/S-add__K-1_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-5_W-10_Col-0/full_eval,32,6,3,1,add_proj,1.0,5.0,10.0,0.0,False,0.0
45,S-add__K-1_C-5_W-10_Col-15,screening_grid_3epoch_108/S-add__K-1_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-5_W-10_Col-15/full_eval,32,6,3,1,add_proj,1.0,5.0,10.0,15.0,False,0.0
46,S-add__K-1_C-5_W-20_Col-0,screening_grid_3epoch_108/S-add__K-1_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-1_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-1_C-5_W-20_Col-0/full_eval,32,6,3,1,add_proj,1.0,5.0,20.0,0.0,False,0.0
47,S-add__K-1_C-5_W-20_Col-15,screening_grid_3epoch_108/S-add__K-1_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-1_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-1_C-5_W-20_Col-15/full_eval,32,6,3,1,add_proj,1.0,5.0,20.0,15.0,False,0.0
48,S-add__K-2_C-0_W-10_Col-0,screening_grid_3epoch_108/S-add__K-2_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-0_W-10_Col-0/full_eval,32,6,3,1,add_proj,2.0,0.0,10.0,0.0,False,0.0
49,S-add__K-2_C-0_W-10_Col-15,screening_grid_3epoch_108/S-add__K-2_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-0_W-10_Col-15/full_eval,32,6,3,1,add_proj,2.0,0.0,10.0,15.0,False,0.0
50,S-add__K-2_C-0_W-20_Col-0,screening_grid_3epoch_108/S-add__K-2_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-0_W-20_Col-0/full_eval,32,6,3,1,add_proj,2.0,0.0,20.0,0.0,False,0.0
51,S-add__K-2_C-0_W-20_Col-15,screening_grid_3epoch_108/S-add__K-2_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-0_W-20_Col-15/full_eval,32,6,3,1,add_proj,2.0,0.0,20.0,15.0,False,0.0
52,S-add__K-2_C-2_W-10_Col-0,screening_grid_3epoch_108/S-add__K-2_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-2_W-10_Col-0/full_eval,32,6,3,1,add_proj,2.0,2.0,10.0,0.0,False,0.0
53,S-add__K-2_C-2_W-10_Col-15,screening_grid_3epoch_108/S-add__K-2_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-2_W-10_Col-15/full_eval,32,6,3,1,add_proj,2.0,2.0,10.0,15.0,False,0.0
54,S-add__K-2_C-2_W-20_Col-0,screening_grid_3epoch_108/S-add__K-2_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-2_W-20_Col-0/full_eval,32,6,3,1,add_proj,2.0,2.0,20.0,0.0,False,0.0
55,S-add__K-2_C-2_W-20_Col-15,screening_grid_3epoch_108/S-add__K-2_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-2_W-20_Col-15/full_eval,32,6,3,1,add_proj,2.0,2.0,20.0,15.0,False,0.0
56,S-add__K-2_C-5_W-10_Col-0,screening_grid_3epoch_108/S-add__K-2_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-5_W-10_Col-0/full_eval,32,6,3,1,add_proj,2.0,5.0,10.0,0.0,False,0.0
57,S-add__K-2_C-5_W-10_Col-15,screening_grid_3epoch_108/S-add__K-2_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-5_W-10_Col-15/full_eval,32,6,3,1,add_proj,2.0,5.0,10.0,15.0,False,0.0
58,S-add__K-2_C-5_W-20_Col-0,screening_grid_3epoch_108/S-add__K-2_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-2_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-2_C-5_W-20_Col-0/full_eval,32,6,3,1,add_proj,2.0,5.0,20.0,0.0,False,0.0
59,S-add__K-2_C-5_W-20_Col-15,screening_grid_3epoch_108/S-add__K-2_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-2_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-2_C-5_W-20_Col-15/full_eval,32,6,3,1,add_proj,2.0,5.0,20.0,15.0,False,0.0
60,S-add__K-4_C-0_W-10_Col-0,screening_grid_3epoch_108/S-add__K-4_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-0_W-10_Col-0/full_eval,32,6,3,1,add_proj,4.0,0.0,10.0,0.0,False,0.0
61,S-add__K-4_C-0_W-10_Col-15,screening_grid_3epoch_108/S-add__K-4_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-0_W-10_Col-15/full_eval,32,6,3,1,add_proj,4.0,0.0,10.0,15.0,False,0.0
62,S-add__K-4_C-0_W-20_Col-0,screening_grid_3epoch_108/S-add__K-4_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-0_W-20_Col-0/full_eval,32,6,3,1,add_proj,4.0,0.0,20.0,0.0,False,0.0
63,S-add__K-4_C-0_W-20_Col-15,screening_grid_3epoch_108/S-add__K-4_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-0_W-20_Col-15/full_eval,32,6,3,1,add_proj,4.0,0.0,20.0,15.0,False,0.0
64,S-add__K-4_C-2_W-10_Col-0,screening_grid_3epoch_108/S-add__K-4_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-2_W-10_Col-0/full_eval,32,6,3,1,add_proj,4.0,2.0,10.0,0.0,False,0.0
65,S-add__K-4_C-2_W-10_Col-15,screening_grid_3epoch_108/S-add__K-4_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-2_W-10_Col-15/full_eval,32,6,3,1,add_proj,4.0,2.0,10.0,15.0,False,0.0
66,S-add__K-4_C-2_W-20_Col-0,screening_grid_3epoch_108/S-add__K-4_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-2_W-20_Col-0/full_eval,32,6,3,1,add_proj,4.0,2.0,20.0,0.0,False,0.0
67,S-add__K-4_C-2_W-20_Col-15,screening_grid_3epoch_108/S-add__K-4_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-2_W-20_Col-15/full_eval,32,6,3,1,add_proj,4.0,2.0,20.0,15.0,False,0.0
68,S-add__K-4_C-5_W-10_Col-0,screening_grid_3epoch_108/S-add__K-4_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-5_W-10_Col-0/full_eval,32,6,3,1,add_proj,4.0,5.0,10.0,0.0,False,0.0
69,S-add__K-4_C-5_W-10_Col-15,screening_grid_3epoch_108/S-add__K-4_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-5_W-10_Col-15/full_eval,32,6,3,1,add_proj,4.0,5.0,10.0,15.0,False,0.0
70,S-add__K-4_C-5_W-20_Col-0,screening_grid_3epoch_108/S-add__K-4_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-add__K-4_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-add__K-4_C-5_W-20_Col-0/full_eval,32,6,3,1,add_proj,4.0,5.0,20.0,0.0,False,0.0
71,S-add__K-4_C-5_W-20_Col-15,screening_grid_3epoch_108/S-add__K-4_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-add__K-4_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-add__K-4_C-5_W-20_Col-15/full_eval,32,6,3,1,add_proj,4.0,5.0,20.0,15.0,False,0.0
72,S-norm_K-1_C-0_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-10_Col-0/full_eval,32,6,3,1,normalized,1.0,0.0,10.0,0.0,False,0.0
73,S-norm_K-1_C-0_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-10_Col-15/full_eval,32,6,3,1,normalized,1.0,0.0,10.0,15.0,False,0.0
74,S-norm_K-1_C-0_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-20_Col-0/full_eval,32,6,3,1,normalized,1.0,0.0,20.0,0.0,False,0.0
75,S-norm_K-1_C-0_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-0_W-20_Col-15/full_eval,32,6,3,1,normalized,1.0,0.0,20.0,15.0,False,0.0
76,S-norm_K-1_C-2_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-10_Col-0/full_eval,32,6,3,1,normalized,1.0,2.0,10.0,0.0,False,0.0
77,S-norm_K-1_C-2_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-10_Col-15/full_eval,32,6,3,1,normalized,1.0,2.0,10.0,15.0,False,0.0
78,S-norm_K-1_C-2_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-20_Col-0/full_eval,32,6,3,1,normalized,1.0,2.0,20.0,0.0,False,0.0
79,S-norm_K-1_C-2_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-2_W-20_Col-15/full_eval,32,6,3,1,normalized,1.0,2.0,20.0,15.0,False,0.0
80,S-norm_K-1_C-5_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-10_Col-0/full_eval,32,6,3,1,normalized,1.0,5.0,10.0,0.0,False,0.0
81,S-norm_K-1_C-5_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-10_Col-15/full_eval,32,6,3,1,normalized,1.0,5.0,10.0,15.0,False,0.0
