"exp_dir","deleted_files","deleted_mb","extensions","first_deleted_path","reason"
"wikiart512_ema_spectral_stat_gain4_adapt_e2_b48","751","368.223",".png:751","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_gain4_adapt_e2_b48\full_eval_epoch0002_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_tokenizer_only_e4_from_e8_b48","751","366.040",".png:751","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenizer_only_e4_from_e8_b48\full_eval_epoch0004_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_spectral_stat_tokonly_e4_from_e8_b64","751","365.794",".png:751","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_stat_tokonly_e4_from_e8_b64\full_eval_epoch0004_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"moment_sweep_spectral_full","604","297.057",".png:604","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\moment_sweep_spectral_full\blend_0.25\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"field_scale_probe","304","150.476",".png:304","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\field_scale_probe\baseline_n3\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_execdecoder_fieldbound_c045_s090_g110_120b","302","147.311",".png:302","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_execdecoder_fieldbound_c045_s090_g110_120b\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"delta_freq_gain","302","147.012",".png:302","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\delta_freq_gain\eval_low100_high050_k5_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"full_eval_history_backfill_20260601","7510","108.459",".png:10;.jpg:7500","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_history_backfill_20260601\split_axis_execdecoder_bound070_120b_lr2e4\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_execdecoder_tokprobe_e1_b32","151","76.183",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_execdecoder_tokprobe_e1_b32\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_spatial_atom_tokonly_e1_b32","151","74.931",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spatial_atom_tokonly_e1_b32\quick_eval_trueint_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_tokenizer_owned_spatial_tokonly_e1_b32","151","74.871",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenizer_owned_spatial_tokonly_e1_b32\quick_eval_trueint_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_geometry_derivative_filter_rank4_120b","151","74.657",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_geometry_derivative_filter_rank4_120b\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_geometry_filter_rank4_120b","151","74.602",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_geometry_filter_rank4_120b\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_geometry_spatial_rank4_120b","151","74.597",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_geometry_spatial_rank4_120b\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_spectral_guard_from_spectral_e2_b48","151","74.536",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spectral_guard_from_spectral_e2_b48\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_relative_margin_e1_from_spectral_b48","151","74.353",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_relative_margin_e1_from_spectral_b48\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"tokenizer_directional_from_spectral_e120_b16","151","74.303",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_directional_from_spectral_e120_b16\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_relative_margin005_e1_from_spectral_b48","151","74.230",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_relative_margin005_e1_from_spectral_b48\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48","151","74.195",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowfreq_moment_hfguard_e2_from_spectral_b48\eval_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"tokenizer_directional_metric_smoke_b16","151","73.846",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_directional_metric_smoke_b16\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_execdecoder_40b_lr2e4","151","73.844",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_execdecoder_40b_lr2e4\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_execdecoder_bound070_120b_lr2e4","151","73.668",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_execdecoder_bound070_120b_lr2e4\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_lowfreq_moment_hfguard_tsw12_e1_b48","151","73.647",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowfreq_moment_hfguard_tsw12_e1_b48\eval_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_spatial_proto_blend025_guard_e1_b48","151","73.644",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_spatial_proto_blend025_guard_e1_b48\eval_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_execdecoder_bound090_120b_lr2e4","151","73.576",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_execdecoder_bound090_120b_lr2e4\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_tokenizer_geostat_g005_120b","151","73.440",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_tokenizer_geostat_g005_120b\quick_eval\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_tokenizer_geomnorm_120b","151","73.431",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_tokenizer_geomnorm_120b\quick_eval\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_tokenizer_geostat_120b","151","73.425",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_tokenizer_geostat_120b\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"split_axis_geostat_execdecoder_fieldbound_120b","151","73.388",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\split_axis_geostat_execdecoder_fieldbound_120b\quick_eval\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_deltafreq_high05_recover_e2_b48","151","73.201",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_deltafreq_high05_recover_e2_b48\eval_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_lowfreq_moment_hfguard_tsw8_e1_b48","151","73.130",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowfreq_moment_hfguard_tsw8_e1_b48\eval_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"tokenizer_directional_metric_e300_b16","151","73.058",".png:151","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_directional_metric_e300_b16\quick_eval_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"full_eval_promoted_all5x5","3004","43.866",".png:4;.jpg:3000","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_promoted_all5x5\split_axis_execdecoder_40b_lr2e4\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48","2253","31.574",".png:3;.jpg:2250","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e8_e16_b48\full_eval\epoch_0012\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48","2253","31.441",".png:3;.jpg:2250","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e16_e24_b48\full_eval\epoch_0004\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64","2253","30.155",".png:3;.jpg:2250","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart_distinct5_ema_lancet_spectralstat_from_e2_e8_b64\full_eval\epoch_0004\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"full_eval_promoted_all5x5_b2","1502","23.138",".png:2;.jpg:1500","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_promoted_all5x5_b2\split_axis_geometry_derivative_filter_rank4_120b\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_pair_content_release_from_0790_e1_b160","151","4.306",".png:1;.jpg:150","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_pair_content_release_from_0790_e1_b160\quick_eval_n6\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_metric_budget_decoder_safety125_probe120_b80","151","4.285",".png:1;.jpg:150","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_metric_budget_decoder_safety125_probe120_b80\quick_eval_n6\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_budget_only_safety125_probe120_b80_lr2e4","151","4.278",".png:1;.jpg:150","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_budget_only_safety125_probe120_b80_lr2e4\quick_eval_n6\summary_grid.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
