id,task,status,output
D2_no_kinetic,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\eval_plain_kid750.json
D3_no_swd_no_kinetic,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D3_no_swd_no_kinetic,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\full_eval\epoch_0007\eval_guard750.json
D3_no_swd_no_kinetic,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\full_eval\epoch_0007\eval_hf_patch_kid750.json
D3_no_swd_no_kinetic,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D3_no_swd_no_kinetic\full_eval\epoch_0007\eval_plain_kid750.json
D4_conv_body_no_global_attn,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D4_conv_body_no_global_attn,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007\eval_guard750.json
D4_conv_body_no_global_attn,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007\eval_hf_patch_kid750.json
D4_conv_body_no_global_attn,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D4_conv_body_no_global_attn\full_eval\epoch_0007\eval_plain_kid750.json
D5_disable_skip_routing,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D5_disable_skip_routing,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007\eval_guard750.json
D5_disable_skip_routing,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007\eval_hf_patch_kid750.json
D5_disable_skip_routing,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D5_disable_skip_routing\full_eval\epoch_0007\eval_plain_kid750.json
D6_disable_spatial_prior,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D6_disable_spatial_prior,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007\eval_guard750.json
D6_disable_spatial_prior,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007\eval_hf_patch_kid750.json
D6_disable_spatial_prior,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D6_disable_spatial_prior\full_eval\epoch_0007\eval_plain_kid750.json
D7_no_residual_path,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D7_no_residual_path,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\full_eval\epoch_0007\eval_guard750.json
D7_no_residual_path,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\full_eval\epoch_0007\eval_hf_patch_kid750.json
D7_no_residual_path,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D7_no_residual_path\full_eval\epoch_0007\eval_plain_kid750.json
D8_strong_color_loss,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D8_strong_color_loss,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\full_eval\epoch_0007\eval_guard750.json
D8_strong_color_loss,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\full_eval\epoch_0007\eval_hf_patch_kid750.json
D8_strong_color_loss,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D8_strong_color_loss\full_eval\epoch_0007\eval_plain_kid750.json
D9_l2_ot_cost,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D9_l2_ot_cost,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007\eval_guard750.json
D9_l2_ot_cost,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007\eval_hf_patch_kid750.json
D9_l2_ot_cost,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007\eval_plain_kid750.json
D10_micro_hf_swd_trap,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D10_micro_hf_swd_trap,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap\full_eval\epoch_0007\eval_guard750.json
D10_micro_hf_swd_trap,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap\full_eval\epoch_0007\eval_hf_patch_kid750.json
D10_micro_hf_swd_trap,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D10_micro_hf_swd_trap\full_eval\epoch_0007\eval_plain_kid750.json
D11_single_terminal_step,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D11_single_terminal_step,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step\full_eval\epoch_0007\eval_guard750.json
D11_single_terminal_step,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step\full_eval\epoch_0007\eval_hf_patch_kid750.json
D11_single_terminal_step,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D11_single_terminal_step\full_eval\epoch_0007\eval_plain_kid750.json
