epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
11,2797.6985693862757,24.839943079604318,0.5762722019067744,0.2016413353153111,0.0,0.20179405101795786,1.0,1.0,0.9043224635197944,0.00019947958005998598,3.359569100009139,138.68275640000138,142.04754090309143,62080,437.0367808222221
12,2758.906612435567,24.43847143035574,0.5800458724351273,0.2022446304098847,0.0,0.2106490606806942,1.0,1.0,0.9006566537409714,0.00019937041273203768,3.3474501999971835,138.64354890000868,141.99650192260742,62080,437.1938685773792
13,2709.6731284230027,23.828145794032775,0.5808655567390403,0.20930316591078474,0.0,0.23484153607764194,1.0,1.0,0.8985121594261878,0.00019925089662487544,3.345926400004828,138.62967379999372,141.9801540374756,62080,437.2442079729961
14,2633.5247223844235,22.968735547409842,0.5926581507491082,0.21461312396010174,0.0,0.2709237378589886,1.0,1.0,0.8961522840347487,0.00019912104484478716,3.3567466000049535,138.62228540000888,141.98493242263794,62080,437.2294928817533
15,2517.853937208038,21.942202961321957,0.6263199887939335,0.20428073106660055,0.0,0.3191977991271265,1.0,1.0,0.8977753842614361,0.00019898087163148392,3.4166312999950605,138.61827240000093,142.0402274131775,62080,437.05928334947635
16,2437.13754052231,21.32516155046286,0.6425424780427795,0.19129245390289837,0.0,0.32795264641034233,1.0,1.0,0.9035060550134206,0.00019883039235653812,3.354386999990311,138.59724449999158,141.95698857307434,62080,437.3155603258198
17,2394.9725190782056,20.97754030129344,0.6608736035750085,0.1859712901035535,0.0,0.33879582845058637,1.0,1.0,0.9037580674456567,0.000198669623521698,3.363561399994069,138.6488692999992,142.01773977279663,62080,437.128489013535
18,2364.819374949662,20.681338811658094,0.6712828315410417,0.18515762233549787,0.0,0.3521299549599284,1.0,1.0,0.8938936351500836,0.000198498582757078,3.3602169000114372,138.63718929998322,142.00315499305725,62080,437.1733853591858
19,2340.874461380477,20.490329948897216,0.6779414175711956,0.18198690363734038,0.0,0.35010465426543325,1.0,1.0,0.9053363606487352,0.00019831728881922547,3.382493199991586,138.61641350000536,142.0049033164978,62080,437.16800300646867
20,2315.948923012645,20.257511325718202,0.6860207227087513,0.18060574826505996,0.0,0.3583422873130779,1.0,1.0,0.901565351744288,0.00019812576158906363,3.459893399989596,138.595050599999,142.0608947277069,62080,436.9956990556121
21,2299.7889039344395,20.13993369426924,0.6886023802241099,0.17753994534003367,0.0,0.3621679330916749,1.0,1.0,0.8950808957679984,0.00019792402206971158,3.350661399992532,138.65946749998147,142.01527976989746,62080,437.1360609970006
22,2275.6365979381444,19.93286137728347,0.6946073629192471,0.17510782251345744,0.0,0.3659903258085251,1.0,1.0,0.9004957218145587,0.00019771209238418104,3.3526727999851573,138.6163314999976,141.97418022155762,62080,437.26260580002037
23,2279.779325819507,19.941642780893858,0.703671805022918,0.17687618071885453,0.0,0.37786847091827197,1.0,1.0,0.8935742421248525,0.00019748999577295025,3.340994900005171,138.628448999998,141.9745376110077,62080,437.26150508826703
24,2255.149607864852,19.691340505462332,0.706638419443799,0.17695615079599558,0.0,0.3833610897826165,1.0,1.0,0.8979892189969721,0.00019725775659141547,3.363574000004519,138.5910806999982,141.96005821228027,62080,437.3061041378874
25,2233.824694446682,19.43397101176154,0.7113580264381527,0.17956348908008987,0.0,0.3931929814754073,1.0,1.0,0.8973518229022468,0.00019701540030722,3.4336609999882057,138.60314370000015,142.04220843315125,62080,437.05318781506037
26,2224.49290985422,19.31591594342104,0.7222047285320833,0.18082099446316355,0.0,0.40450793166750487,1.0,1.0,0.899211473071698,0.00019676295349746153,3.3638948000152595,138.60564740001246,141.97515320777893,62080,437.25960914545846
27,2213.384297479059,19.192986360530263,0.7272768926989172,0.1813813451792776,0.0,0.41118161242032786,1.0,1.0,0.9016056060791016,0.00019650044384577757,3.364883700018254,138.6945145999889,142.06437015533447,62080,436.985008500873
