point_id,scope,family,variant,label,step_or_epoch,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,trace_id,label_dx,label_dy,note,source_summary,style_minus_idt
actuation_head_adapter_k070_e3::epoch_0001::transfer,transfer,FiberBundle,actuation_head_adapter_k070_e3,,epoch_0001,0.679295247197,0.31657083355,0.68342916645,2.1605931441,129.635588646,actuation_head_adapter_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.20; stopped at e5 because adapter RMS grew while style regressed.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0001/summary.json,0.0393744219343
actuation_head_adapter_k070_e3::epoch_0002::transfer,transfer,FiberBundle,actuation_head_adapter_k070_e3,,epoch_0002,0.679957068861,0.31843828002,0.68156171998,1.58837914467,95.3027486801,actuation_head_adapter_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.20; stopped at e5 because adapter RMS grew while style regressed.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0002/summary.json,0.0400362435977
actuation_head_adapter_k070_e3::epoch_0003::transfer,transfer,FiberBundle,actuation_head_adapter_k070_e3,,epoch_0003,0.679186626375,0.317511156,0.682488844,1.50408456326,90.2450737953,actuation_head_adapter_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.20; stopped at e5 because adapter RMS grew while style regressed.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0003/summary.json,0.0392658011119
actuation_head_adapter_k070_e3::epoch_0004::transfer,transfer,FiberBundle,actuation_head_adapter_k070_e3,,epoch_0004,0.678690505624,0.31628289706,0.68371710294,1.52744454145,91.6466724873,actuation_head_adapter_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.20; stopped at e5 because adapter RMS grew while style regressed.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0004/summary.json,0.038769680361
actuation_head_adapter_k070_e3::epoch_0005::transfer,transfer,FiberBundle,actuation_head_adapter_k070_e3,,epoch_0005,0.678111288548,0.316513005325,0.683486994675,1.49977016052,89.986209631,actuation_head_adapter_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.20; stopped at e5 because adapter RMS grew while style regressed.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0005/summary.json,0.0381904632847
actuation_head_adapter_s005_k070_e3::epoch_0001::transfer,transfer,FiberBundle,actuation_head_adapter_s005_k070_e3,,epoch_0001,0.679604513943,0.315739710475,0.684260289525,2.1381268541,128.287611246,actuation_head_adapter_s005_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.05; stopped at e3 because style stayed below plateau while adapter RMS grew.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_s005_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0001/summary.json,0.0396836886803
actuation_head_adapter_s005_k070_e3::epoch_0002::transfer,transfer,FiberBundle,actuation_head_adapter_s005_k070_e3,,epoch_0002,0.679740804434,0.31628991535,0.68371008465,1.6022980094,96.1378805637,actuation_head_adapter_s005_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.05; stopped at e3 because style stayed below plateau while adapter RMS grew.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_s005_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0002/summary.json,0.039819979171
actuation_head_adapter_s005_k070_e3::epoch_0003::transfer,transfer,FiberBundle,actuation_head_adapter_s005_k070_e3,,epoch_0003,0.679675110281,0.316861974925,0.683138025075,1.52268378735,91.3610272408,actuation_head_adapter_s005_k070_e3,8.0,10.0,Style-conditioned output head adapter scale 0.05; stopped at e3 because style stayed below plateau while adapter RMS grew.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_head_adapter_s005_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0003/summary.json,0.0397542850176
actuation_predec_diversity_k070_e3::epoch_0001::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0001,0.680099408031,0.31559818935,0.68440181065,2.30533842643,138.320305586,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0001/summary.json,0.0401785827676
actuation_predec_diversity_k070_e3::epoch_0002::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0002,0.68007080853,0.315606344475,0.684393655525,1.65366700888,99.2200205326,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0002/summary.json,0.040149983267
actuation_predec_diversity_k070_e3::epoch_0003::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0003,0.680112774968,0.3156195482,0.6843804518,1.64098085165,98.458851099,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0003/summary.json,0.0401919497053
actuation_predec_diversity_k070_e3::epoch_0004::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0004,0.68013276428,0.315616391525,0.684383608475,1.61384049654,96.8304297924,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0004/summary.json,0.040211939017
actuation_predec_diversity_k070_e3::epoch_0005::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0005,0.680131106973,0.31559397152,0.68440602848,1.61104686658,96.6628119946,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0005/summary.json,0.0402102817098
actuation_predec_diversity_k070_e3::epoch_0006::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0006,0.680104216933,0.3155844983,0.6844155017,1.60811167558,96.4867005348,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0006/summary.json,0.0401833916704
actuation_predec_diversity_k070_e3::epoch_0007::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0007,0.680078208148,0.315580267675,0.684419732325,1.67193671465,100.316202879,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0007/summary.json,0.0401573828856
actuation_predec_diversity_k070_e3::epoch_0008::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0008,0.680046024323,0.315578398875,0.684421601125,1.61468820969,96.8812925816,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0008/summary.json,0.0401251990596
actuation_predec_diversity_k070_e3::epoch_0009::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0009,0.680054484606,0.31558853737,0.68441146263,1.63335109154,98.0010654926,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0009/summary.json,0.0401336593429
actuation_predec_diversity_k070_e3::epoch_0010::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0010,0.680078352094,0.31556407433,0.68443592567,1.61432175239,96.8593051434,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0010/summary.json,0.0401575268308
actuation_predec_diversity_k070_e3::epoch_0011::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0011,0.680059865117,0.31555544429,0.68444455571,1.61777198315,97.0663189888,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0011/summary.json,0.0401390398542
actuation_predec_diversity_k070_e3::epoch_0012::transfer,transfer,FiberBundle,actuation_predec_diversity_k070_e3,,epoch_0012,0.68007647872,0.315551286925,0.684448713075,1.61670840184,97.0025041103,actuation_predec_diversity_k070_e3,8.0,10.0,Pre-decoder style section plus generated-delta diversity loss; fast10 transfer-only training-time eval; closed style-flat after e12.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_diversity_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0012/summary.json,0.0401556534568
actuation_predec_section_k070_e3::epoch_0001::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0001,0.680105665624,0.31559134153,0.68440865847,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0001/summary.json,0.0401848403613
actuation_predec_section_k070_e3::epoch_0002::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0002,0.680117499828,0.315599494775,0.684400505225,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0002/summary.json,0.0401966745655
actuation_predec_section_k070_e3::epoch_0003::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,PreDec e3 flat,epoch_0003,0.680121080577,0.315600196295,0.684399803705,,,actuation_predec_section_k070_e3,18.0,-20.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0003/summary.json,0.0402002553145
actuation_predec_section_k070_e3::epoch_0004::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0004,0.68010178715,0.3156044306,0.6843955694,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0004/summary.json,0.040180961887
actuation_predec_section_k070_e3::epoch_0005::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0005,0.680105545819,0.3155730282,0.6844269718,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0005/summary.json,0.0401847205559
actuation_predec_section_k070_e3::epoch_0006::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0006,0.680070329309,0.31557309435,0.68442690565,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0006/summary.json,0.0401495040456
actuation_predec_section_k070_e3::epoch_0007::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0007,0.680062379539,0.31558294965,0.68441705035,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0007/summary.json,0.0401415542761
actuation_predec_section_k070_e3::epoch_0008::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0008,0.680074174702,0.31556886903,0.68443113097,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0008/summary.json,0.0401533494393
actuation_predec_section_k070_e3::epoch_0009::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0009,0.680073921084,0.31556240227,0.68443759773,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0009/summary.json,0.0401530958215
actuation_predec_section_k070_e3::epoch_0010::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0010,0.680037472248,0.315541179075,0.684458820925,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0010/summary.json,0.0401166469852
actuation_predec_section_k070_e3::epoch_0011::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0011,0.680068379343,0.31553291045,0.68446708955,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0011/summary.json,0.0401475540797
actuation_predec_section_k070_e3::epoch_0012::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0012,0.680066308379,0.31552377602,0.68447622398,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0012/summary.json,0.0401454831163
actuation_predec_section_k070_e3::epoch_0013::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0013,0.6800541839,0.31553048183,0.68446951817,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0013/summary.json,0.0401333586375
actuation_predec_section_k070_e3::epoch_0014::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0014,0.680065484345,0.3155388074,0.6844611926,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0014/summary.json,0.0401446590821
actuation_predec_section_k070_e3::epoch_0015::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0015,0.680064246655,0.31553836603,0.68446163397,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0015/summary.json,0.0401434213916
actuation_predec_section_k070_e3::epoch_0016::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0016,0.68004602164,0.31554407855,0.68445592145,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0016/summary.json,0.0401251963774
actuation_predec_section_k070_e3::epoch_0017::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,,epoch_0017,0.680082574487,0.31553674112,0.68446325888,,,actuation_predec_section_k070_e3,8.0,10.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0017/summary.json,0.0401617492239
actuation_predec_section_k070_e3::epoch_0018::transfer,transfer,FiberBundle,actuation_predec_section_k070_e3,PreDec e18,epoch_0018,0.680047422945,0.315528295475,0.684471704525,,,actuation_predec_section_k070_e3,18.0,16.0,"Pre-decoder style section injection-only fast10 transfer curve; e3 best style, e18 final; flat/negative for style actuation.",/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_predec_section_k070_e3_b16a2bf16_vlen010/full_eval_fast10/epoch_0018/summary.json,0.0401265976826
actuation_proximal_texture_k070_e3::epoch_0001::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0001,0.672446968158,0.312461007032,0.687538992968,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0001/summary.json,0.0325261428952
actuation_proximal_texture_k070_e3::epoch_0002::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0002,0.671845917106,0.313755835723,0.686244164277,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0002/summary.json,0.0319250918428
actuation_proximal_texture_k070_e3::epoch_0003::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0003,0.672419591894,0.314827287557,0.685172712443,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0003/summary.json,0.0324987666309
actuation_proximal_texture_k070_e3::epoch_0004::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0004,0.672948786269,0.32217973058,0.67782026942,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0004/summary.json,0.0330279610058
actuation_proximal_texture_k070_e3::epoch_0005::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0005,0.67173997586,0.328618456613,0.671381543387,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0005/summary.json,0.0318191505969
actuation_proximal_texture_k070_e3::epoch_0006::transfer,transfer,FiberBundle,actuation_proximal_texture_k070_e3,,epoch_0006,0.673383936882,0.327237506033,0.672762493967,,,actuation_proximal_texture_k070_e3,8.0,10.0,Proximal texture residual injection-only probe from k070 epoch_0003; full transfer eval points only.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_proximal_texture_k070_e3_b16a2bf16_vlen010/full_eval/epoch_0006/summary.json,0.0334631116192
