run_label,objective_mode,rollout_mode,split,step_idx,t,count,velocity_l2_mean,velocity_l2_std,velocity_abs_mean,step_disp_l2_mean,step_disp_l2_std
H_base,omf,field,transfer,2,0.3125,240,80.30086142222086,29.134980874859835,0.5006873855988184,10.037607677777608,3.6418726093574794
H_base,omf,field,transfer,3,0.4375,240,80.2862642288208,29.137315366818513,0.5005895460645358,10.0357830286026,3.642164420852314
H_base,omf,field,transfer,4,0.5625,240,80.27272262573243,29.140075254079623,0.5004977961381276,10.034090328216553,3.642509406759953
H_base,omf,field,transfer,5,0.6875,240,80.26040356953939,29.143239452766455,0.5004133130113284,10.032550446192424,3.642904931595807
H_base,omf,field,transfer,6,0.8125,240,80.24948705037436,29.146823302386643,0.5003373076518377,10.031185881296794,3.6433529127983304
H_base,omf,field,transfer,7,0.9375,240,80.24011058807373,29.150811911598005,0.5002707228064537,10.030013823509217,3.6438514889497506
H_k025,omf,field,all,0,0.0625,300,110.0986562093099,21.062232067237968,0.650775842666626,13.762332026163737,2.632779008404746
H_k025,omf,field,all,1,0.1875,300,110.09636372884114,21.067351158428682,0.6507389291127523,13.762045466105143,2.6334188948035853
H_k025,omf,field,all,2,0.3125,300,110.09443552652995,21.07269858062178,0.6507018661499023,13.761804440816244,2.6340873225777224
H_k025,omf,field,all,3,0.4375,300,110.09298411051432,21.078247220583616,0.6506656002998352,13.76162301381429,2.634780902572952
H_k025,omf,field,all,4,0.5625,300,110.09208058675131,21.0839419270786,0.6506308992703755,13.761510073343914,2.635492740884825
H_k025,omf,field,all,5,0.6875,300,110.0918189493815,21.089730342928426,0.6505985871950786,13.761477368672688,2.6362162928660533
H_k025,omf,field,all,6,0.8125,300,110.09226694742839,21.09555203515269,0.6505694993336996,13.761533368428548,2.636944004394086
H_k025,omf,field,all,7,0.9375,300,110.09346700032552,21.101362093039654,0.6505441737174987,13.76168337504069,2.6376702616299568
H_k025,omf,field,identity,0,0.0625,60,103.59605509440104,16.130530757655112,0.6045865893363953,12.94950688680013,2.016316344706889
H_k025,omf,field,identity,1,0.1875,60,103.59789479573568,16.137738908185504,0.6045725862185161,12.94973684946696,2.017217363523188
H_k025,omf,field,identity,2,0.3125,60,103.60020039876302,16.145362449887166,0.6045597672462464,12.950025049845378,2.0181703062358958
H_k025,omf,field,identity,3,0.4375,60,103.60305531819661,16.153319014773025,0.6045489589373271,12.950381914774576,2.019164876846628
H_k025,omf,field,identity,4,0.5625,60,103.6064442952474,16.1615082505717,0.6045403043429057,12.950805536905925,2.0201885313214625
H_k025,omf,field,identity,5,0.6875,60,103.61039886474609,16.1698330942702,0.6045342326164246,12.951299858093261,2.021229136783775
H_k025,omf,field,identity,6,0.8125,60,103.6149408976237,16.17817900466394,0.6045312722524007,12.951867612202962,2.0222723755829923
H_k025,omf,field,identity,7,0.9375,60,103.62007598876953,16.186465394812465,0.6045317927996318,12.952509498596191,2.023308174351558
H_k025,omf,field,transfer,0,0.0625,240,111.72430636088053,21.82337933864126,0.6623231574892998,13.965538295110067,2.7279224173301575
H_k025,omf,field,transfer,1,0.1875,240,111.72098083496094,21.828607349676986,0.6622805158297221,13.965122604370118,2.7285759187096232
H_k025,omf,field,transfer,2,0.3125,240,111.7179946899414,21.834038979569225,0.6622373923659325,13.964749336242676,2.729254872446153
H_k025,omf,field,transfer,3,0.4375,240,111.71546643575033,21.83966402220139,0.6621947636206945,13.964433304468791,2.7299580027751738
H_k025,omf,field,transfer,4,0.5625,240,111.71348965962729,21.845418522544197,0.662153548002243,13.96418620745341,2.7306773153180246
H_k025,omf,field,transfer,5,0.6875,240,111.7121738433838,21.85125378573308,0.6621146748463312,13.964021730422974,2.731406723216635
H_k025,omf,field,transfer,6,0.8125,240,111.71159845987955,21.857113111343722,0.6620790585875511,13.963949807484944,2.7321391389179652
H_k025,omf,field,transfer,7,0.9375,240,111.71181475321451,21.86295245355014,0.6620472719271978,13.963976844151814,2.7328690566937675
H_k000,omf,field,all,0,0.0625,300,120.84253122965495,19.939605496700096,0.7140120720863342,15.105316403706869,2.492450687087512
H_k000,omf,field,all,1,0.1875,300,120.84803304036458,19.940373195896214,0.7140303762753805,15.106004130045573,2.4925466494870268
H_k000,omf,field,all,2,0.3125,300,120.85337961832683,19.941268829663727,0.7140451304117839,15.106672452290853,2.492658603707966
H_k000,omf,field,all,3,0.4375,300,120.85863372802734,19.942309431905446,0.7140570044517517,15.107329216003418,2.492788678988181
H_k000,omf,field,all,4,0.5625,300,120.86386576334635,19.943496084516546,0.7140667263666789,15.107983220418294,2.4929370105645683
H_k000,omf,field,all,5,0.6875,300,120.86914683024088,19.94481013448121,0.7140750106175741,15.10864335378011,2.493101266810151
H_k000,omf,field,all,6,0.8125,300,120.87452392578125,19.946268633065298,0.7140824929873149,15.109315490722656,2.4932835791331622
H_k000,omf,field,all,7,0.9375,300,120.88004374186198,19.947862353283227,0.7140897472699483,15.110005467732748,2.4934827941604034
H_k000,omf,field,identity,0,0.0625,60,114.66164042154948,14.37093510301693,0.6643083016077678,14.332705052693685,1.7963668878771162
H_k000,omf,field,identity,1,0.1875,60,114.67029927571615,14.37179322771499,0.6643491148948669,14.333787409464518,1.7964741534643738
H_k000,omf,field,identity,2,0.3125,60,114.67887217203776,14.372921996741825,0.6643874565760295,14.33485902150472,1.7966152495927281
H_k000,omf,field,identity,3,0.4375,60,114.68740285237631,14.374294073162227,0.6644237756729126,14.335925356547039,1.7967867591452784
H_k000,omf,field,identity,4,0.5625,60,114.69592539469402,14.375945528345346,0.6644583781560262,14.336990674336752,1.7969931910431682
H_k000,omf,field,identity,5,0.6875,60,114.70446980794271,14.377750075188784,0.664491601785024,14.33805872599284,1.797218759398598
H_k000,omf,field,identity,6,0.8125,60,114.71303761800131,14.379806367965573,0.6645238121350606,14.339129702250164,1.7974757959956966
H_k000,omf,field,identity,7,0.9375,60,114.72166646321615,14.381990570041177,0.6645553231239318,14.340208307902019,1.7977488212551471
H_k000,omf,field,transfer,0,0.0625,240,122.38775405883788,20.81862890365744,0.7264380137125651,15.298469257354736,2.60232861295718
H_k000,omf,field,transfer,1,0.1875,240,122.39246660868326,20.81969273845321,0.7264506916205088,15.299058326085408,2.602461592306651
H_k000,omf,field,transfer,2,0.3125,240,122.39700660705566,20.82086653498815,0.7264595468839009,15.299625825881957,2.6026083168735186
H_k000,omf,field,transfer,3,0.4375,240,122.40144208272298,20.82217844973791,0.7264653106530508,15.300180260340372,2.6027723062172385
H_k000,omf,field,transfer,4,0.5625,240,122.40585149129232,20.82361950804057,0.7264688124259313,15.30073143641154,2.602952438505071
H_k000,omf,field,transfer,5,0.6875,240,122.41031583150227,20.825185649322304,0.7264708667993546,15.301289478937784,2.603148206165288
H_k000,omf,field,transfer,6,0.8125,240,122.4148951212565,20.826873367711407,0.7264721622069676,15.301861890157063,2.603359170963926
H_k000,omf,field,transfer,7,0.9375,240,122.41963793436686,20.82869127381708,0.7264733523130417,15.302454741795858,2.603586409227135
