src_style,tgt_style,src_image,weave_dino_s_full,idt_dino_s_full,margin_full
Impressionism,Ukiyo_e,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890.jpg,0.47874385,0.4317687,0.046975166
Impressionism,Early_Renaissance,Impressionism__augustus-john_proven-al-landscape.jpg,0.4067236,0.3636015,0.043122083
Impressionism,Minimalism,Impressionism__augustus-john_proven-al-landscape.jpg,0.24750417,0.22195616,0.025548011
Impressionism,Rococo,Impressionism__augustus-john_proven-al-landscape.jpg,0.44763428,0.4406142,0.007020086
Impressionism,Ukiyo_e,Impressionism__augustus-john_proven-al-landscape.jpg,0.4893918,0.47492683,0.014464974
Impressionism,Early_Renaissance,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899.jpg,0.51716185,0.48141134,0.03575051
Impressionism,Minimalism,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899.jpg,0.26964948,0.23198384,0.037665635
Impressionism,Rococo,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899.jpg,0.54465586,0.5244761,0.020179749
Impressionism,Ukiyo_e,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899.jpg,0.4733339,0.4268027,0.0465312
Impressionism,Early_Renaissance,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre.jpg,0.57433665,0.5954748,-0.021138132
Impressionism,Minimalism,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre.jpg,0.2389154,0.22266519,0.016250208
Impressionism,Rococo,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre.jpg,0.59051704,0.5941864,-0.0036693811
Impressionism,Ukiyo_e,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre.jpg,0.4681415,0.48807073,-0.01992923
Impressionism,Early_Renaissance,Impressionism__childe-hassam_september-moonrise.jpg,0.42431805,0.3870083,0.037309736
Impressionism,Minimalism,Impressionism__childe-hassam_september-moonrise.jpg,0.36549073,0.327359,0.038131744
Impressionism,Rococo,Impressionism__childe-hassam_september-moonrise.jpg,0.44151673,0.4054145,0.036102235
Impressionism,Ukiyo_e,Impressionism__childe-hassam_september-moonrise.jpg,0.58725035,0.58295697,0.004293382
Impressionism,Early_Renaissance,Impressionism__claude-monet_bordighera-the-house-of-gardener.jpg,0.48214635,0.4597854,0.02236095
Impressionism,Minimalism,Impressionism__claude-monet_bordighera-the-house-of-gardener.jpg,0.2742064,0.2111671,0.0630393
Impressionism,Rococo,Impressionism__claude-monet_bordighera-the-house-of-gardener.jpg,0.45909426,0.44513893,0.013955325
Impressionism,Ukiyo_e,Impressionism__claude-monet_bordighera-the-house-of-gardener.jpg,0.49929422,0.42231393,0.07698029
Impressionism,Early_Renaissance,Impressionism__claude-monet_palazzo-contarini-2.jpg,0.4085279,0.35508192,0.053445995
Impressionism,Minimalism,Impressionism__claude-monet_palazzo-contarini-2.jpg,0.136908,0.13207157,0.004836425
Impressionism,Rococo,Impressionism__claude-monet_palazzo-contarini-2.jpg,0.34784895,0.3235382,0.024310738
Impressionism,Ukiyo_e,Impressionism__claude-monet_palazzo-contarini-2.jpg,0.2608511,0.23616982,0.02468127
Impressionism,Early_Renaissance,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday.jpg,0.45205128,0.46263498,-0.010583699
Impressionism,Minimalism,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday.jpg,0.2074427,0.18325262,0.024190083
Impressionism,Rococo,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday.jpg,0.29910505,0.2779585,0.021146536
Impressionism,Ukiyo_e,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday.jpg,0.28036046,0.32091057,-0.040550113
Impressionism,Early_Renaissance,Impressionism__edgar-degas_ancer-with-red-stockings.jpg,0.6719928,0.6814357,-0.009442925
Impressionism,Minimalism,Impressionism__edgar-degas_ancer-with-red-stockings.jpg,0.3255819,0.28652322,0.039058685
Impressionism,Rococo,Impressionism__edgar-degas_ancer-with-red-stockings.jpg,0.6025237,0.6349916,-0.0324679
Impressionism,Ukiyo_e,Impressionism__edgar-degas_ancer-with-red-stockings.jpg,0.63707465,0.59397984,0.043094814
Impressionism,Early_Renaissance,Impressionism__edgar-degas_study-of-gentile-bellini-1855.jpg,0.58360106,0.53779876,0.045802295
Impressionism,Minimalism,Impressionism__edgar-degas_study-of-gentile-bellini-1855.jpg,0.31957024,0.24692297,0.07264727
Impressionism,Rococo,Impressionism__edgar-degas_study-of-gentile-bellini-1855.jpg,0.7578213,0.6958752,0.061946094
Impressionism,Ukiyo_e,Impressionism__edgar-degas_study-of-gentile-bellini-1855.jpg,0.43165207,0.38290507,0.048747003
Impressionism,Early_Renaissance,Impressionism__edouard-manet_tarring-the-boat-1873.jpg,0.4063101,0.44607937,-0.039769262
Impressionism,Minimalism,Impressionism__edouard-manet_tarring-the-boat-1873.jpg,0.30065447,0.2588529,0.04180157
Impressionism,Rococo,Impressionism__edouard-manet_tarring-the-boat-1873.jpg,0.47446427,0.46844316,0.006021112
Impressionism,Ukiyo_e,Impressionism__edouard-manet_tarring-the-boat-1873.jpg,0.4976647,0.4695609,0.028103799
Impressionism,Early_Renaissance,Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9.jpg,0.55906034,0.5387877,0.020272613
Impressionism,Minimalism,Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9.jpg,0.26909715,0.22049946,0.048597693
Impressionism,Rococo,Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9.jpg,0.6193452,0.5640899,0.055255294
Impressionism,Ukiyo_e,Impressionism__eugene-boudin_laundresses-on-the-banks-of-the-touques-9.jpg,0.610728,0.57786906,0.032858968
Impressionism,Early_Renaissance,Impressionism__eugene-boudin_the-port-ships-at-dock.jpg,0.30718428,0.25820404,0.048980236
Impressionism,Minimalism,Impressionism__eugene-boudin_the-port-ships-at-dock.jpg,0.19786885,0.18398234,0.013886511
Impressionism,Rococo,Impressionism__eugene-boudin_the-port-ships-at-dock.jpg,0.45095706,0.3903918,0.060565263
Impressionism,Ukiyo_e,Impressionism__eugene-boudin_the-port-ships-at-dock.jpg,0.3699909,0.31552666,0.05446422
Impressionism,Early_Renaissance,Impressionism__eugene-boudin_trouville-the-fish-market-1884.jpg,0.55179375,0.5239652,0.027828574
Impressionism,Minimalism,Impressionism__eugene-boudin_trouville-the-fish-market-1884.jpg,0.25447977,0.19490494,0.059574828
Impressionism,Rococo,Impressionism__eugene-boudin_trouville-the-fish-market-1884.jpg,0.57642096,0.56688,0.009540975
Impressionism,Ukiyo_e,Impressionism__eugene-boudin_trouville-the-fish-market-1884.jpg,0.4881711,0.49527726,-0.007106155
Impressionism,Early_Renaissance,Impressionism__henri-matisse_brittany-also-known-as-boat-1896.jpg,0.5068387,0.44218856,0.06465012
Impressionism,Minimalism,Impressionism__henri-matisse_brittany-also-known-as-boat-1896.jpg,0.37776095,0.28306055,0.094700396
Impressionism,Rococo,Impressionism__henri-matisse_brittany-also-known-as-boat-1896.jpg,0.5226631,0.50513315,0.017529964
Impressionism,Ukiyo_e,Impressionism__henri-matisse_brittany-also-known-as-boat-1896.jpg,0.5278996,0.5144718,0.013427794
Impressionism,Early_Renaissance,Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,0.4169756,0.34631783,0.07065776
Impressionism,Minimalism,Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,0.40932164,0.2142328,0.19508883
Impressionism,Rococo,Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,0.43271193,0.35522375,0.077488184
Impressionism,Ukiyo_e,Impressionism__joaquã­n-sorolla_study-of-vineyard.jpg,0.46642953,0.484528,-0.018098474
Impressionism,Early_Renaissance,Impressionism__john-singer-sargent_lake-in-the-tyrol.jpg,0.40464213,0.3740644,0.030577749
Impressionism,Minimalism,Impressionism__john-singer-sargent_lake-in-the-tyrol.jpg,0.21657825,0.20588246,0.010695785
Impressionism,Rococo,Impressionism__john-singer-sargent_lake-in-the-tyrol.jpg,0.40889943,0.43120646,-0.022307038
Impressionism,Ukiyo_e,Impressionism__john-singer-sargent_lake-in-the-tyrol.jpg,0.5058423,0.6338748,-0.12803245
Impressionism,Early_Renaissance,Impressionism__konstantin-korovin_arctic-ocean-1913.jpg,0.44857788,0.42107314,0.027504742
Impressionism,Minimalism,Impressionism__konstantin-korovin_arctic-ocean-1913.jpg,0.3868184,0.284703,0.10211542
Impressionism,Rococo,Impressionism__konstantin-korovin_arctic-ocean-1913.jpg,0.479868,0.45063347,0.029234529
Impressionism,Ukiyo_e,Impressionism__konstantin-korovin_arctic-ocean-1913.jpg,0.5343096,0.527117,0.0071926117
Impressionism,Early_Renaissance,Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883.jpg,0.5082282,0.5457785,-0.03755033
