epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
23,5.102839469909668,0.027777871135622263,0.07437524326145649,0.0,0.0002539062503274181,0.024518888238817454,0.12395531632006168,0.0,4.0,0.0,1.0,9.013872582117811e-05,32.08798813819885
24,5.067652406692505,0.027622013203799724,0.07402179822325707,0.0,0.0001891601564238954,0.024196716379374265,0.12224759228527546,0.0,4.0,0.0,1.0,8.282269043368901e-05,29.163076877593994
25,5.069352531433106,0.02761660523712635,0.07431057438254357,0.0,0.0001324218737499905,0.024093211349099874,0.12249494269490242,0.0,4.0,0.0,1.0,7.564338553438001e-05,32.07262349128723
26,5.035576667785644,0.027443045992404224,0.07377085819840432,0.0,0.00015927734386423254,0.024101723693311216,0.12135495848953724,0.0,4.0,0.0,1.0,6.864507392531649e-05,32.075419187545776
27,5.022910742759705,0.027361611537635326,0.07386084109544754,0.0,0.000202050779844285,0.0237462835945189,0.12129895620048047,0.0,4.0,0.0,1.0,6.187090252474307e-05,32.05067706108093
28,5.027326259613037,0.027392008267343046,0.07464230962097645,0.0,0.00016640624933643268,0.023552495893090962,0.12080952279269695,0.0,4.0,0.0,1.0,5.536263635198487e-05,32.07354688644409
29,5.002369103431701,0.027326061092317104,0.074064158834517,0.0,0.00016435546971479197,0.023186006154865026,0.11891522407531738,0.0,4.0,0.0,1.0,4.916040103221507e-05,31.95132875442505
30,4.987018265724182,0.027270561493933202,0.07388870932161808,0.0,7.841796967113624e-05,0.023041011840105055,0.11790894143283367,0.0,4.0,0.0,1.0,4.330243540863257e-05,31.875481367111206
31,4.9686956787109375,0.027142109498381615,0.07447169303894043,0.0,7.109375048457877e-05,0.022798122595995663,0.11752971544861794,0.0,4.0,0.0,1.0,3.7824855787278e-05,32.21689009666443
32,4.9578318643569945,0.02711281955242157,0.073519883826375,0.0,7.705078030994627e-05,0.022855745144188404,0.11715628266334534,0.0,4.0,0.0,1.0,3.276143326799707e-05,32.0264618396759
33,4.945113272666931,0.027018243297934532,0.07393989019095898,0.0,6.113281291618478e-05,0.022454510126262903,0.11716342642903328,0.0,4.0,0.0,1.0,2.8143385534380006e-05,28.867100954055786
34,4.949490694999695,0.0270951627753675,0.07424184985458851,0.0,7.285156261787052e-05,0.022290321886539458,0.11595408327877521,0.0,4.0,0.0,1.0,2.3999184386361246e-05,31.956380128860474
35,4.9286668014526365,0.026971604228019714,0.07364121228456497,0.0,5.312499975843821e-05,0.02231705443933606,0.11585247054696084,0.0,4.0,0.0,1.0,2.0354380202105065e-05,32.078497648239136
36,4.920015544891357,0.0269109352119267,0.07378986064344645,0.0,4.199218741632649e-05,0.022210822459310293,0.1157750005275011,0.0,4.0,0.0,1.0,1.723144441142776e-05,32.17683935165405
37,4.928215947151184,0.026934006102383137,0.07436131753027439,0.0,3.378906245416147e-05,0.022135279551148416,0.11617892660200596,0.0,4.0,0.0,1.0,1.4649630951960416e-05,32.0526704788208
38,4.929512495994568,0.02694777013733983,0.07396763421595097,0.0,1.9824218725261744e-05,0.021967414207756518,0.11651618115603923,0.0,4.0,0.0,1.0,1.2624857562220728e-05,32.01914119720459
39,4.889999561309814,0.02669196680188179,0.07387595262378455,0.0,3.105468736976036e-05,0.021930903177708388,0.11599830657243729,0.0,4.0,0.0,1.0,1.1169607643461924e-05,32.077046632766724
40,4.9289117479324345,0.026936193611472845,0.07370392993092537,0.0,2.55859373282874e-05,0.02197117207571864,0.11690245494246483,0.0,4.0,0.0,1.0,1.0292853295352844e-05,32.206604957580566
