dataset,method,family,stage,sub_family,batch,epoch,ckpt,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,id_clip_style,id_lpips,delta_idt_transfer,delta_idt_full,epoch_time_s,train_wall_s,train_wall_min,infer_ms_per_img,eval_wall_s,location,status,solver,tokenizer,prediction,kinetic,proximal,attention,notes
distinct5-512-full,LBM,xpred_bary_b16,int-xpred,endpoint_barycenter,16,5,epoch_0005,0.7255,0.6149,0.7319,0.6074,,,0.0552,0.0518,108.1,543.9,9.1,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,Style ceiling success but LPIPS weak
distinct5-512-full,LBM,xpred_bary_b40,int-xpred,endpoint_barycenter,40,7,epoch_0007,0.7161,0.7176,0.7187,0.7104,,,0,0.0386,93.2,665.9,11.1,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,endpoint,off,off,SemanticCrossAttn,Bigger batch = worse LPIPS vs b16
distinct5-512-full,LBM,xpred_kmanifold_b32,int-xpred,endpoint_kmanifold,32,7,epoch_0007,0.7259,0.6863,0.7284,0.6790,,,0,0.0483,164.7,1254.0,20.9,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,off,SemanticCrossAttn,Strongest raw style ceiling packet - snapshot matched
distinct5-512-full,LBM,xpred_phighpass_b28,int-xpred,endpoint_phighpass,28,6,epoch_0006,0.6803,0.7748,0.6805,0.7703,,,0,0.0005,111.7,966.4,16.1,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,endpoint,off,highpass_residual,SemanticCrossAttn,Negative: highpass fails badly vs kmanifold
distinct5-512-full,LBM,xpred_kmanifold_phighpass_b32,int-xpred,endpoint_kmanifold_phighpass,32,6,epoch_0006,0.6657,0.7878,0.6657,0.7829,,,0,0,113.9,659.4,11.0,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,highpass_residual,SemanticCrossAttn,Combo degradation worse than individual
distinct5-512-full,LBM,xpred_kmanifold_pmod_b32,int-xpred,endpoint_kmanifold_pmod,32,7,epoch_0007,0.7153,0.7305,0.7161,0.7244,,,0,0.0360,96.8,676.8,11.3,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,phase_modulation,SemanticCrossAttn,Better than highpass; behind kmanifold
distinct5-512-full,LBM,xpred_kmanifold_pattn_b16,int-pattn,endpoint_kmanifold_pattn,16,6,epoch_0006,0.7289,0.6370,0.7338,0.6278,,,0,0.0538,130.5,788.9,13.1,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,First proximal fam to improve xpred on both metrics
distinct5-512-full,LBM,xpred_kmanifold_pattn_b16_e12,int-pattn,endpoint_kmanifold_pattn_longer,16,11,epoch_0011,0.7289,0.6211,0.7352,0.6113,,,0,0.0552,139.1,420.9,7.0,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,LPIPS improved -0.016 with 4 more epochs
distinct5-512-full,LBM,xpred_kmanifold_pattn_stokes_b16_e3,int-pattn,endpoint_pattn_stokes,16,3,epoch_0003,0.7193,0.6222,0.7257,0.6138,,,0,0.0457,131.1,398.0,6.6,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+stokes,crossattn_texture,SemanticCrossAttn,Cleaner LPIPS tradeoff than aniso
distinct5-512-full,LBM,xpred_kmanifold_pattn_stokes_b16_e12_e9,int-pattn,endpoint_pattn_stokes_longer,16,9,epoch_0009,0.7112,0.5653,0.7219,0.5554,,,0,0.0418,142.6,142.6,2.4,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+stokes,crossattn_texture,SemanticCrossAttn,LPIPS keeps improving to 0.565
distinct5-512-full,LBM,xpred_kmanifold_pattn_stokes002_from_e13_b16,int-pattn,endpoint_pattn_stokes002_finetune,16,13,epoch_0013,0.7307,0.6183,0.7372,0.6069,,,0,0.0572,139.5,282.2,4.7,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+stokes002,crossattn_texture,SemanticCrossAttn,PROMOTED: new raw style frontier (+0.0032 style over 0.05)
distinct5-512-full,LBM,xpred_kmanifold_pattn_stokes_from_e13_b16,int-pattn,endpoint_pattn_stokes_finetune,16,13,epoch_0013,0.7274,0.6033,0.7356,0.5915,,,0,0.0556,139.5,282.5,4.7,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+stokes,crossattn_texture,SemanticCrossAttn,PROMOTED: best LPIPS frontier (-0.0178 LPIPS over pattn_longer)
distinct5-512-full,LBM,xpred_kmanifold_pattn_aniso_b16_e1,int-pattn,endpoint_pattn_aniso,16,1,epoch_0001,0.7136,0.5931,0.7184,0.5878,,,0,0.0384,145.2,145.2,2.4,0,0,Remote_3060,drop,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+anisotropic,crossattn_texture,SemanticCrossAttn,Anisotropic too harsh; later epochs degrade
distinct5-512-full,LBM,xpred_kmanifold_pattn_queue_b16_e6,int-pattn,endpoint_pattn_queue,16,6,epoch_0006,0.7278,0.6359,0.7327,0.6270,,,0,0.0527,137.8,844.5,14.1,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,Queue smoothing within pattn band
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_from_e13_b8a2,int-succ,anisostokes_queue,8,13,epoch_0013,0.7102,0.4603,0.7303,0.4559,,,0,0.0503,189.4,381.9,6.4,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,Strong low-LPIPS successor; best content-preserving tradeoff
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_clamp_reseed_b8a2,int-succ,clamp_reseed,8,3,epoch_0003,0.7022,0.4867,0.7183,0.4814,,,0,0.0383,0,0,0,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,Hard proximal clamp - first recovery over transfer ref
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_clamprelease_reseed_b8a2,int-succ,clamp_release,8,3,epoch_0003,0.7007,0.4754,0.7183,0.4701,,,0,0.0383,0,0,0,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,Clamp release improves fixed-clamp LPIPS
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_clamphold4wide_b8a2,int-succ,clamphold4wide,8,3,epoch_0003,0.7009,0.4726,0.7189,0.4671,,,0.0208,0.0389,0,0,0,0,0,Remote_3060,keep,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,4-epoch hold slightly improves release-family LPIPS
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_clamphold4mid_b8a2,int-succ,clamphold4mid,8,8,epoch_0008,0.6679,0.2877,0.7014,0.2878,,,-0.0122,0.0213,0,0,0,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,Ultra-low LPIPS plateau ~0.668/0.288
distinct5-512-full,LBM,xpred_kmanifold_pattn_anisostokes_queue_clamphold4slowmid_b8a2,int-succ,clamphold4slowmid,8,12,epoch_0012,0.6673,0.2898,0.7009,0.2898,,,-0.0128,0.0208,0,0,0,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+aniso+stokes,crossattn_texture,SemanticCrossAttn,Near-tie negative - no improvement over hold4mid
distinct5-512-full,LBM,xpred_kmanifold_pattn_stokes003_b4a2_e12,int-pattn,stokes003_b4a2,4,12,epoch_0012,0.7152,0.5876,0.7232,0.5788,,,0,0.0432,1543.2,1543.2,25.7,0,0,Remote_3060,hold,euler_legacy,legacy_factorized,endpoint,manifold_adaptive+stokes003,crossattn_texture,SemanticCrossAttn,Batch4 strong Stokes continuation
distinct5-512-full,LBM,vel_tok32_safe_rescan_r2_e1,phase2,vel_tok32+kin+prox,20,1,epoch_0001,0.6721,0.3791,0.7001,0.3780,0.8123,0.3736,0.0322,0.0200,0,0,0,0,218.4,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.95,crossattn_texture,SemanticCrossAttn,Phase2 formal lane e1; in-band but below shelf
distinct5-512-full,LBM,vel_tok32_safe_rescan_r2_e2,phase2,vel_tok32+kin+prox,20,2,epoch_0002,0.6756,0.3959,0.7022,0.3932,0.8085,0.3824,0.0357,0.0222,0,0,0,0,217.9,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.95,crossattn_texture,SemanticCrossAttn,Phase2 best: style above shelf but LPIPS over recovery
distinct5-512-full,LBM,vel_tok32_safe_rescan_r2_e4,phase2,vel_tok32+kin+prox,20,4,epoch_0004,0.6724,0.3691,0.7005,0.3672,0.8129,0.3599,0.0325,0.0204,0,0,0,0,222.3,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.95,crossattn_texture,SemanticCrossAttn,Phase2: best LPIPS in formal lane; style slightly below shelf
distinct5-512-full,LBM,vel_tok32_safe_rescan_r2_e8,phase2,vel_tok32+kin+prox,20,8,epoch_0008,0.6728,0.3891,0.7007,0.3849,0.8122,0.3683,0.0329,0.0206,1248.7,0,0,0,238.0,Remote_3060_WSL,closed_plateau,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.95,crossattn_texture,SemanticCrossAttn,Formal lane closed: in-band style plateau; ~20.8min/epoch
distinct5-512-full,LBM,vel_tok32_safe_semantic_topogate_k085_appalign_e1,phase2,topogate+appalign,12,1,epoch_0001,0.6726,0.3364,0.7035,0.3330,0.8271,0.3195,0.0327,0.0234,1534.3,1534.3,25.6,0,261.0,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.85,crossattn_texture,SemanticCrossAttn+topogate,Phase2 structure reentry e1; LPIPS dramatically improved
distinct5-512-full,LBM,vel_tok32_safe_semantic_topogate_k085_appalign_e2,phase2,topogate+appalign,12,2,epoch_0002,0.6714,0.3143,0.7031,0.3120,0.8300,0.3027,0.0315,0.0230,0,0,0,0,243.2,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.85,crossattn_texture,SemanticCrossAttn+topogate,Phase2 e2: LPIPS=0.314 transfers (near IDT); style stalled
distinct5-512-full,LBM,vel_tok32_safe_semantic_topogate_k085_e3,phase2,topogate_no_appalign,16,3,epoch_0003,0.6754,0.3756,0.7029,0.3718,,,0.0355,0.0229,0,0,0,0,0,Remote_3060_WSL,keep,euler_legacy,pure_latent_spatial_tok32,velocity,manifold_adaptive+kin0.85,crossattn_texture,SemanticCrossAttn+topogate,Parent of appalign; promoted best point
distinct5-512-full,IDT,reference,,,0,0,unchanged,0.6801,0.0000,0.6801,0.0000,,,,0,0,0,0,0,Reference,keep,identity,identity,identity,off,off,identity,Same IDT anchor on full distinct5
wikiart_stress1-1000per,LBM,F_e1,faraday,stress1_f,44,1,epoch_0001,0.6997,0.3286,0.7221,0.3244,,,0.0139,0.0074,0,60.0,1.0,0,99.1,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Fixed-rule stress split1
wikiart_stress1-1000per,IDT,reference,,,0,0,unchanged,0.6858,0.0000,0.7147,0.0000,,,0,0,0,53.7,0.9,0,0,Remote_3060,keep,identity,identity,identity,off,off,identity,Split1 IDT reference
wikiart_stress2-1000per,LBM,F_e1,faraday,stress2_f,44,1,epoch_0001,0.7241,0.3194,0.7406,0.3188,,,0.0073,0.0013,0,60.0,1.0,0,99.4,Remote_3060,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Fixed-rule stress split2
wikiart_stress2-1000per,IDT,reference,,,0,0,unchanged,0.7168,0.0000,0.7393,0.0000,,,0,0,0,54.0,0.9,0,0,Remote_3060,keep,identity,identity,identity,off,off,identity,Split2 IDT reference
legacy256-50x50,LBM,historical,legacy,clean_tradeoff,16,7,epoch_0007,,,,0.7161,0.4514,,,0,0,310.0,5.2,0,0,Local_4070,keep,euler_legacy,legacy_factorized,velocity,global_l2,off,SemanticCrossAttn,Historical paper point on legacy256
legacy256-50x50,SaMST,historical,legacy,strict,0,20,epoch_20,,,,0.7194,0.4664,,,0,0,6769.0,112.8,0,0,Local_4070,keep,OMF,OMF_weight,velocity,off,off,OMF,Closest efficient historical baseline
wikiart512-5style,LBM,spectral_stat_full_adapt_e2,historical,spectral_stat,48,2,epoch_0002,,,,0.7905,0.3006,,,0,0,0,0,0,0,Remote_TokenizerClean,keep,true_integrate,legacy_factorized,velocity,spectral_stat,off,?,WikiArt512: 0.79/0.30 proof that pure-latent works
wikiart512-5style,LBM,lowfreq_moment_hfguard_tsw8,historical,tsw8,48,1,epoch_0001,,,,0.7970,0.3080,,,0,0,0,0,0,0,Remote_TokenizerClean,keep,true_integrate,legacy_factorized,velocity,off,off,?,WikiArt512: 0.80/0.31 with high-freq guard
