experiment_id,dataset,method,family,sub_family,batch,epoch,transfer_clip_style,transfer_lpips,allpairs_clip_style,allpairs_lpips,id_clip_style,id_lpips,delta_idt_transfer,delta_idt_full,epoch_time_s,train_wall_s,train_wall_min,infer_ms_per_img,eval_wall_s,cuda_gb,location,status,solver,tokenizer,prediction,kinetic,proximal,attention,notes
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0003,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0003,0.714272,0.673043,0.717379,0.665213,,,,,141.017486,425.559823,7.1,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0004,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0004,0.720487,0.687119,0.723665,0.679706,,,,,140.737469,566.297292,9.4,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0005,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0005,0.724974,0.658198,0.729131,0.650332,,,,,140.417602,706.714894,11.8,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0006,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0006,0.727845,0.635858,0.732686,0.627042,,,,,137.831755,844.546649,14.1,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0007,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0007,0.724131,0.631745,0.729918,0.623744,,,,,178.499349,1023.045998,17.1,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_queue_seed42_b16/epoch_0008,distinct5-512/full,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,xpred plus kmanifold plus pattn plus queue,16,0008,0.723965,0.613808,0.730265,0.604217,,,,,327.372801,1350.418799,22.5,,,6.772154,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16/epoch_0001,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_base,xpred kmanifold pattn base,16,0001,0.661707,0.757395,0.663014,0.753283,,,,,134.55403,134.55403,2.2,,,6.771177,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16/epoch_0002,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_base,xpred kmanifold pattn base,16,0002,0.715998,0.724704,0.718053,0.719215,,,,,131.017632,265.571662,4.4,,,6.771177,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16/epoch_0003,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_base,xpred kmanifold pattn base,16,0003,0.714069,0.677871,0.71712,0.670722,,,,,131.091726,396.663388,6.6,,,6.771177,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
aaai2027_inmortal_xpred_kmanifold_pattn_seed42_b16/epoch_0004,distinct5-512/full,LBM,XPred_Kmanifold_Pattn_base,xpred kmanifold pattn base,16,0004,0.722431,0.677368,0.72598,0.669616,,,,,131.149239,527.812627,8.8,,,6.771177,Remote_3060,completed,euler_legacy,legacy_factorized,endpoint,manifold_adaptive,crossattn_texture,SemanticCrossAttn,
