-----------init SaMam model-----------
inference by mamba-ssm, quick
upsample: 8

Training: |          | 0/? [00:00<?, ?it/s]
Epoch 0: |          | 10/? [00:06<00:00,  1.50it/s, v_num=0, id_loss1=24.60, id_loss2=16.70, loss_style=60.00, loss_content=14.00]
Epoch 0: |          | 10/? [00:06<00:00,  1.50it/s, v_num=0, id_loss1=26.00, id_loss2=13.60, loss_style=38.80, loss_content=14.10]
Epoch 0: |          | 11/? [00:07<00:00,  1.54it/s, v_num=0, id_loss1=26.00, id_loss2=13.60, loss_style=38.80, loss_content=14.10]
Epoch 0: |          | 11/? [00:07<00:00,  1.54it/s, v_num=0, id_loss1=38.80, id_loss2=11.60, loss_style=30.10, loss_content=14.30]
Epoch 0: |          | 12/? [00:10<00:00,  1.14it/s, v_num=0, id_loss1=38.80, id_loss2=11.60, loss_style=30.10, loss_content=14.30]
Epoch 0: |          | 12/? [00:10<00:00,  1.14it/s, v_num=0, id_loss1=36.70, id_loss2=7.630, loss_style=30.40, loss_content=14.20]
Epoch 0: |          | 13/? [00:11<00:00,  1.18it/s, v_num=0, id_loss1=36.70, id_loss2=7.630, loss_style=30.40, loss_content=14.20]
Epoch 0: |          | 13/? [00:11<00:00,  1.18it/s, v_num=0, id_loss1=25.00, id_loss2=9.240, loss_style=28.60, loss_content=15.00]
Epoch 0: |          | 14/? [00:11<00:00,  1.22it/s, v_num=0, id_loss1=25.00, id_loss2=9.240, loss_style=28.60, loss_content=15.00]
Epoch 0: |          | 14/? [00:11<00:00,  1.22it/s, v_num=0, id_loss1=32.30, id_loss2=12.80, loss_style=28.90, loss_content=14.90]
Epoch 0: |          | 15/? [00:11<00:00,  1.26it/s, v_num=0, id_loss1=32.30, id_loss2=12.80, loss_style=28.90, loss_content=14.90]
Epoch 0: |          | 15/? [00:11<00:00,  1.26it/s, v_num=0, id_loss1=28.80, id_loss2=9.460, loss_style=28.40, loss_content=14.80]
Epoch 0: |          | 16/? [00:12<00:00,  1.29it/s, v_num=0, id_loss1=28.80, id_loss2=9.460, loss_style=28.40, loss_content=14.80]
Epoch 0: |          | 16/? [00:12<00:00,  1.29it/s, v_num=0, id_loss1=47.30, id_loss2=21.80, loss_style=80.80, loss_content=15.60]
Epoch 0: |          | 17/? [00:12<00:00,  1.32it/s, v_num=0, id_loss1=47.30, id_loss2=21.80, loss_style=80.80, loss_content=15.60]
Epoch 0: |          | 17/? [00:12<00:00,  1.32it/s, v_num=0, id_loss1=14.00, id_loss2=17.10, loss_style=35.50, loss_content=15.60]
Epoch 0: |          | 18/? [00:13<00:00,  1.35it/s, v_num=0, id_loss1=14.00, id_loss2=17.10, loss_style=35.50, loss_content=15.60]
Epoch 0: |          | 18/? [00:13<00:00,  1.35it/s, v_num=0, id_loss1=9.590, id_loss2=15.60, loss_style=39.10, loss_content=17.00]
Epoch 0: |          | 19/? [00:13<00:00,  1.38it/s, v_num=0, id_loss1=9.590, id_loss2=15.60, loss_style=39.10, loss_content=17.00]
Epoch 0: |          | 19/? [00:13<00:00,  1.37it/s, v_num=0, id_loss1=9.820, id_loss2=7.870, loss_style=28.50, loss_content=17.70]
Epoch 0: |          | 20/? [00:14<00:00,  1.39it/s, v_num=0, id_loss1=9.820, id_loss2=7.870, loss_style=28.50, loss_content=17.70]
Epoch 0: |          | 20/? [00:14<00:00,  1.39it/s, v_num=0, id_loss1=18.00, id_loss2=13.20, loss_style=49.60, loss_content=18.60]
Epoch 0: |          | 21/? [00:15<00:00,  1.39it/s, v_num=0, id_loss1=18.00, id_loss2=13.20, loss_style=49.60, loss_content=18.60]
Epoch 0: |          | 21/? [00:15<00:00,  1.39it/s, v_num=0, id_loss1=10.50, id_loss2=20.30, loss_style=55.10, loss_content=18.70]
Epoch 0: |          | 22/? [00:15<00:00,  1.41it/s, v_num=0, id_loss1=10.50, id_loss2=20.30, loss_style=55.10, loss_content=18.70]
Epoch 0: |          | 22/? [00:15<00:00,  1.41it/s, v_num=0, id_loss1=5.580, id_loss2=7.280, loss_style=27.20, loss_content=17.20]
Epoch 0: |          | 23/? [00:15<00:00,  1.44it/s, v_num=0, id_loss1=5.580, id_loss2=7.280, loss_style=27.20, loss_content=17.20]
Epoch 0: |          | 23/? [00:16<00:00,  1.44it/s, v_num=0, id_loss1=13.60, id_loss2=9.760, loss_style=42.80, loss_content=17.30]
Epoch 0: |          | 24/? [00:16<00:00,  1.46it/s, v_num=0, id_loss1=13.60, id_loss2=9.760, loss_style=42.80, loss_content=17.30]
Epoch 0: |          | 24/? [00:16<00:00,  1.46it/s, v_num=0, id_loss1=13.70, id_loss2=14.90, loss_style=44.40, loss_content=18.10]
Epoch 0: |          | 25/? [00:16<00:00,  1.48it/s, v_num=0, id_loss1=13.70, id_loss2=14.90, loss_style=44.40, loss_content=18.10]
Epoch 0: |          | 25/? [00:16<00:00,  1.48it/s, v_num=0, id_loss1=4.890, id_loss2=10.40, loss_style=31.00, loss_content=17.20]
Epoch 0: |          | 26/? [00:17<00:00,  1.50it/s, v_num=0, id_loss1=4.890, id_loss2=10.40, loss_style=31.00, loss_content=17.20]
Epoch 0: |          | 26/? [00:17<00:00,  1.50it/s, v_num=0, id_loss1=7.680, id_loss2=7.880, loss_style=28.90, loss_content=17.80]
Epoch 0: |          | 27/? [00:17<00:00,  1.52it/s, v_num=0, id_loss1=7.680, id_loss2=7.880, loss_style=28.90, loss_content=17.80]
Epoch 0: |          | 27/? [00:17<00:00,  1.52it/s, v_num=0, id_loss1=6.250, id_loss2=17.20, loss_style=40.70, loss_content=17.80]
Epoch 0: |          | 28/? [00:18<00:00,  1.54it/s, v_num=0, id_loss1=6.250, id_loss2=17.20, loss_style=40.70, loss_content=17.80]
Epoch 0: |          | 28/? [00:18<00:00,  1.54it/s, v_num=0, id_loss1=4.330, id_loss2=10.50, loss_style=48.00, loss_content=17.80]
Epoch 0: |          | 29/? [00:18<00:00,  1.55it/s, v_num=0, id_loss1=4.330, id_loss2=10.50, loss_style=48.00, loss_content=17.80]
Epoch 0: |          | 29/? [00:18<00:00,  1.55it/s, v_num=0, id_loss1=9.210, id_loss2=20.70, loss_style=91.40, loss_content=19.30]
Epoch 0: |          | 30/? [00:19<00:00,  1.57it/s, v_num=0, id_loss1=9.210, id_loss2=20.70, loss_style=91.40, loss_content=19.30]
Epoch 0: |          | 30/? [00:19<00:00,  1.57it/s, v_num=0, id_loss1=7.500, id_loss2=13.00, loss_style=51.70, loss_content=18.30]
Epoch 0: |          | 31/? [00:19<00:00,  1.57it/s, v_num=0, id_loss1=7.500, id_loss2=13.00, loss_style=51.70, loss_content=18.30]
Epoch 0: |          | 31/? [00:19<00:00,  1.57it/s, v_num=0, id_loss1=7.880, id_loss2=14.20, loss_style=28.90, loss_content=18.70]
Epoch 0: |          | 32/? [00:20<00:00,  1.58it/s, v_num=0, id_loss1=7.880, id_loss2=14.20, loss_style=28.90, loss_content=18.70]
Epoch 0: |          | 32/? [00:20<00:00,  1.58it/s, v_num=0, id_loss1=5.250, id_loss2=15.60, loss_style=83.50, loss_content=18.10]
