name,axis,label,status,transfer_clip_style,transfer_content_lpips,allpairs_clip_style,allpairs_content_lpips,identity_clip_style,identity_content_lpips
X30_content_5x,loss,Content 5x,OK,0.6941676860054334,0.3427784454933333,0.7226382648150126,0.32964818732133333,0.8365205800533294,0.27712715463333326
X31_no_style_loss,loss,No style loss,OK,0.6939033942421278,0.34247309568,0.72235014184316,0.3292830123093334,0.8361371322472891,0.27652267882666665
X32_style_32x,loss,Style 32x,OK,0.6935582954684893,0.34161318808333335,0.7221018544832865,0.32841695016000005,0.8362760905424753,0.2756319984666667
X33_style_64x,loss,Style 64x,OK,0.6934987298647564,0.34254696863999995,0.7219890854358674,0.3292847081786667,0.8359505077203115,0.2762356663333333
X34_no_flow,loss,No flow loss,OK,0.6935725936293602,0.3423406209466666,0.7220619624455771,0.32917797900533335,0.8360194377104442,0.27652741124
X35_no_kinetic,loss,No kinetic,OK,0.6936786130070688,0.3425742953666667,0.7221262832482656,0.32936845325999997,0.8359169642130533,0.27654508483333334
X36_attn_softmax,arch,Attn softmax,OK,0.6935359732309977,0.3423837108833333,0.7220048101743062,0.32919562494133336,0.8358801579475402,0.27644328117333333
X37_heads_1,arch,Heads=1,OK,0.6918904461463293,0.346131185695,0.7208027922312419,0.3324829652573334,0.8364521765708923,0.27789008350666666
X38_heads_16,arch,Heads=16,OK,0.6921381682157516,0.343439927175,0.7211101078192393,0.3296643024066666,0.83699786623319,0.27456180333333335
X39_no_shortcut,arch,No shortcut,OK,0.6881490435202916,0.31984326596333335,0.717784217039744,0.3084651879573333,0.8363249111175536,0.26295287593333333
X40_extrap_1,arch,Extrap=1,OK,0.6915844964981079,0.5530021355833332,0.7150844018459321,0.5461193578613334,0.8090840232372283,0.5185882469733333
X41_dim_32,arch,Dim=32,OK,0.693932712674141,0.3293911085383334,0.7230072790781656,0.3169919601426666,0.8393055446942647,0.26739536656
X42_dim_128,arch,Dim=128,OK,0.6928321662545204,0.3461043831183333,0.7211559124787648,0.3323759010333333,0.8344508973757426,0.27746197269333334
X43_res_blocks_2,arch,Res blocks=2,OK,0.6903573423624038,0.33478707594333335,0.7193675841490428,0.3226960438146667,0.8354085512955983,0.2743319153
X44_no_skip,arch,No skip,OK,0.6934730953971544,0.3426581438166667,0.7219582142829896,0.32946617627999997,0.8358986898263296,0.27669830613333335
X45_epochs_1,training,Epochs=1,OK,0.6868771229187647,0.3079876712716666,0.7166516907215119,0.297837295556,0.8357499619325003,0.25723579269333335
X46_lr_10x,training,LR 10x,OK,nan,nan,nan,nan,nan,nan
X47_lr_0p1x,training,LR 0.1x,OK,0.68677746762832,0.30855514512,0.7168844183286031,0.29821184880133333,0.8373122211297354,0.2568386635266666
X48_t_uniform,training,t uniform,OK,0.6935003334283829,0.3424793031433333,0.7220069607893627,0.3292985777746667,0.8360334702332815,0.27657567629999996
