experiment,clip_style,content_lpips,metric_surface,dataset,method,variant,selection,train_batch,train_epochs,full_clip_style,full_content_lpips,delta_idt_transfer,train_wall,status,decision,source_csv,evidence_path
distinct5_512__LBM__H_base__endpoint_metric_mse__seed42,0.6997619076,0.5169997306,reported,distinct5_512,LBM,metric_validation,epoch_0001,,,,,,completed repaired packet; per-epoch eval wall_total about 95-97s,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/endpoint_metric_h_omf_flow_mse_seed42.json
distinct5_512__LBM__H_base__flow_huber__seed42,0.6986,0.3560,reported,distinct5_512,LBM,metric_validation,epoch_0002,,,,,,3 epochs + auto full-eval; train complete 2026-06-03 02:07 +08:00,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_huber_seed42.json
distinct5_512__LBM__H_base__flow_l1__seed42,0.6988,0.3608,reported,distinct5_512,LBM,metric_validation,epoch_0002,,,,,,3 epochs + auto full-eval; train complete on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_l1_seed42.json
distinct5_512__LBM__H_base__flow_mse__seed42,0.6989,0.3595,reported,distinct5_512,LBM,metric_validation,epoch_0002,,,,,,3 epochs + eval retry; train complete 2026-06-03 01:16 local remote time,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/flow_loss_h_base_mse_seed42.json
distinct5_512__LBM__H_base__path_kinetic_base__seed42__clean_rerun,0.6891,0.4272,reported,distinct5_512,LBM,theory_validation,epoch_0001_style__epoch_0003_lpips,,,,,,clean rerun launched 2026-06-03 15:16 +08:00; train complete 2026-06-03 15:25 +08:00,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-03-path-stability-launch-status.md
distinct5_512__LBM__H_base__path_kinetic_k000__seed42,0.6790,0.4862,reported,distinct5_512,LBM,theory_validation,epoch_0003_style__epoch_0002_lpips,,,,,,launched at 2026-06-03 15:52 +08:00; train complete 2026-06-03 16:01 +08:00,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/path_kinetic_h_base_seed42_b44_k000.json
distinct5_512__LBM__H_base__path_kinetic_k025__seed42,0.6825,0.4600,reported,distinct5_512,LBM,theory_validation,epoch_0002_style__epoch_0002_lpips,,,,,,launched at 2026-06-03 15:41 +08:00; train complete 2026-06-03 15:49 +08:00,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/path_kinetic_h_base_seed42_b44_k025.json
distinct5_512__LBM__H_base__saswd_random__seed42,0.6860751852,0.2691072983,reported,distinct5_512,LBM,metric_validation,epoch_0001,,,,,,runtime-anomalous completion; epoch walls include 971.7s at e1 and 882.4s at e3,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_random.json
distinct5_512__LBM__H_base__saswd_semantic__seed42,0.6963431751,0.3313274828,reported,distinct5_512,LBM,metric_validation,epoch_0001,,,,,,train complete; per-epoch summaries collected on remote 3060,completed,required,aaai2027_master_experiment_log.csv,SchrodingerBridge/configs/aaai2027/saswd_axis_h_base_seed42_b44_saswd_semantic.json
distinct5_512__LBM__H_e1,0.6652551527,0.3281051474,transfer,distinct5_512,LBM,H_e1,H_e1,,,0.6973625582,0.3213328829,0.0253326910,1.2207,closed_no_indexed_artfid,closed_no_indexed_artfid,2026-06-04-distinct5_same_cost_inventory.csv,config=SchrodingerBridge/configs/distinct5_512_ema_variant_h_hard_explore_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0001
distinct5_512__LBM__H_e2,0.6683948844,0.3561050486,transfer,distinct5_512,LBM,H_e2,H_e2,,,0.6993825697,0.3484066154,0.0284724228,2.2656,closed_no_indexed_artfid,closed_no_indexed_artfid,2026-06-04-distinct5_same_cost_inventory.csv,config=SchrodingerBridge/configs/distinct5_512_ema_variant_h_hard_explore_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote/full_eval/epoch_0002
distinct5_512__LBM__K_e1,0.6711669415,0.3722808782,transfer,distinct5_512,LBM,K_e1,K_e1,,,0.7009949656,0.3622938977,0.0312444799,1.2077,closed_reaudited_conflict,closed_reaudited_conflict,2026-06-04-distinct5_same_cost_inventory.csv,config=SchrodingerBridge/configs/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3.json | run=SchrodingerBridge/exp/distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote/full_eval/epoch_0001
distinct5_512__LBM__K_longer_e5,0.6670102731,0.3587850992,transfer,distinct5_512,LBM,K_longer_e5,K_longer_e5,,,0.6968854041,0.3504156267,0.0270878114,5.5450,closed_negative,closed_negative,2026-06-04-distinct5_same_cost_inventory.csv,config=SchrodingerBridge/configs/aaai2027/longer_train_k_seed42_b44_e8.json | run=I:\\GitHub\\Latent_Style\\SchrodingerBridge\\exp\\aaai2027_longer_train_k_seed42_b44_e8\\full_eval_artfid\\epoch_0005
distinct5_512__LBM__K_longer_e8,0.6670,0.3588,transfer,distinct5_512,LBM,mainline_improvement,epoch_0005_transfer__epoch_0007_style,,,,,0.0271,8 epochs + full eval + ArtFID closure on remote 3060,completed,drop,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-distinct5-longer-training-closure.md
inmortal_k_manifold_seed42_b16,0.6628769354025523,0.33486976105,transfer,distinct5_512,LBM,K_manifold,epoch_0006,16,8,0.6948679809570312,0.32601493308,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-manifold.md
inmortal_k_spatial_seed42_b16,0.6614539421101412,0.35037601128333334,transfer,distinct5_512,LBM,K_spatial,epoch_0006,16,8,0.6923959741195043,0.34151635038666667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spatial.md
inmortal_k_spectral_seed42_b12,0.6787789503733317,0.36369265289999997,transfer,distinct5_512,LBM,K_spectral_b12,epoch_0002,12,8,0.7101381069819133,0.35215781272,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-k-spectral-b12.md
inmortal_xpred_bary_seed42_b16,0.7255213912328086,0.6148921626666667,transfer,distinct5_512,LBM,XPred_Barycenter,epoch_0005,16,8,0.7319036454359691,0.6074068650666666,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
inmortal_xpred_bary_seed42_b40,0.7161263772845268,0.7175771549333334,transfer,distinct5_512,LBM,XPred_Barycenter,epoch_0007,40,8,0.7186682052612305,0.7104419553733333,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-barycenter.md
inmortal_xpred_kmanifold_pattn_aniso_seed42_b16,0.7135675243536631,0.5931096112833334,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_Aniso,epoch_0001,16,8,0.7184169642925262,0.5878224420266667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-aniso.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_from_pattn_seed42_b8a2,0.7102169366677601,0.46031463221666663,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueue,epoch_0013,8,16,0.7303320403099061,0.45594069648,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-anisostokes-queue.md
inmortal_xpred_kmanifold_pattn_edgegated_anisostokes_queue_from_e13_seed42_b8a2,0.709999902844429,0.5746358511666668,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_EdgeGatedAnisoStokesQueue,epoch_0017,8,20,0.717337186574936,0.5699236837866666,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-edgegated-anisostokes-queue.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_trust_from_e13_seed42_b8a2,0.7094652552405993,0.5750884950500000,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueueTrust,epoch_0017,8,24,0.7168066346645354,0.5703394691600000,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-anisostokes-queue-trust-from-e13.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_trust_reseed_from_e13_seed42_b8a2,0.7030789342522622,0.6697252024333333,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueueTrustReseed,epoch_0009,8,16,0.7047770067850749,0.6629543712666667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-anisostokes-queue-trust-reseed-from-e13.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamp_reseed_from_e13_seed42_b8a2,0.7022214815020562,0.4867489590166667,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueueClampReseed,epoch_0003,8,16,0.7183329335053762,0.4814485383866667,,,completed,keep,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-anisostokes-queue-clamp-reseed-from-e13.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamprelease_reseed_from_e13_seed42_b8a2,0.7006856802105903,0.4753913680166667,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueueClampReleaseReseed,epoch_0003,8,16,0.7182820758024850,0.4700520145066667,,,completed,keep,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-anisostokes-queue-clamprelease-reseed-from-e13.md
inmortal_xpred_kmanifold_pattn_anisostokes_queue_clampreleasewide_reseed_from_e13_seed42_b8a2,0.7075159347057343,0.5297681343499999,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_then_AnisoStokesQueueClampReleaseWideReseed,epoch_0001,8,16,0.7198151224454244,0.5236551378133333,,,completed,drop,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-08-inmortal-anisostokes-queue-clampreleasewide-from-e13.md
inmortal_xpred_kmanifold_pattn_queue_seed42_b16,0.7278445690870285,0.6358575434166667,transfer,distinct5_512,LBM,XPred_plus_Kmanifold_plus_Pattn_plus_Queue,epoch_0006,16,8,0.7326863305568695,0.6270424386533333,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-queue.md
inmortal_xpred_kmanifold_pattn_seed42_b16,0.7288531258702278,0.6370331159333334,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_base,epoch_0006,16,8,0.7338316518465678,0.62782097084,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn.md
inmortal_xpred_kmanifold_pattn_seed42_b16_e12_continue,0.7289178653558095,0.6210744250833334,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_longer,epoch_0011,16,12,0.7351596157550813,0.611331816,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-longer.md
inmortal_xpred_kmanifold_pattn_stokes002_from_pattn_seed42_b16,0.7306720416744552,0.6182822015833332,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_Stokes002_finetune,epoch_0013,16,16,0.7372151756286620,0.6069087232000000,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes002-from-pattn.md
inmortal_xpred_kmanifold_pattn_stokes_from_pattn_seed42_b16,0.7274343500534693,0.6032513947166667,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_Stokes_finetune,epoch_0013,16,16,0.7355936773618064,0.5915051698266667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-from-pattn.md
inmortal_xpred_kmanifold_pattn_stokes_seed42_b16,0.7192763841152191,0.6221591451833334,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_Stokes_base,epoch_0003,16,8,0.7256521624724069,0.6138432296666667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes.md
inmortal_xpred_kmanifold_pattn_stokes_seed42_b16_e12_continue,0.7111518693963687,0.5653205801999999,transfer,distinct5_512,LBM,XPred_Kmanifold_Pattn_Stokes_longer,epoch_0009,16,12,0.7218620393276215,0.5553514326266666,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pattn-stokes-longer.md
inmortal_xpred_kmanifold_phighpass_seed42_b32,0.6657207583387692,0.7877514536166667,transfer,distinct5_512,LBM,XPred_Kmanifold_Phighpass,epoch_0006,32,8,0.6657259664535522,0.7829053158799999,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-phighpass.md
inmortal_xpred_kmanifold_pmod_seed42_b32,0.7153414665659269,0.7305125110666666,transfer,distinct5_512,LBM,XPred_Kmanifold_Pmod,epoch_0007,32,8,0.7161307516098023,0.7244021004666666,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold-pmod.md
inmortal_xpred_kmanifold_seed42_b32,0.7259045845270157,0.6863445074166666,transfer,distinct5_512,LBM,XPred_Kmanifold,epoch_0007,32,8,0.7284026646614075,0.6789783859999998,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-kmanifold.md
inmortal_xpred_phighpass_seed42_b28,0.6802587313453358,0.7747667141333333,transfer,distinct5_512,LBM,XPred_Phighpass,epoch_0006,28,8,0.6804589060942332,0.7702966324399999,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-phighpass.md
inmortal_xpred_queue_seed42_b16,0.7198146428664527,0.5595371659666666,transfer,distinct5_512,LBM,XPred_plus_QueueSmoothing,epoch_0005,16,8,0.7308790712356565,0.5514159456666667,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-queue.md
inmortal_xpred_structot_seed42_b16,0.7189881146947543,0.5588578638833333,transfer,distinct5_512,LBM,XPred_plus_StructOT,epoch_0005,16,8,0.7302178760369619,0.5509667303733333,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-structot.md
inmortal_xpred_teacher_endpoint_seed42_b16,0.7158807369073232,0.5554561699833334,transfer,distinct5_512,LBM,XPred_plus_EndpointTeacher,epoch_0005,16,8,0.7276287523110707,0.5472573185466666,,,completed,completed,aaai2027_inmortal_results_master.csv,SchrodingerBridge/docs/experiments/2026-06-07-inmortal-xpred-teacher-endpoint.md
distinct5_512__SaMAM__step_2250,0.5522515383,0.3604523678,transfer,distinct5_512,SaMAM,step_2250,step_2250,,,0.5810966821,0.3538204092,-0.0876709234,458.5503,manuscript_valid,manuscript_valid,2026-06-04-distinct5_same_cost_inventory.csv,run=I:\\Github\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\\eval_curve\\step_002250
distinct5_512__SaMAM__step_3000,0.6646182162,0.3270938640,transfer,distinct5_512,SaMAM,step_3000,step_3000,,,0.6978010031,0.3220869704,0.0246957545,612.5845,audit_only_closed,audit_only_closed,2026-06-04-distinct5_same_cost_inventory.csv,run=I:\\Github\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\\eval_curve\\step_003000_artfid_reuse
distinct5_512__SaMAM-latent__convergence__step1500_fast,0.6547481072942416,0.163526222025,transfer,distinct5_512,SaMAM-latent,convergence,step1500_fast,,,0.6920399037996927,0.16340884842266667,0.0148256456355255,,completed,keep,2026-06-07-distinct5_latent_baseline_convergence.csv,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_latent_distinct5_512_convergence_20260607_011328/eval_bundle_fast_step1500/step1500_fast/summary.json
distinct5_512__SaMST__e15,0.6957412316,0.6319495817,transfer,distinct5_512,SaMST,e15,e15,,,0.7247245136,0.6255497488,0.0558187700,347.2567,closed,closed,2026-06-04-distinct5_same_cost_inventory.csv,run=G:\\GitHub\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samst_distinct5_512_real_b2_e15_20260602\\eval_epoch15\\epoch_0015
distinct5_512__SaMST__e5,0.6989188100,0.6334999498,transfer,distinct5_512,SaMST,e5,e5,,,0.7275811868,0.6270693954,0.0589963484,115.9750,closed,closed,2026-06-04-distinct5_same_cost_inventory.csv,run=G:\\GitHub\\Latent_Style\\Related_Works\\baseline_pipeline\\results\\samst_distinct5_512_real_b1_e5_20260603\\eval_bundle\\eval_epoch5\\epoch_0005
distinct5_512__SaMST-latent__b300_fast,0.6104393125,0.7295783353,transfer,distinct5_512,SaMST-latent,b300_fast,b300_fast,,,0.6104393125,0.7295783353,-0.0294816875,9.3050,drop,drop,2026-06-04-distinct5_same_cost_inventory.csv,run=/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samst_latent_distinct5_512_samecost_20260606_041227/eval_bundle_fast/batch300_fast
distinct5_512__SaMST-latent__b50_fast,0.6104393125,0.7295783353,transfer,distinct5_512,SaMST-latent,b50_fast,b50_fast,,,0.6104393125,0.7295783353,-0.0294816875,1.7763,drop,drop,2026-06-04-distinct5_same_cost_inventory.csv,run=/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samst_latent_distinct5_512_samecost_20260606_041227/eval_bundle_fast/batch050_fast
distinct5_512__SaMST-latent__convergence__batch1050_fast,0.6819825260837873,0.8318358248166667,transfer,distinct5_512,SaMST-latent,convergence,batch1050_fast,,,0.6826026574770608,0.8320293038933333,0.0420600644250712,,completed,keep,2026-06-07-distinct5_latent_baseline_convergence.csv,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samst_latent_distinct5_512_convergence_20260606_214051/eval_bundle_fast/batch1050_fast/summary.json
distinct5_512__idt__no_op,0.6801,0.0000,reported,distinct5_512,idt,distinct5_stress,unchanged,,,,,0.0000,0,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/metric_hacking_noop_20260602/README.md
legacy256_overfit50__LBM__historical_clean_tradeoff,0.7161,0.4514,reported,legacy256_overfit50,LBM,historical_strict750,epoch_0007,,,,,,310s to reported point,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/epoch_0008/summary.json
legacy256_overfit50__SaMAM__latent_probe4_step005000_fast,0.6509449564,0.8092278894,transfer,legacy256_overfit50,SaMAM,latent_baseline,step_005000,,,,,,quick reuse-only eval without ArtFID after the A2 queue freed the 3060 lane,completed,drop,aaai2027_master_experiment_log.csv,Related_Works/baseline_pipeline/results/samam_latent_legacy256_probe4/formal_eval/step_005000_fast/summary.json
legacy256_overfit50__SaMST__strict_reference,0.7194,0.4664,reported,legacy256_overfit50,SaMST,historical_strict750,epoch_20,,,,,,6769s estimated to reported point,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/comparison_20260602/selected_style_metrics_historical_merged.csv
wikiart_stress1__LBM__F_e1,0.7221,0.3244,reported,wikiart_stress1,LBM,fixed_rule_split_validation,epoch_0001,,,,,0.0139,3 epochs train + 99.14s retained eval,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-faraday-split1-paper-safe-packet.md
wikiart_stress1__idt__no_op_reference,0.7147,0.0000,reported,wikiart_stress1,idt,fixed_rule_split_validation,unchanged,,,,,0.0000,53.67s eval only,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-faraday-split1-paper-safe-packet.md
wikiart_stress2__LBM__F_e1,0.7406,0.3188,reported,wikiart_stress2,LBM,fixed_rule_split_validation,epoch_0001,,,,,0.0073,3 epochs train + 99.44s retained eval,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-faraday-split2-paper-safe-packet.md
wikiart_stress2__idt__no_op_reference,0.7393,0.0000,reported,wikiart_stress2,idt,fixed_rule_split_validation,unchanged,,,,,0.0000,53.97s eval only,completed,keep,aaai2027_master_experiment_log.csv,SchrodingerBridge/docs/experiments/2026-06-06-faraday-split2-paper-safe-packet.md
