rank,score,dim,kernel,act,norm,feature_mode,scales,gram_center,gram_norm,init,scale_factor
42,0.06014937907457352,40,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
43,0.06006956100463867,40,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
44,0.059794116765260696,48,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
45,0.059737175703048706,64,1,leaky,group,diff,[1],True,chw,orthogonal,0.13025
46,0.05961976200342178,40,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
47,0.05903445929288864,64,1,leaky,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
48,0.05877327919006348,48,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
49,0.05835839733481407,64,1,relu,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
50,0.05814068764448166,48,1,relu,group,diff,[1],False,chw,orthogonal,0.13025
51,0.0578194335103035,56,1,leaky,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
52,0.0575222410261631,56,1,relu,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
53,0.05742618441581726,40,1,relu,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
54,0.05733688920736313,56,1,leaky,group,diff,[1],False,chw,orthogonal,0.13025
55,0.057302068918943405,40,1,relu,group,diff,"[1, 2]",True,chw,orthogonal,0.13025
56,0.05705051124095917,56,1,relu,group,diff,"[1, 2]",False,chw,orthogonal,0.13025
57,0.05670071393251419,56,1,relu,group,diff,[1],True,chw,orthogonal,0.13025
